Hi.	Здрасти.
Tom finds it much easier to speak English than French.	На Том му е много по-лесно да говори на английски, отколкото на френски.
Tom finds it much easier to speak English than French.	Том намира за много по-лесно да говори на английски, отколкото на френски.
Tom finds it much easier to speak French than English.	На Том му е много по-лесно да говори френски, отколкото английски.
Tom has asked Mary to meet him at his office tomorrow.	Том помоли Мери да се срещне с него в офиса му утре.
Tom has two cats. One is white and the other is black.	Том има две котки. Едната е бяла, а другата е черна.
Tom is the kind of guy lots of people just don't like.	Том е от този тип, който повечето хора просто не харесват.
Tom said that it probably wouldn't take too much time.	Том каза, че вероятно няма да отнеме твърде много време.
Tom says that he is able to communicate with the dead.	Том казва, че може да се свързва с мъртвите.
Tom squatted down to put something on the lower shelf.	Том клекна, за да остави нещо на долната лавица.
Tom wondered how long it would take to finish the job.	Том се чудеше колко време ще му отнеме да свърши работата.
We are fully aware of the importance of the situation.	Напълно сме наясно относно важността на ситуацията.
We want to hire someone who can speak French fluently.	Искаме да наемем някой, който може да говори френски свободно.
Were you able to do everything you wanted to get done?	Успя ли да приключиш с всичко, което искаше да бъде направено?
Were you able to do everything you wanted to get done?	Успя ли да свършиш всичко, което искаше?
Would you like to come to my beach party this evening?	Ще дойдеш ли на партито, което организирам на плажа тази вечер?
You are saying you intentionally hide your good looks?	Искаш да кажеш, че нарочно прикриваш добрия си външен вид?
You look pale. You had better lie down in bed at once.	Изглеждаш блед. Няма да е зле да легнеш веднага.
After his death, his paintings were hung in the museum.	След смъртта му неговите картини са изложени в музея.
All horses are animals, but not all animals are horses.	Всички коне са животно, но не всички животни са коне.
Are you sure you don't want to consider another option?	Сигурен ли си, че не искаш да помислиш за друг вариант?
Are you sure you don't want to consider another option?	Сигурна ли си, че не искаш да помислиш за друг вариант?
Can you remember the first word you learned in English?	Можеш ли да си спомниш първата дума, която научи на английски?
Can you remember the first word you learned in English?	Можете ли да си спомните първата дума, която научихте на английски?
Did you think I came here just to pass the time of day?	Да не мислиш, че съм дошъл тук, само за да си изгубя времето?
Did you think I came here just to pass the time of day?	Да не мислиш, че съм дошла тук, само за да си изгубя времето?
Does the price of the room include the service charges?	Цената на стаята включва ли обслужването?
Four people were in the car when the accident happened.	Четири човека бяха в колата по време на инцидента.
French is definitely not the easiest language to learn.	Френският определено не е най-лесният език за научаване.
He's been staying at that hotel for the past five days.	През последните пет дни той е отседнал в онзи хотел.
I don't have to be here. I'm here because I want to be.	Не се налага да бъда тук. Тук съм, защото искам да бъда.
I don't speak French well enough to apply for that job.	Не говоря френски достатъчно добре, за да кандидатствам за тази работа.
I got up at six, ate breakfast and then went to school.	Станах в шест, закусих и после отидох на училище.
I have an early memory of my grandmother darning socks.	Имам ранен спомен как дядо ми си замрежва чорапите.
I look forward to hearing your thoughts on this matter.	Очаквам да чуя какво мислиш по въпроса.
I ordered way too much. I don't think I can eat it all.	Поръчах си твърде много неща. Не мисля, че ще мога да изям всичко.
I owed Tom some money for some things he bought for me.	Дължах на Том пари за едни неща, които той беше купил за мен.
I should've paid more attention to what Tom was saying.	Трябваше да обърна повече внимание на това, което говореше Том.
I studied French for three years with a native speaker.	Учих френски три години с носител на езика.
I think that's the reason Tom doesn't have any friends.	Мисля, че това е причината Том да няма никакви приятели.
I thought for a moment Tom was going to start laughing.	За момент си помислих, че Том ще започне да се смее.
I was hoping I could go back to the beach next weekend.	Надявах се да мога да се върна на плажа следващия уикенд.
I wonder if Tom's parents will allow him to go with us.	Чудя се дали родителите на Том ще му позволят да дойде с нас.
I'm not worried about Tom. I'm worried about you, Mary.	Не се притеснявам за Том. Притеснен съм за тебе, Мери.
I'm not worried about you, Tom. I'm worried about Mary.	Не се притеснявам за тебе, Том. Притеснявам се за Мери.
I'm sure that by the time you get here, we'll be ready.	Сигурен съм, че докато ти стигнеш до тук, ние ще сме готови.
I'm sure that by the time you get here, we'll be ready.	Сигурна съм, че докато ти стигнеш до тук, ние ще сме готови.
In what kind of situations would you use that sentence?	В каква ситуация би използвал това изречение?
It's up to you to decide whether we'll go there or not.	От теб зависи дали ще отидем там, или не.
Last night my house was robbed while I was still awake.	Миналата нощ ми ограбиха къщата още докато бях буден.
Last night my house was robbed while I was still awake.	Миналата нощ ми ограбиха къщата още докато бях будна.
Now that he has graduated, he must become more serious.	Сега когато той завърши,трябва да стане по сериозен.
Selfie sticks are banned in many museums and galleries.	Селфи стиковете са забранени в много музеи и галерии.
She was hit by a car while she was crossing the street.	Беше ударена от кола, докато пресичаше улицата.
Since it's written in easy French, I can understand it.	Понеже е написано на опростен френски, мога да го разбера.
Some people are good talkers and others good listeners.	Някои хора умеят да говоят добре, а други са добри слушатели.
The Tokyo Stock Exchange rallied at the end of the day.	Токийската фондова борса отбеляза силен ръст в края на деня.
The boss considered firing Tom, but decided against it.	Директорът обмисли възможността да уволни Том, но реши да не го прави.
The last time I saw Tom he was headed toward the beach.	Последния път, когато видях Том, той беше тръгнал към плажа.
The student council discussed plans for the graduation.	Студентският съвет обсъждаше плановете за деня на дипломирането.
The teacher enjoyed talking with some of the graduates.	На учителят му беше приятно да разговаря с някои от завършилите ученици.
There were a lot of people on both sides of the street.	Имаше много хора от двете страни на улицата.
They did a DNA comparison to see if the body was Tom's.	Направиха ДНК анализ, за да видят дали тялото е на Том.
Tom and Mary sat on the beach and talked to each other.	Том и Мери седнаха на брега и си говориха.
Tom can read some French, but he can't speak it at all.	Том може да чете малко на френски, но изобщо не може да го говори.
Tom can't speak French. Mary can't speak French either.	Том не може да говори френски. Мери също не може да говори френски.
Tom can't speak French. Tom can't speak Spanish either.	Том не може да говори френски. Том не може да говори и испански.
Tom doesn't have a very good French-English dictionary.	Том няма добър френско-английски речник.
Tom found out Mary was stealing from the cash register.	Том откри, че Мери краде от парите в касата.
Tom gave Mary advice on effective ways to study French.	Том показа на Мери няколко ефективни начина да учи френски.
Tom gave Mary advice on effective ways to study French.	Том посъветва Мери как да учи френски ефективно.
Tom pretended not to know anything about the situation.	Том се направи, че не знае нищо за ситуацията.
Tom said, "budge over," forced his way in and sat down.	Том каза,"мръдни се",направи си път и седна.
Tom sat on the side of his bed and pulled on his socks.	Том седна на ръба на леглото и си обу чорапите.
Tom saw a vase of flowers on the table near the window.	Том видя ваза с цветя на масата до прозореца.
Tom thought Mary was single, but he wasn't really sure.	Том мислеше, че Мери е необвързана, но не беше съвсем сигурен.
Tom thought Mary was single, but he wasn't really sure.	Том мислеше, че Мери е свободна, но не беше съвсем сигурен.
Tom told Mary that he'd gone to the beach that weekend.	Том каза на Мери, че би отишъл на плаж през уикенда.
Tom took off his tie and started unbuttoning his shirt.	Том си свали вратовръзката и започна да си разкопчава ризата.
Tom was disappointed that he couldn't get into Harvard.	Том беше разочарован, че не успя да влезе в Харвард.
We all took it for granted that Tom could speak French.	Всички приемахме за дадено, че Том може да говори френски.
We are concerned about the shortage of the commodities.	Загрижени сме за недостига на стоките.
We complained to the manager about the noise next door.	Оплакахме се на управителя за шума от съседите.
We're going to have an examination in English tomorrow.	Ще имаме изпит по английски утре.
What do you make of his attitude towards us these days?	Как възприемаш отношението му към нас тези дни?
You won't be able to see anything without a flashlight.	Няма да видиш нищо без фенерче.
You won't be able to see anything without a flashlight.	Няма да виждаш нищо без фенерче.
A considerable number of students want to go to college.	Значителен брой студенти искат да учат в университета.
A lot of students around the world are studying English.	Много ученици по света учат английски език.
Americans liked what they heard from Franklin Roosevelt.	Американците харесаха това, което чуха от Франклин Рузвелт.
Are you sure you want me to help you with your homework?	Сигурен ли си, че искаш да ти помогна за домашното?
Are you sure you want me to help you with your homework?	Сигурна ли си, че искаш да ти помогна за домашното?
French isn't as difficult to learn as some people think.	Френският не е толкова труден за научаване, колкото си мислят някои хора.
How many people die from automobile accidents each year?	Колко души умират при автомобилни произшествия всяка година?
I asked the butcher to trim all the fat off of the meat.	Помолих месаря да премахне всичката мазнина от месото.
I can't express myself in French as well as I'd like to.	Не мога да се изразявам на френски толкова добре, колкото бих искал.
I haven't told the kids yet that we're getting divorced.	Още не съм казала на децата, че се развеждаме.
I haven't told the kids yet that we're getting divorced.	Още не съм казал на децата, че се развеждаме.
I read a couple of more chapters before I went to sleep.	Прочетох още няколко глави, преди да заспя.
I recognized him at once, because I had seen him before.	Познах го веднага, защото съм го виждал и преди.
I recognized him at once, because I had seen him before.	Познах го веднага, защото съм го виждала и преди.
I studied French in school, but I'm not very good at it.	Учил съм френски в училище, но не го говоря много добре.
I think Tom shares too much personal information online.	Том споделя много информация в интернет.
I think this book has never been translated into French.	Мисля, че тази книга никога не е била превеждана на френски.
I thought I was going to suffocate on the crowded train.	Мислех, че ще се задуша в претъпкания влак.
I want to go to the same school that Tom plans to go to.	Искам да отида в същото училище, в което Том възнамерява да се запише.
I was very thirsty and I wanted to drink something cold.	Бях много жаден и исках да пия нещо студено.
I wouldn't be here today if Tom hadn't asked me to come.	Нямаше да съм тук днес, ако Том не ме беше помолил да дойда.
I wouldn't be surprised if Tom got kicked out of school.	Няма да се изненадам, ако изхвърлят Том от училище.
If there is anything you want, don't hesitate to ask me.	Ако искаш нещо, не се колебай да ми кажеш.
If you are to know a nation, you must learn its history.	Ако искаш да опознаеш една нация, трябва да научиш нейната история.
It would be fun to see how things change over the years.	Би било забавно да се види как нещата се променят с годините.
My aunt, who lives in Tokyo, sent me a beautiful blouse.	Леля ми, която живее в Токио, ми изпрати красива блуза.
The poor people were at the mercy of the cruel dictator.	Бедният народ зависеше от волята на жестокия диктатор.
The statistics show that our standard of living is high.	Статистиката показва, че стандартът ни на живот е висок.
The students were for the most part from the West Coast.	В по-голямата си част студентите бяха от Западния бряг.
There was only one warden on duty when the riot started.	Имаше само един надзирател на пост, когато започна бунтът.
They are so much alike that I don't know which is which.	Толкова много си приличат, че не знам кое кое е.
This is the best seafood restaurant in the neighborhood.	Това е най-добрият ресторант за морска храна в този квартал.
Tom believes that the death penalty should be abolished.	Том смята,че смъртното наказание трябва да бъде отменено.
Tom doesn't think Mary lies to him, but I know she does.	Том не мисли, че Мери го лъже, но аз знам, че тя лъже.
Tom is the one who told me why I needed to go to Boston.	Том е човекът, който ми каза защо трябва да отида в Бостън.
Tom's mother thought he needed to make some new friends.	Майката на Том мислеше, че той има нужда от нови приятели.
Tom's mother thought he needed to make some new friends.	Майката на Том си помисли, че той има нужда от нови приятели.
We deliberated whether we should cancel the reservation.	Обсъдихме дали да отменим резервацията.
We're going to the party in eighteenth century costumes.	Ще си правим парти в костюми от осемнайсти век.
What's in the beach bag that's in the trunk of your car?	Какво има в плажната чанта, която е в багажника на колата ти?
What's in the beach bag that's in the trunk of your car?	Какво има в плажната чанта, дето ти е в багажника на колата?
You may take photos outside this museum, but not inside.	Можете да правите снимки извън музея, но не и вътре.
Your ideas about the government are different from mine.	Твоите идеи за правителството са различни от моите.
A strange man was walking back and forth on the pavement.	Един странен човек се разхождаше нагоре-надолу по тротоара.
Can you account for all the money you spent on your trip?	Може ли да отчетеш всички пари, които си похарчил по време на пътуването си?
Children often cry just because they want some attention.	Децата често плачат, защото искат да им се обърне внимание.
Could you teach me some French phrases that I might need?	Ще ме научиш ли някои френски фрази, които може да ми потрябват?
Don't waste your youth, otherwise you'll regret it later.	Не пропилявайте младостта си, иначе после ще съжалявате.
How long does the airport bus take to get to the airport?	Автобусът за летището за колко време стига до летището?
I hope I get a chance to return the favor you've done me.	Надявам се да имам шанс да ти върна услугата.
I was completely bewildered by his sudden change of mood.	Бях напълно озадачен от рязката смяна на настроението му.
I'll tell you only if you promise to keep it to yourself.	Ще ти кажа само ако обещаеш да пазиш тайна.
I've heard that sitting up straight is bad for your back.	Чух, че да седиш изправен, е лошо за гърба ти.
If what you say is true, it follows that he has an alibi.	Ако това, което казваш, е вярно, очевидно има алиби.
In Japan, practically every family has a washing machine.	В Япония практически всяко семейство има пералня.
My father will cook me a delicious meal tomorrow morning.	Баща ми ще ми сготви вкусна гозба утре сутринта.
My wife gave birth prematurely to a 1,500-gram baby girl.	Жена ми роди преждевременно момиче, което тежеше 1500 грама.
Not knowing where to get off the bus, I asked the driver.	Понеже не знаех къде да сляза, попитах шофьора на автобуса.
The police found a body washed up on the beach near here.	Полицията намери тяло, изхвърлено на брега недалече от тук.
The students didn't remember what they read in that book.	Студентите не помнеха какво са прочели в тази книга.
The students didn't remember what they read in that book.	Студентите не помнеха какво са чели в тази книга.
Tom can't stay for long so let's get the meeting started.	Том не може да остане дълго, затова нека срещата започне.
Tom had some gum stuck on the bottom of one of his shoes.	Върху подметката на едната обувка на Том имаше залепнала дъвка.
Tom loosened his tie and unbuttoned his top shirt button.	Том разхлаби вратовръзката и си разкопча горното копче на ризата.
Tom showed me the letter that Mary had written in French.	Том ми показа писмото, което Мери беше написала на френски.
Tom was the first one to recognize Mary's musical talent.	Том пръв забеляза музикалната дарба на Мери.
Tom will likely be discharged from the hospital tomorrow.	Том вероятно ще бъде изписан от болницата утре.
Tom's handwriting isn't very good, but it's easy to read.	Почеркът на Том не е много красив, но е четлив.
What changes the world is communication, not information.	Това, което променя светът, е комуникацията, не информацията.
You have wanted to go there for a long time, haven't you?	Отдавна не ти се е ходило там, нали?
You're going to leave for London next Sunday, aren't you?	Другата неделя ще заминаваш за Лондон, нали?
You're going to leave for London next Sunday, aren't you?	Нали заминаваш за Лондон следващата неделя?
You're going to leave for London next Sunday, aren't you?	Идната неделя нали заминаваш за Лондон?
80% of the world's computerized information is in English.	80% от компютъризираната информация в света е на английски език.
"How are you feeling this morning?" "Pretty good, thanks."	"Как се чувстваш тази сутрин?" "Доста добре, благодаря."
A passenger fainted, but the stewardess brought him round.	Пътника припадна но стюардесата го свести.
Are you honestly telling me you never want to get married?	Сериозно ли ми казваш, че никога няма да се омъжиш?
Are you honestly telling me you never want to get married?	Сериозно ли ми казваш, че никога няма да се ожениш?
Are you sure you don't want me to help you do the laundry?	Сигурен ли си, че не искаш да ти помогна с прането?
Are you sure you don't want me to help you do the laundry?	Сигурна ли си, че не искаш да ти помогна с прането?
As far as we can tell, Tom wasn't involved in the robbery.	Доколкото можем да преценим, Том не е бил замесен в грабежа.
How long has it been since you received a letter from him?	Колко време мина, откакто получи писмо от него?
Hundreds of people have starved to death in that district.	Стотици хора са умрели от глад в този район.
I assume you're the Tom everybody's been telling me about.	Предполагам, ти си този Том, за когото всички ми казваха.
I think we need to find out who Tom plans to give that to.	Мисля, че трябва да разберем на кого Том планира да даде това.
I think we need to find out who Tom plans to give that to.	Мисля, че трябва да разберем на кого Том планира да го даде.
I think we need to find out why Tom wasn't here yesterday.	Мисля, че трябва да разберем защо Том не беше тук вчера.
If God did not exist, it would be necessary to invent him.	Ако Бог не съществува, би било необходимо да го изобретим.
If I could speak French half as well as you, I'd be happy.	Щях да бъда щастлив, ако можех да говоря френски наполовина толкова добре, колкото го говориш ти.
If I could speak French half as well as you, I'd be happy.	Щях да бъда щастлива, ако можех да говоря френски наполовина толкова добре, колкото го говориш ти.
It'd be better if you didn't associate with men like that.	По-добре ще е, ако не се свързваш с такива хора.
It's quite apparent that you don't want to do this for me.	Ти очевидно не искаш да направиш това за мене.
Nothing has been heard from him since he left for America.	За него не се знаеше нищо, откакто беше заминал за Америка.
Please put out your cigarettes before entering the museum.	Моля ви да загасите цигарите си преди да влезете в музея.
The most important thing you can do now is to remain calm.	Най-важното нещо, което можеш да направиш сега, е да запазиш спокойствие.
The room was so full of smoke that I could hardly breathe.	Стаята беше толкова опушена, че трудно можех да дишам.
The time will come when she will regret what she has said.	Ще дойде време, когато тя ще съжалява за това, което е казала.
The visitors waited in a long line to get into the museum.	Посетителите се редиха на дълга опашка, за да влязат в музея.
This was the most interesting book that she had ever read.	Това беше най-интересната книга, която тя беше чела някога.
Tom and Mary got married three years after they first met.	Том и Мери се ожениха три години, след като се запознаха.
Tom and Mary got married three years after they first met.	Том и Мери се ожениха три години, след като се срещнаха за първи път.
Tom could hardly speak French at all when I first met him.	Том почти не говореше френски, когато се запознахме.
Tom found a hair in his soup and complained to the waiter.	Том намери косъм в супата и се оплака на келнера.
Tom is the only student in our class who can speak French.	Том е единственият ученик в нашия клас, който може да говори френски.
Tom made no attempt to convince Mary that he was innocent.	Том не направи опит да убеди Мери, че е невинен.
Tom only had one pair of socks and they had holes in them.	Том имаше само един чифт чорапи и те имаха дупки.
We used to think that was why this kind of thing happened.	Преди мислехме, че това е причината да се случват подобни неща.
While I was waiting for the bus, I saw a traffic accident.	Докато чаках автобуса, станах свидетел на катастрофа.
While we were on holiday, a neighbor took care of our cat.	Един съсед се погрижи за котката, докато ние бяхме на почивка.
While we were on holiday, a neighbor took care of our cat.	Докато ние бяхме на почивка, един съсед се погрижи за котката.
You cannot enter the museum. It is currently under repair.	Не можете да влезете в музея. В момента е в реконструкция.
French is one of the languages I've always wanted to learn.	Френският е един от езиците, които винаги съм искал да науча.
He made it clear that he had nothing to do with the matter.	Той даде ясно да се разбере, че няма нищо общо по въпроса.
I think you already have enough money to buy what you need.	Мисля, че вече имаш достатъчно пари да купиш каквото ти е нужно.
I'm going to go through with it in spite of her opposition.	Мисля да стигна до края въпреки нейното несъгласие.
It's been a long time since I had such a pleasant surprise.	Много време мина от последната толкова хубава изненада за мен.
It's not as though the world is going to end if she leaves.	Светът няма да свърши, ако тя си тръгне.
My teacher told me to turn in my paper as soon as possible.	Учителят ми ми каза да си предам работата колкото е възможно по-рано.
Some of the people in the crowd were throwing beer bottles.	Имаше хора в тълпата, които хвърляха бирени бутилки.
The children thought that their parents were made of money.	Децата мислеха, че родителите им са направени от пари.
The only useful answers are those that raise new questions.	Единствените полезни отговори са тези, които пораждат нови въпроси.
The population of Japan is larger than that of New Zealand.	Населението на Япония е по-голямо от това на Нова Зеланция.
The priest blessed the congregation at the end of the mass.	Отеца благослови богомолците в края на литургията.
The sum of all the angles in a triangle equals 180 degrees.	Сумата на всички ъгли в триъгълника е 180 градуса.
There was a large audience at the piano recital last night.	Имаше много публика на пиано рецитала миналата нощ.
They tried very hard to gain an advantage over one another.	Всеки от тях се опитваше много усърдно да спечели предимство пред другия.
This is such an easy problem that any student can solve it.	Тази задача е толкова лесна, че всеки студент може да я реши.
Tom explained it to me, but I still couldn't understand it.	Том ми го обясни, обаче аз пак не можах да го разбера.
Tom is a New Yorker, but he doesn't have a New York accent.	Том е нюйоркчанин, но няма нюйоркски акцент.
When I was a kid, I often went to the beach to go swimming.	Когато бях дете, често ходех на плажа да плувам.
You sure gab a lot don't you? You're a natural born talker.	Ама и на тебе доста ти работи ченето, а? Роден оратор.
After the accident, they connected him to a lot of machines.	След злополуката го вързаха за много апарати.
All the doctor's efforts were in vain and the man soon died.	Всичките усилия на лекаря бяха напразни и мъжът скоро почина.
Among other things, carats are a measure of gold's fineness.	Освен всичко друго, каратът е мярка за чистотата на златото.
Any problem can be solved if you are persistent and patient.	Всеки проблем може да бъде разрешен, ако си упорит и търпелив.
Any problem can be solved if you are persistent and patient.	Всеки проблем може да бъде разрешен, ако сте упорити и търпеливи.
Be sure to switch off the television before you go to sleep.	Провери дали си изключил телевизора, преди да заспиш.
Be sure to switch off the television before you go to sleep.	Провери дали си изключила телевизора, преди да заспиш.
Be sure to switch off the television before you go to sleep.	Проверете дали сте изключили телевизора, преди да заспите.
Dark as it was, we managed to find our way back to our tent.	При все че беше тъмно, ние успяхме да се върнем при палатката си.
Even though Tom left home early today, he was late for work.	Въпреки че днес Том тръгна рано от вкъщи, той закъсня за работа.
Even though it meant risking danger, he decided to go there.	Макар това да значеше, че ще се изложи на опасност, той се реши да отиде там.
From what I've seen of the product so far, it's pretty good.	Съдейки по видяното дотук, продуктът върши доста добра работа.
I found a note on the table, but I don't know who it's from.	Намерих една бележка на бюрото си, но не знам от кого е.
I'm not the only one who thinks Tom shouldn't be doing that.	Не само аз мисля, че Том не трябва да прави това.
I've only spoken to Tom twice since he started working here.	Разговарял съм с Том само два пъти откак той започна работа тук.
Just between ourselves, I don't think he's going to succeed.	Между нас казано, не мисля, че той ще успее.
Lawyers and auto mechanics are the people I trust the least.	Адвокатите и автомобилните механиците са хората, на които вярвам най-малко.
Please stay seated until the plane comes to a complete stop.	Моля, останете седнали до пълното спиране на самолета.
The first thing you have to take into consideration is time.	Първото нещо което трябва да вземеш под внимание е времето.
The tunnel caved in because of the earthquake the other day.	Тунелът пропадна заради земетресението от предишния ден.
Tom doesn't want to admit that he doesn't know how to do it.	Том не иска да признае, че не знае как да го направи.
Tom is better at speaking French than any of his classmates.	Том говори френски много по-добре от кой да е от неговите съученици.
Tom is very sleepy, because he didn't sleep well last night.	На Том много му се спи, защото той не можа да спи добре миналата нощ.
We'll go to Hong Kong first, and then we'll go to Singapore.	Първо ще отидем до Хонконг, а после ще отидем до Сингапур.
We're heading for the beach. Would you like to come with us?	Ние тръгваме към плажа. Ти искаш ли да дойдеш с нас?
When I'm with a crying baby, I end up wanting to cry myself!	Когато съм с ревящо бебе, накрая и на мен ми се доревава.
You're not supposed to wear your slippers down to the lobby.	Не може да ходиш по чехли във фоайето.
According to a study, big women are more prone to have twins.	Според едно изследване, вероятността да имат близнаци при едрите жени е по-голяма.
His exhibition at the city museum didn't appeal to me at all.	Неговата изложба в градския музей изобщо не ме впечатли.
How long does the airport shuttle take to get to the airport?	За колко време стига шатълът до летището?
I just find it hard to believe that Tom really believes that.	Просто ми е трудно да повярвам, че Том наистина го вярва.
I remember the event as vividly as if it were just yesterday.	Спомням си събитията толкова живо, сякаш че беше вчера.
It took a long time and a lot of money to build this factory.	Отне много време и пари да се построи тази фабрика.
Last night was very hot and muggy, so I didn't sleep so well.	Миналата вечер беше много гореща и задушна и не можах да спя много добре.
My uncle says he's about to embark on a new business venture.	Моят чичо казва, че ще започне нов бизнес.
She bought some paper that she could use for writing letters.	Хартия за писма.
Someone spoke to me in French, but I couldn't understand him.	Един човек се обърна към мен на френски, но не можах да го разбера.
This kind of blouse is beginning to look a bit old-fashioned.	Този тип блузи започват да изглеждат малко демоде.
Tom speaks French well, but not as well as he speaks English.	Том говори френски добре, но не толкова добре, колкото английския.
Tom wanted to leave, but Mary wanted to stay a little longer.	Том искаше да си ходи, но Мери искаше да остане още малко.
Tom wanted to leave, but Mary wanted to stay a little longer.	Том искаше да си тръгне, но Мери искаше да остане още малко.
Tom, your handwriting isn't very good, but it's easy to read.	Том, почеркът ти не е много красив, но е четлив.
A person's heart is approximately the same size as their fist.	Сърцето на човек е приблизително със същата големина като юмрука му.
Get off at the next stop and take a bus headed to the airport.	Слезте на следващата спирка и хванете автобус в посока летището.
He did it, and what was more surprising, he did it by himself.	Той го направи, и което е по-учудващо, направи го сам.
I think Mary is one of the most beautiful women I've ever met.	Мисля, че Мери е една от най-красивите жени, които съм срещал.
I wonder if there is any reason to translate this into French.	Чудя се дали има смисъл да се превежда това на френски.
It looks like there are at least a hundred people in the room.	Изглежда в стаята има поне сто души.
The city is gaining popularity as a major tourist destination.	Градът спечелва популярност като главна туристическа дестинация.
The man wearing the red tie is the only one here I don't know.	Мъжът с червената вратовръзка е единственият тук когото не познавам.
Three months before Tom was to graduate from college, he died.	Три месеца преди Том да завърши колежа, той умря.
Tom has been living out of a suitcase for the past two months.	През последните два месеца Том непрекъснато се мести от място на място.
Tom loved to sing, but nobody wanted to listen to his singing.	Том обичаше да пее, но никой не искаше да го слуша как пее.
You shouldn't say that kind of thing when children are around.	Не трябва да говориш такива неща когато наоколо има деца.
You'd better hurry, otherwise you won't get there before dark.	По-добре да побързаш, иначе няма да стигнеш там преди мръкване.
Although we don't have much money, I want to buy this painting.	Макар че нямаме много пари, искам да купя тази картина.
Hunger compelled the boy to steal money from the cash register.	Момчето не можа да устои на глада, затова открадна парите от касата.
I'd like to get this translated into French. Could you help me?	Бих искал да преведа това на френски. Би ли ми помогнал?
I'd like to get this translated into French. Could you help me?	Бих искал да преведа това на френски. Би ли ми помогнала?
I'd like to get this translated into French. Could you help me?	Бих искала да преведа това на френски. Би ли ми помогнала?
I'd like to get this translated into French. Could you help me?	Бих искала да преведа това на френски. Би ли ми помогнал?
I'll help you with your French, if you help me with my English.	Ще ти помогна с френския, ако ми помогнеш с английския.
I'm afraid I won't be able to make myself understood in French.	Страхувам се, че няма да мога да предам какво искам да кажа на френски.
I'm afraid I won't be able to make myself understood in French.	Страхувам се, че няма да мога да се обясня на френски.
I'm tired of altering my plans every time you change your mind.	Омръзна ми да променям плановете си всеки път, когато решиш, че искаш нещо друго.
