Help!	Uhupai!
Tom asked Mary if she would ever consider going out with John again.	Minuhot i Tom di Mary nung moi isido ruba di John do kawagu.
Some people claim that there are no more heroes in the Western world.	Ondos nopo dombokon nga aiso nodi gunsiou do kogumuan hiri'd kotonobon pogun.
Tom looked distant and distracted while Mary told him her life story.	Au osonong topirumanan di Tom soira i Mary manangon kokomoi kopoposion disido.
We need apples, oranges, bread and peanut butter from the supermarket.	Mumang yahai do ipol, urin, ruti om kasang montiga mantad do supamakit.
It would be better if you didn't climb such a high mountain in the winter.	Mogot nogi do au ko mooi takad hiri nulu takawas do musim tososogit.
The research done by them shows that Americans are not interested in Japan.	Tumanud ponoriukan diolo, amu i tulun Amorika orohian kokomoi di Gipun.
Washing your hands regularly is a good way to prevent catching some diseases.	Momoug do longon nopo nga kararalano do angkang tosonong mantad do rolihon do toruol.
A study reports that 53,000 Americans die each year as a result of secondhand smoke.	Tumanud kopoilaan do ripot, soginumu 53,000 tulun Amorika napatai do tikid toun tu sabap nopo momungkus mantad sandad do momungkus.
The government will provide interest-free loans to firms that participate in the program.	Pohoroon o kopolintaan do oloson dot au gatangon montok popokito do kohompit id abaabayan.
Bornean orangutans, a critically endangered species, give birth approximately every eight years.	Koligaganan nopo ginumuan kogiu mantad pulou Borneo dot osusuan id lolobi po walu toun.
