Hi.	سلام۔
If you look after your clothes, they last a lot longer.	اگر تم اپنے کپروں کا دھیان رکھو گے تو وہ زیادہ عرصہ چلے گے۔
My father told me about his experiences during the war.	میرے ابو نے مجھے اپنے جنگی تجربے کے بارے میں بتایا۔
My father told me about his experiences during the war.	میرے والد نے مجھے اپنے جنگی تجربے کے بارے میں بتایا۔
The committee is composed of three men and seven women.	کمیٹی میں تین مرد اور سات عورتیں ہیں۔
You'll save yourself a lot of time if you take the car.	اگر تم گاڑی میں جائو گے تو تم اپنا کافی وقت بچا لو گے۔
Every time I look at this picture, I think of my father.	جب بھی میں اس تصویر کو دیکھتا ہوں، مجھے اپنے ابو یار آ جاتے ہے۔
Is it the vacuum cleaner's fault that the room is dusty?	کیا یہ ویکیوم کلینر کا قصور ہے کہ کمرہ گندا ہے؟
Deaf people often talk to each other using sign language.	بہرے لوگ اکثر ایک دوسرے سے نشانی زبان میں بات کرتے ہیں۔
Do you have any idea where Tom might have put his camera?	تمھیں کوئی آئڈیا ہے کہ ٹام نے اپنا کیمرہ کدھر دکھا ہوا ہے؟
It is very hard to tell what country a person comes from.	کافی مشکل ہے بتانا کہ کونسا بندہ کس ملک سے ہے۔
The last bus had already gone when I got to the bus stop.	میرے بس سٹاپ پہنچنے تک آخری بس نکل چکی تھی۔
I have to have an interview before taking the examination.	مجھے امتہان سے پہلے ایک انٹرویو دینا پڑے گا۔
On last week's English test, my score was worse than hers.	پچھلے ہفتے کے انگریزی کے امتحان میں میرے اس سے برے نمبر تھے۔
The doctor tried every possible means to save his patient.	ڈاکٹر نے ہر ممکن کوشش کی مریض کو بچانے کے لیئے۔
Compared with last year, this year's crops are much better.	پچھلے سال کے مقابلے میں اس سال کی کپاس بے مثال ہیں۔
I just told Tom that I wanted to help him clean the garage.	میں نے ٹام کو بتایا کہ مجھے گراج کی صفائی کے لئیے مدد چاہئیے۔
I need another can of paint to finish painting the ceiling.	مجھے پینٹ کا ایک کنستر اور چاہئیے چھت کو پوری طرح پینٹ کرنے کے لئیے۔
I thought we'd never get out of the burning building alive.	مجھے لگا ہم کبھی بھی اس جلتی ہوئی عمارت سے زندہ نہیں نکل سکے گے۔
Many people in Africa were killed as a result of the storm.	طوفان کے نتیجے میں افریقہ کے بہت سے لوگ ہلاک ہو گئے تھے۔
The grass is always greener on the other side of the fence.	دور کے ڈھول سہانے۔
His mother said that he had been sick in bed for five weeks.	اس کی والدہ نے بتایا ہے کہ وہ پانچ ہفتوں سے بستر میں بیمار پڑا ہے۔
His mother said that he had been sick in bed for five weeks.	اس کی امی نے بتایا ہے کہ وہ پانچ ہفتوں سے بستر میں بیمار پڑا ہے
She fainted, and I had to hold her to keep her from falling.	وہ بیہوش ہو گئی، اور مجھے اس کو گرنے سے بچانے کے لئے پکڑنا پڑا۔
There's no danger of this lamp setting fire to the curtains.	اس چراغ سے پردوں کو آگ لگنے کا کوئی خطرہ نہیں۔
You should try to form the habit of using your dictionaries.	تمہیں لغات کو استعمال کرنے کی عادت بنانی چائیے۔
You should try to form the habit of using your dictionaries.	آپ کو لغات کو استعمال کرنے کی عادت بنانی چائیے۔
In addition to being a doctor, he was a very famous novelist.	ڈاکٹر ہونے کے علاوہ وہ ایک مشہور مصنف بھی تھا۔
I got up early so that I might be in time for the first train.	میں صبح جلدی اٹھا تاکہ میں پہلی ریل گاڑی پکڑ سکوں۔
I got up early so that I might be in time for the first train.	میں صبح جلدی اٹھی تاکہ میں پہلی ریل گاڑی پکڑ سکوں۔
You shouldn't say that kind of thing when children are around.	تمہیں اس قسم کی باتیں بچوں کے سامنے نہیں کرنی چائیے۔
You shouldn't say that kind of thing when children are around.	آپ کو اس قسم کی باتیں بچوں کے سامنے نہیں کرنی چائیے۔
On my way home from school yesterday, I was caught in a shower.	کل سکول سے واپس آتے ہوئے میں بارش کی لپیٹ میں آ گیا تھا۔
On my way home from school yesterday, I was caught in a shower.	کل سکول سے واپس آتے ہوئے میں بارش کی لپیٹ میں آ گئی تھی۔
Once you've formed a bad habit, you can't get rid of it easily.	ایک بار تم نے کوئی گندی عادت اپنالی، پھر اس سے آرام سے جان نہیں چھٹے گی۔
Tom has been eating at that restaurant since he was a teenager.	ٹام اس ریستوران میں تب سے جا رہا ہے جب سے وہ نوجوان ہوتا تھا۔
You will be able to speak fluent English in another few months.	تم کچھ مہینوں میں بہترین انگریزی بول سکو گے۔
I don't know how I did it. The important thing is that I did it.	مجھے نہیں پتہ میں نے کیسے کیا ہے، مگر اصل چیز یہ ہے کہ میں نے کر لیا ہے۔
This morning I went to the airport in order to see my cousin off.	آج صبح میں ائیرپورٹ گیا تھا اپنے کزن کو چھوڑنے۔
Before you criticize someone, you should walk a mile in their shoes.	کسی پہ تنقید کرنے سے پہلے اُس کی زندگی کو پہلے سمحھ لو۔
Winter seems to be sticking around a lot longer than usual this year.	سردی اس سال کافی لمبی ہو گئی ہے۔
She cut the cake into six pieces and gave one to each of the children.	اس نے کیک کے چھہ پیس کیئے اور ہر بچے کو ایک ایک پیس دیا۔
Children who are sixteen years old or younger may not enter the theater.	سولہ سال سے کم عمر کے بچے ٹھیٹر میں داخل نہیں ہو سکتے۔
She borrowed the book from him many years ago and hasn't yet returned it.	اس نے اس سے یہ کتاب کئی سال پہلے ادھار لی تھی اور ابھی تک نہیں لوٹائی۔
She asked him to not quit his job because they were poor and needed the money.	اس نے اسے اپنی نوکری چھوڑنے سے منع کیا کیونکہ وہ غریب ہے اور ان کو پیسوں کی ضرورت ہیں۔
Tom would've liked to attend Mary's party. Unfortunately, he had other things he had to do.	ٹام میری کی پارٹی میں شامل تو ہونا چاہتا تھا مگر بدقسمتی سے اسے کچھ اور ضروری کام تھے۔
When you meet someone for the first time, be careful about how close you stand to that person.	جب تم پہلی دفعہ کسی سے ملو، اس بات کو مد نظر رکھو کہ تم اس کے کتنا قریب کھڑے ہو۔
