Who?	Hvem?
Tom will remember this weekend as long as he lives.	Tom kommer til å huske denne helgen for resten av livet.
Tom's opinions don't carry much weight around here.	Toms meninger har ikke særlig betydning her.
Which do you like better, the sea or the mountains?	Hvilken liker du best, fjell eller sjø?
Why are there fire trucks in front of our building?	Hvorfor er det brannbiler foran bygningen vår?
A violinist I know says that he owns a Stradivarius.	En fiolinist jeg kjenner sier at han eier en Stradivarius.
All students are free to use the university library.	Alle universitetets studenter kan fritt benytte universitetsbiblioteket.
Atomic energy can be utilized for peaceful purposes.	Atomenergi kan brukes til fredelige formål.
Can you tell me how you get to the American Embassy?	Kan du si meg hvordan man kommer til den amerikanske ambassaden?
Don't treat me the same way you would treat a child.	Ikke behandle meg på samme måten som du ville behandlet et barn.
Every time I see this picture, I remember my father.	Når jeg ser dette bildet, minnes jeg alltid min far.
Grandmother looks after the children during the day.	Bestemor tar hånd om barna om dagen.
He always pays attention to his children's behavior.	Han er alltid oppmerksom på sine barns oppførsel.
He doesn't have the ability to do the work properly.	Han er ikke i stand til å gjøre arbeidet skikkelig.
His sister and I will certainly become good friends.	Søsteren hans og jeg vil nok bli gode venner.
I don't feel like doing anything when it's this hot.	I denne varmen føler jeg ikke for å gjøre noe som helst.
I don't have the remotest idea what he will do next.	Jeg har ikke den fjerneste anelse om hva det neste han vil gjøre er.
I guess everybody thinks that I'm in love with Mary.	Ser ut til at alle tror jeg er forelsket i Mary.
I knew I was wasting my time trying to convince Tom.	Jeg visste at det var bortkastet tid å prøve å overbevise Tom.
I will never forget your kindness so long as I live.	Jeg kommer aldri til å glemme din barmhjertighet så lenge jeg lever.
I wish I could've stuck around for a few more hours.	Jeg skulle ønske jeg kunne bli noen timer til.
It will not be long before the winter vacation ends.	Det tar ikke lang tid før vinterferien er over.
It's going to rain soon. Look at those black clouds.	Det kommer til å regne snart, bare se på de mørke skyene.
Mary isn't really sick. She's only pretending to be.	Maria er ikke virkelig syk, hun bare later som.
Most Swiss people can speak three or four languages.	De fleste sveitsere kan snakke tre eller fire språk.
My brother has been living in London for many years.	Broren min har bodd i London i mange år.
My driving instructor says I should be more patient.	Kjørelæreren min sier jeg bør være mer tålmodig.
The ground was covered with a heavy blanket of snow.	Bakken var dekket av et tungt teppe med snø.
The man left the restaurant without paying his bill.	Mannen dro fra restauranten uten å betale regningen.
The next morning, the snowman had completely melted.	Neste morgen hadde snømannen smeltet helt.
The teacher was very fair when she marked our exams.	Læreren var veldig rettferdig da hun satte eksamenskarakterene.
There are around three thousand mosques in Istanbul.	Det er rundt tre tusen moskéer i Istanbul.
There are around three thousand mosques in Istanbul.	Det er omtrent tre tusen moskéer i Istanbul.
There are around three thousand mosques in Istanbul.	Det er circa tre tusen moskéer i Istanbul.
They have a very good curriculum at that university.	De har en meget bra læreplan på det universitetet.
This is the first time I've seen anything like this.	Det er første gang jeg har sett noe sånt.
Tom picked out an interesting book for Mary to read.	Tom valgte en interessant bok for Maria.
Tom said he hoped that Mary would come to his party.	Tom sa at han håpet Mary ville komme til festen hans.
Tom said he intends to go to Australia next October.	Tom sa at han planlegger å dra til Australia neste oktober.
Tom said he thought we shouldn't go to Mary's party.	Tom sa at han mente at vi ikke burde dra til Marys fest.
Tom wishes that he could be a better French speaker.	Tom skulle ønske han var bedre i fransk.
Tom would like to become a simultaneous interpreter.	Tom har lyst til å bli en tolk.
We're going to Tom's birthday party tomorrow, right?	Vi drar på bursdagsfesten til Tom i morgen, ikke sant?
We've been living together for the last three years.	Vi har bodd sammen di siste tre årene.
What're you going to do during your summer vacation?	Hva skal du gjøre i sommerferien?
Would you like to hear about what I did last summer?	Har du lyst til å høre hva jeg gjorde i fjor sommer?
Have you ever wondered how many stars are in the sky?	Har du noen gang lurt på hvor mange stjerner det er på himmelen?
He finally realized that Mary had made a fool of him.	Han innså til slutt at Mary hadde gjort ham til latter.
He lives in a luxury apartment close to Central Park.	Han bor i en luksusleilighet i nærheten av Central Park.
How much did you have to pay to get your truck fixed?	Hvor mye måtte du betale for å få bilen din reparert?
I don't have a CD player, but I bought the CD anyway.	Jeg har ingen CD-spiller, men jeg kjøpte CDen allikevel.
I live in a town, but my parents live in the country.	Jeg bor i en by, men foreldrene mine bor på landet.
I prefer living in the country to living in the city.	Jeg foretrekker å bo på landet, framfor byen.
I sometimes help my parents in the shop after school.	Jeg hjelper noen ganger mine foreldre i butikken etter skolen.
It seems that Tom and Mary both like classical music.	Det ser ut som både Tom og Mary liker klassisk musikk.
It seems that both Tom and Mary like classical music.	Det ser ut som både Tom og Mary liker klassisk musikk.
The Rhine is the boundary between France and Germany.	Rhinen er grensen mellom Frankrike og Tyskland.
The magician asked for a volunteer from the audience.	Tryllekunstneren spurte etter frivillige blant publikum.
The only weapons I have in my home are water pistols.	De eneste våpen jeg har i mitt hjem er vannpistoler.
The prince fell in love with a woodcutter's daughter.	Prinsen forelsket seg i en tømmerhugger sin datter.
The prince fell in love with a woodcutter's daughter.	Prinsen forelsket seg i en tømmerhuggers datter.
Tom definitely should have gotten the death sentence.	Tom burde definitivt ha fått dødsstraff.
Tom is already here, but Mary hasn't gotten here yet.	Tom er allerede her, men Mary er ikke kommet ennå.
Tom said he thought we should try to get there early.	Tom sa han mente at vi skulle prøve å dra dit tidlig.
Tom wishes he didn't have to help with the housework.	Tom skulle ønske han ikke måtte hjelpe til med husarbeidet.
We were completely exhausted from the five-hour trip.	Vi var helt utslitte etter fem timers reise.
We'll have a good crop if this good weather keeps up.	Vi vil få en god avling hvis det fine været fortsetter.
Whenever I find something I like, it's too expensive.	Når jeg finner noe jeg liker, er det alltid for dyrt.
A piece of bread was not enough to satisfy his hunger.	Et stykke brød var ikke nok til å stille sulten hans.
A violinist I know claims that he owns a Stradivarius.	En fiolinist jeg kjenner hevder at han eier en Stradivarius.
Excuse me, can you tell me how to get to Central Park?	Unnskyld, kan du forklare meg hvordan en kommer seg til Central Park?
He tried to give up smoking several times, but failed.	Han prøvde å slutte å røyke flere ganger, uten hell.
I live near the sea so I often get to go to the beach.	Jeg bor nær sjøen, så jeg får ofte dratt til stranden.
I took him to the most expensive restaurant on campus.	Jeg tok han med på den dyreste restauranten på campus.
I'll postpone my trip to England until it gets warmer.	Jeg utsetter turen min til England til det blir varmere.
I'll postpone my trip to England until it gets warmer.	Jeg utsetter turen til England frem til det blir varmere.
I'm afraid that I'm not familiar with that expression.	Jeg er dessverre ikke kjent med det uttrykket.
I'm afraid that I'm not familiar with that expression.	Det uttrykket er meg desverre ikke bekjent.
I'm not saying what she did was the right thing to do.	Jeg sier ikke at det hun gjorde var riktig.
If it were not for water, no living things could live.	Var det ikke for vann, ville det ikke vært noe liv.
It is questionable whether this data can be relied on.	Det er tvilsomt om en kan stole på disse dataene.
It is surprising how many unhappy marriages there are.	Det er overraskende hvor mange ulykkelige ekteskap som finnes.
My father often goes to the United States on business.	Faren min drar ofte til USA på forretningsreiser.
My wife showed excellent taste in decorating the room.	Kona mi viste en utmerket estetisk sans når hun dekorerte rommet.
Please send this document before the end of the month.	Vennligst send dette dokumentet innen utløpet av denne måneden.
She has decided to live in the United States for good.	Hun har bestemt seg for å bo i USA for godt.
The best thing to do is to ask an expert to repair it.	Det beste er å be en ekspert om å reparere den.
The factory decided to do away with the old machinery.	Fabrikken bestemte seg for å kvitte seg med de gamle maskinene.
The whale is a very large mammal who lives in the sea.	Hvalen er et veldig stort pattedyr som lever i sjøen.
There are usually taxis in front of the train station.	Det står vanligvis drosjer foran jernbanestasjonen.
Tom told Mary he couldn't do what she asked him to do.	Tom sa til Mary at han ikke kunne gjøre det hun spurte ham om.
What's the difference between religion and philosophy?	Hva er forskjellen på religion og filosofi?
When I arrived, they quickly cleared out of the house.	Når jeg kom, skyndet de seg ut av huset.
When we borrow money, we must agree on the conditions.	Når man ber om penger, må man akseptere visse betingelser.
You don't really think Tom tried to cheat you, do you?	Du tror ikke virkelig at Tom prøvde å jukse, gjør du?
You don't think Tom really could've done that, do you?	Du tror ikke at tom virkelig kunne ha gjort det, gjør du?
You shouldn't tell him anything about your girlfriend.	Du bør ikke fortelle ham noe om kjæresten din.
According to the Bible, God made the world in six days.	Ifølge Bibelen skapte Gud verden på seks dager.
All horses are animals, but not all animals are horses.	Alle hester er dyr, men ikke alle dyr er hester.
Germany adopted a social security system in the 1880's.	Tyskland vedtok et trygdesystem i 1880-årene.
He will take over the business when his father retires.	Han skal ta over firmaet når faren pensjonerer seg.
I look forward to hearing your thoughts on this matter.	Jeg ser frem til å høre din tanker om denne saken.
I wish I could figure out how to install this software.	Jeg skulle ønske jeg kunne finne ut hvordan man kan installére denne programvaren.
It was very cold and it snowed for three days in a row.	Det var veldig kaldt, og det snødde i tre dager.
Kissing a person who smokes is like licking an ashtray.	Å kysse en person som røyker er som å slikke et askebeger.
Mother, I'm sorry for causing you trouble all the time.	Mor, tilgi meg for at jeg alltid er til bry.
No sooner had I left the house than it started to rain.	Så fort jeg hadde forlatt huset begynte det å regne.
People often say that Japanese is a difficult language.	Folk sier ofte at japansk er et vanskelig språk.
Short sentences are easier to read than long sentences.	Korte setninger er lettere å lese enn lange setninger.
Those who live in glass houses should not throw stones.	Man skal ikke kaste stein i glasshus.
Tom didn't even notice that Mary was flirting with him.	Tom merket ikke engang at Mary flørtet med han.
Tom is wearing the same clothes that he wore yesterday.	Tom går med de samme klærne han gikk med i går.
Tom isn't used to driving on the left side of the road.	Tom er ikke vant til å kjøre på venstre siden av veien.
Tom smiled when he realized Mary was about to kiss him.	Tom smilte da han innså at Mary var i ferd med å kysse ham.
Tom's son was killed in a traffic accident last winter.	Toms sønn ble drept i en trafikkulykke sist vinter.
We encountered a lot of difficulties on the expedition.	Vi støtte på mange vanskeligheter på ekspedisjonen.
A stranger came up and asked me the way to the hospital.	En fremmed kom og spurte meg om veien til sykehuset.
He has not come yet. Something may have happened to him.	Han har ikke kommet enda. Kanskje noe har hendt ham.
I just feel like I'm not doing what you expect me to do.	Jeg føler at jeg ikke gjør det du forventer at jeg skal gjøre.
I shouldn't have to go to the dentist again for a while.	Jeg skulle ikke trenge å måtte gå til tannlegen på en stund.
I wish I had gone with the others to the game yesterday.	Jeg skulle ønske jeg hadde dratt med de andre til kampen i går.
I'm afraid I won't be able to have lunch with you today.	Jeg kan dessverre ikke spise lunsj med deg i dag.
If I had had enough money, I would have bought the book.	Hvis jeg hadde hatt nok penger ville jeg ha kjøpt boken.
If it had not been for her advice, he would have failed.	Hvis det ikke hadde vært for hennes råd, ville han ha mislyktes.
Most people think computers will never be able to think.	Folk flest tror datamaskiner aldri vil bli i stand til å tenke.
Picasso kept drawing pictures until he was 91 years old.	Picasso fortsatte å male bilder til han ble 91 år gammel.
The day will surely come when your dream will come true.	Det kommer vel en gang en dag hvor drømmen din blir oppfylt.
The majority of my patients come to me from out of town.	Mesteparten av pasientene mine kommer fra utenfor byen.
The weather report says it will rain tomorrow afternoon.	Værmeldingen sier at det kommer til å regne i morgen ettermiddag.
They sound so similar it's not easy to distinguish them.	De høres så like ut at det ikke er lett å skille dem.
Tom had barely enough money to pay his bills last month.	Tom hadde knapt nok penger til å betale regningene sine forrige måned.
Tom noticed Mary wasn't wearing the ring he'd given her.	Tom merket at Mary ikke gikk med ringen han hadde gitt henne.
Tom says he intends to play golf with us this afternoon.	Tom sier han tenker å spille golf med oss i dag ettermiddag.
Tom was the only man at the company that Mary respected.	Tom var den eneste mannen i firmaet som Mary respekterte.
You had better ask him in advance how much it will cost.	Du bør spørre ham på forhånd hvor mye det vil koste.
Your mother must have been beautiful when she was young.	Din mor må ha vært vakker som ung.
"When will you be back?" "It all depends on the weather."	"Når er du tilbake?" "Det avhenger av været."
"When will you be back?" "It all depends on the weather."	"Når er du tilbake?" "Det kommer an på været."
I found what you were looking for in the trunk of my car.	Jeg fant det du lette etter i bagasjerommet til bilen min.
I never even noticed I'd lost my wallet until I got home.	Jeg merket ikke at jeg hadde mistet lommeboka før jeg først hadde kommet hjem.
I opened the door and saw two boys standing side by side.	Jeg åpnet døren og så to gutter som sto side om side.
I returned to my native village after two years' absence.	Jeg dro tilbake til min hjemby etter å ha vært borte i to år.
I would like to learn to play the piano, guitar or flute.	Jeg vil lære å spille piano, gitar, eller fløyte.
It is very hard to tell what country a person comes from.	Det er veldig vanskelig å vite hvilket land en person kommer fra.
Mary isn't really sick. She's just pretending to be sick.	Maria er ikke virkelig syk, hun bare later som.
Mary isn't really sick. She's only pretending to be sick.	Maria er ikke virkelig syk, hun bare later som.
The soldier sacrificed himself to save his friend's life.	Soldaten ofret seg selv for å redde vennens liv.
The soldier sacrificed himself to save his friend's life.	Soldaten bøtet med livet for å redde vennens liv.
The soldier sacrificed himself to save his friend's life.	Soldaten ofret livet for å redde vennens liv.
Tom's mother chased Tom as he ran naked around the lobby.	Tom ble jaget av moren sin mens han løp naken rundt i lobbyen.
We have more important things that need to be dealt with.	Vi har viktigere ting som må gjøres.
What seems easy at first often turns out to be difficult.	Det som ser lett ut ved første øyekast viser seg å være vanskelig.
A lot of children live from hand to mouth in this country.	Mange barn lever fra hånd til munn i dette landet.
All the members were not present at the meeting yesterday.	Ikke alle medlemmer var til stede på møtet i går.
Do you know how to start a fire using just sticks of wood?	Vet du hvordan man starter et bål med bare trepinner?
Having done my homework, I could finally watch television.	Etter at jeg hadde gjort leksene mine kunne jeg endelig se på TV.
I don't have enough time to explain that to you in detail.	Jeg har ikke tid til å forklare det til deg i detalj.
I interviewed a lady who works to protect the environment.	Jeg intervjuet en kvinne som jobber for å beskytte miljøet.
I lived in Tokyo a few years ago, but now I live in Kyoto.	Jeg bodde i Tokyo for noen år siden, men nå bor jeg i Kyoto.
I wish I could come up with a good answer to the question.	Jeg skulle ønske jeg kunne finne et godt svar på det spørsmålet.
In America, you are a minor if you are under 18 years old.	I USA er du mindreårig dersom du er under 18 år gammel.
In retrospect, Tom wishes he had spent more time studying.	I retrospekt, skulle Tom ønske han hadde brukt mer tid på å studere.
It is difficult to translate a poem into another language.	Det er vanskelig å oversette et dikt til et annet språk.
It makes no difference to me whether you are rich or poor.	Det er det samme for meg om du er rik eller fattig.
Passengers became nervous when the plane began to vibrate.	Passasjerene ble engstelige da flyet begynte å riste.
Small children are afraid of being left alone in the dark.	Små barn er redde for å bli forlatt i mørket.
The school rules require students to wear school uniforms.	Skolens regler krever at elevene skal være iført skoleuniform.
There has been a lot of sickness in my family this winter.	Det har vært mye sykdom i familien min i vinter.
They cut a hole in the ice and swam in the freezing water.	De kuttet et hull i isen og svømte i det iskalde vannet.
They lived together for two years before they got married.	De bodde sammen i to år før de giftet seg.
This temple is said to have been built over 500 years ago.	Det sies at dette tempelet ble bygd for over 500 år siden.
Tom said he thought that we should try to get there early.	Tom sa han mente at vi skulle prøve å dra dit tidlig.
Tom's wife would probably leave him if she knew the truth.	Toms kone ville sikkert ha forlatt ham hvis hun visste sannheten.
Beer makes you feel the way you ought to feel without beer.	Øl får deg til å føle deg slik du bør føle deg uten øl.
Even the experts took the painting for a genuine Rembrandt.	Selv eksperter tok maleriet for å være en ekte Rembrandt.
I hope Tom stays in Boston for at least another three days.	Jeg håper Tom blir i Boston i hvert fall tre dager til.
I should be studying English, but I'd rather watch a movie.	Jeg burde studert engelsk, men jeg vil heller se en film.
I take it you don't approve of the way Tom's been behaving.	Jeg tror ikke du ville være enig i måten Tom har oppført seg.
I think that games such as Candy Crush are a waste of time.	Jeg synes spill som Candy Crush er bortkastet tid.
I want to read as many English books as possible this year.	Jeg vil lese så mange engelske bøker som mulig dette året.
If you ever come to Boston, you're welcome to stay with us.	Hvis du noen gang kommer til Boston, er du velkommen til overnatte hos oss.
If you treat a customer well, he'll be a customer for life.	Hvis du behandler en kunde bra, vil han være kunde for livet.
Last night someone broke into the small shop near my house.	I går natt brøt noen seg inn i den lille butikken nær huset mitt.
My teacher told me to turn in my paper as soon as possible.	Læreren min ba meg levere inn oppgaven min så fort som mulig.
My teacher told me to turn in my paper as soon as possible.	Læreren min sa jeg skulle levere inn oppgaven min så fort som mulig.
The capital of Mexico is the largest city in Latin America.	Hovedstaden i Mexico er den største byen i Latin-Amerika.
The crew is busy preparing for the voyage into outer space.	Mannskapet er opptatt med å forberede reisen til det ytre rom.
The plane had already taken off when I reached the airport.	Da jeg ankom på flyplassen, hadde flyet allerede lettet.
Tom didn't like school until he entered junior high school.	Tom likte ikke skolen, frem til han startet på ungdomsskolen.
Tom talked to Mary about things he usually kept to himself.	Tom snakket med Mary om ting han vanligvis holdt for seg selv.
You don't have to use a dictionary when you read this book.	Du trenger ikke å bruke ordbok når du leser denne boken.
You're asking me questions you already know the answers to.	Du stiller meg spørsmål som du allerede vet svarene på.
Zamenhof, the creator of Esperanto, was an ophthalmologist.	Zamenhof, skaperen av det konstruerte språket esperanto, var en øyelege.
"I'm getting hungry." "Me, too." "Do you want to eat?" "OK."	"Jeg er sulten.", "Jeg også", "Skal vi spise?", "Ok."
After the accident, they connected him to a lot of machines.	Etter ulykken, koblet de han opp mot masse maskiner.
As far as I know, the novel is not translated into Japanese.	Så vidt jeg vet har ikke romanen blitt oversatt til japansk.
He quickly scanned the page for the word he was looking for.	Han skummet raskt over siden etter ordet han lette etter.
He took charge of the family business after his father died.	Han tok over styringen av familiebedriften etter hans far døde.
I wish I could figure out how to delete my Facebook account.	Jeg skulle ønske jeg kunne finne ut hvordan jeg kan slette facebookkontoen min.
It's hard to predict what the weather will be like tomorrow.	Det er vanskelig å forutsi hvordan været vil være i morgen.
It's so hot that you could cook an egg on the hood of a car.	Det er så varmt at du kunne stekt egg på et bilpanser.
Please put your shoes in the shoebox when you take them off.	Putt skoene i skoboksen etter du har tatt dem av deg.
You should go to the dentist and have that tooth pulled out.	Du bør gå til tannlegen og få den tannen trukket.
"How did you get in here?" "I climbed in through the window."	"Hvordan kom du deg inn her?" "Jeg klatret gjennom vinduet."
"What's going on in the cave? I'm curious." "I have no idea."	"Hva foregår i hulen? Jeg er nysgjerrig." "Jeg aner ikke."
All the citizens of the city have access to the city library.	Alle innbyggerne i byen kan anvende byens biblioteker.
I don't want to do it because it's dangerous and it's stupid.	Jeg har ikke lyst til å gjøre det fordi det er farlig og idiotisk.
I wish I could figure out how to disable comments on my blog.	Jeg skulle ønske jeg kunne finne ut hvordan jeg kan deaktivere kommentarer på bloggen min.
In addition to being a good teacher, she was a great scholar.	I tillegg til å være en god lærer, var hun også en flittig student.
Thank you for preparing meals for me while I was sick in bed.	Takk for at du laget mat til meg da jeg var sengeliggende.
Tom is apparently some kind of genius when it comes to music.	Tom er tydeligvis et slags geni når det gjelder musikk.
Tom said he didn't know why Mary wanted to break up with him.	Tom sa at han ikke visste hvorfor Mary ville slå opp med ham.
Tom's fingers got smashed while working on the assembly line.	Toms fingre ble knust mens han jobbet ved samlebåndet.
He kept me waiting there for more than an hour this afternoon.	Han lot meg vente der i mer enn en time i ettermiddag.
He will leave for the station an hour before the train leaves.	Han skal dra til stasjonen en time før toget går.
I called and asked Tom if he knew when Mary would be arriving.	Jeg ringte og spurte Tom om han visste når Mary skulle ankomme.
I wish I could figure out how to get Flash to work on my iPad.	Jeg skulle ønske jeg kunne finne ut hvordan jeg kan få flash til å virke på ipadden min.
It might help if you were the one who told Tom not to do that.	Det hjelper kanskje hvis det er du som sier til Tom at han ikke skal gjøre det.
Tom and Mary wanted to spend the rest of their lives together.	Tom og Mary ville tilbringe resten av livet sammen.
Tom intended to ask his boss for a raise, but he reconsidered.	Tom hadde tenkt å be sjefen om en lønnsøkning, men han ombestemte seg.
As a tadpole grows, the tail disappears and legs begin to form.	Etterhvert som rumpetroll vokser forsvinner halen, og det begynner å dannes føtter.
England is a country that I've wanted to visit for a long time.	England er et land jeg lenge har ønsket å besøke.
I couldn't afford it. In other words, I was too poor to buy it.	Jeg hadde ikke råd til det - med andre ord, var jeg for fattig til å kjøpe det.
I recognized the teacher at once, because I had met him before.	Jeg kjente straks læreren igjen, fordi jeg hadde møtt ham før.
I've had enough of trying to deal with other people's problems.	Jeg har fått nok av å prøve å løse andre folks problemer.
I've had enough of trying to deal with other people's problems.	Jeg har fått nok av å hanskes med andre folks problemer.
I've never really been sure what I'm supposed to be doing here.	Jeg har aldri egentlig visst hva det er meningen at jeg skal gjøre her.
It would be nice if Tom didn't keep making unnecessary remarks.	Det hadde vært fint om Tom kunne sluttet å komme med unødvendige bemerkninger.
Once you've formed a bad habit, you can't get rid of it easily.	Når man først har fått en dårlig vane, er det ikke lett å bli kvitt den.
That sound annoyed me at first, but now I've gotten used to it.	Den lyden irriterte meg til å begynne med, men nå har jeg blitt vant til den.
The British troops fought hard, but could not stop the Germans.	De britiske troppene kjempet hardt, men klarte ikke å stoppe tyskerne.
Tom said that he thinks Mary won't want to go swimming with us.	Tom sa at han ikke tror Maria vil være med oss og svømme.
Tom wouldn't even talk to Mary after she had apologized to him.	Tom ville ikke engang snakke med Maria etter at hun hadde bedt ham om tilgivelse.
Be sure to check in at least 45 minutes prior to departure time.	Pass på å sjekke inn senest 45 minutter før avgang.
I should be able to take care of Tom for you tomorrow afternoon.	Jeg kan ta vare på Tom for deg i morgen ettermiddag.
I wish I could figure out how to stop my children from fighting.	Jeg skulle ønske jeg kunne finne ut hvordan jeg får barna mine til å slutte å krangle.
I wish that I had stuck around long enough to meet your parents.	Jeg skulle ønske jeg hadde blitt lenge nok til å møte foreldrene dine.
I've been back for a week, but I'm still suffering from jet lag.	Jeg har vært tilbake i en uke, men jeg lider ennå av jetlag.
Oslo is the largest city in Norway with a population of 629,313.	Oslo er den største byen i Norge med en befolkning på 629 313.
The older you are, the more difficult it is to learn a language.	Jo eldre du er, desto vanskeligere er det å lære et språk.
Tom thought the house Mary wanted to buy was a little too small.	Tom syntes huset Maria hadde lyst til å kjøpe var litt lite.
Tom took off his coat because it was getting too hot to wear it.	Tom tok av seg frakken sin fordi den var begynt å bli for varm til å gå med.
Tom was very squeamish and would pass out at the sight of blood.	Tom var veldig pysete, og besvimte bare av synet av blod.
Can you imagine what our lives would be like without electricity?	Kan du forestille deg hvordan livene våre hadde vært uten elektrisitet?
Even though the light was red, that car just drove right through.	Selv om det var rødt lys, kjørte den bilen rett gjennom.
I shouldn't have put my laptop so close to the edge of the table.	Jeg skulle ikke ha puttet den bærbare datamaskinen min så nærme bordkanten.
If you have an indoor swimming pool, you're probably pretty rich.	Har du et innendørs badebasseng, er du sannsynligvis ganske rik.
Just be glad Tom didn't tell Mary what you really thought of her.	Bare vær glad Tom ikke fortalte Maria hva du virkelig synes om henne.
Tom should have been eating more vegetables and not as much meat.	Tom skulle ha spist mer grønnsaker og ikke så mye kjøtt.
Tom went without lunch because he didn't have enough time to eat.	Tom hoppet over lunsjen fordi han ikke hadde nok tid til å spise.
Tom wouldn't mind eating meat and potatoes every day of the week.	Tom kunne gjerne ha spist kjøtt og poteter hver dag i uken.
When I was a child, my mother would often read fairy tales to me.	Når jeg var liten, pleide moren min å fortelle meg eventyr.
Most computers made today are equipped with multi-core processors.	De fleste datamaskiner som lages i dag er utstyrt med flerkjerneprosessorer.
The boy gathered a handful of peanuts and put them in a small box.	Gutten samlet en håndfull peanøtter og puttet dem i en liten boks.
The surgeon persuaded me to undergo an organ transplant operation.	Kirurgen overtalte meg til å undergå en organtransplantasjon.
They just want to make money. They don't care about anything else.	De vil kun tjene penger. De bryr seg ikke om noe annet.
Tom works from early in the morning until late at night every day.	Tom jobber fra tidlig på morgenen til sent på kvelden hver dag.
Tom's mother died just one week before Tom graduated from college.	Toms mor døde bare én uke før han ble uteksaminert.
"Perhaps we'd better not tell Tom anything about today." "I agree."	"Kanskje vi ikke bør fortelle Tom noe om i dag." "Jeg er enig."
A stranger living nearby is better than a relative living far away.	En fremmed som bor i nærheten er bedre enn en slektning som bor langt vekk.
Excuse me, I have to get to Barcelona. Are there any flights today?	Unnskyld, jeg må til Barcelona. Er det noen flyavganger i dag?
He is apt to say atrocious things and to exaggerate his grievances.	Han har en tendens til å si grusomme ting og overdrive sine klager.
He is apt to say atrocious things and to exaggerate his grievances.	Han er tilbøyelig til å si grusomme ting og overdrive sine klager.
He's not in the least interested in what is happening in the world.	Han er ikke det minste interessert i hva som skjer i verden.
If you put more tea leaves into the pot, the tea will taste better.	Hvis du har fler teblader i kannen, smaker teen bedre.
It's not enough to just say you're going to vote. You need to vote.	Det er ikke nok å bare si at du kommer til å stemme. Du må stemme.
Switzerland is situated between France, Italy, Austria and Germany.	Sveits ligger mellom Frankrike, Italia, Østerrike og Tyskland.
The doctor said that Tom has to stay in bed for the next few weeks.	Doktoren sa at Tom må bli i sengen de neste ukene.
They lived in a very small house at the end of a long, gray street.	De bodde i et veldig lite hus, på enden av en lang, grå gate.
Tom didn't know the reason why Mary wouldn't accept his invitation.	Tom visste ikke grunnen til at Mary ikke godtok invitasjonen hans.
We need to work together in order to make the world a better place.	Vi må samarbeide for å gjøre verden til et bedre sted.
I wish I could tell you all the details, but my boss told me not to.	Jeg skulle ønske jeg kunne fortelle deg alle detaljene, men sjefen min sa at jeg ikke skulle.
If two men always have the same opinion, one of them is unnecessary.	Hvis to menn alltid mener det samme, er en av dem overflødig.
In the United States, you are a minor if you are under 18 years old.	I USA er du mindreårig dersom du er under 18 år gammel.
It's very hard to play Vivaldi's bassoon concertos on the saxophone.	Det er veldig vanskelig å spille Vivaldis fagottkonsert på saksofon.
Never put off until tomorrow what you can do the day after tomorrow.	Utsett aldri til i morgen det du kan gjøre i overmorgen.
The female student that sat in front of the teacher is from Germany.	Den kvinnelige studenten som satt foran læreren er fra Tyskland.
The flash wasn't working, so he couldn't take a picture in the dark.	Blitsen funket ikke, så han kunne ikke ta bilde i mørket.
They export a lot of fruit, such as oranges, grapefruits and lemons.	De eksporterer mye frukt, som appelsiner, grapefruit og sitroner.
Tom said it would be OK if I didn't attend this afternoon's meeting.	Tom sa at det er greit at jeg ikke deltar på møtet i kveld.
Tom went for three weeks without shaving before his wife complained.	Tom gikk tre uker uten å barbere seg før kona klagde.
A working man should be paid in proportion to his skill, not his age.	Arbeidere burde ikke lønnes i forhold til sin alder, men i forhold til sine ferdigheter.
I wish I could figure out how to get more people to visit my website.	Jeg skulle ønske jeg kunne finne ut hvordan jeg kunne få mer folk til å besøke hjemmesiden min.
Mother is more anxious about the result of the examination than I am.	Mor er mer nervøs for eksamensresultatet enn jeg er.
The stock market crash forced many retirees back into the job market.	Børskrakket tvang mange pensjonister tilbake til arbeidsmarkedet.
The train was so packed that I had to stand up during the whole trip.	Jeg fikk ikke sitteplass på toget siden det var så mange folk.
The train was so packed that I had to stand up during the whole trip.	Det var så mange folk på toget, så jeg måtte stå.
We can do nothing but wait for a while until the seats are available.	Vi har ikke noe annet valg enn å vente til setene er ledige.
Because of heavy snow, the plane from Beijing arrived 20 minutes late.	På grunn av tung snø, ankom flyet fra Beijing 20 minutter for sent.
Common sense is the collection of prejudices acquired by age eighteen.	Sunn fornuft er samlingen av fordommer man har tilegnet seg innen en alder av atten år.
He wondered how many times the sun would rise before his salary would.	Han lurte på hvor mange ganger solen ville stige før lønnen hans ville stige.
I don't think it will rain, but I'll take an umbrella in case it does.	Jeg tror ikke det blir regn, men jeg tar en paraply i tilfelle.
I was on the point of giving up when I suddenly hit upon the solution.	Jeg var på nippet til å gi opp da jeg plutselig fant løsningen.
I will have finished reading this novel by the time you come tomorrow.	Jeg blir ferdig med denne romanen til du kommer i morgen.
I wish I could afford to send my daughter to an Ivy League university.	Jeg skulle ønske jeg hadde råd til å sende datteren min til et Ivy League universitet.
If you could live anywhere in the world, where would you want to live?	Hvis du kunne bo hvor som helst i verden, hvor ville du ha bodd?
It was disappointing that nobody ate the expensive sushi I had served.	Jeg ble så skuffet over at ingen spiste den dyre sushien som jeg hadde servert.
