Go.	Gitmek.
Tom is going to ask Mary to do that for John.	Tom Meridan ol işi Jonyň deregine etmegini sorajak bolýar.
Tom locked both doors and all of the windows.	Tom iki gapyny we ähli penjireleri gulplady.
Tom said that he hasn't yet done any of that.	Tom heniz olaryñ hiçisini hem eden däldigini aýtdy.
Tom wanted it to be over as soon as possible.	Tom munuň çaltrak gutarmagyny isledi.
Tom won't be able to find the money Mary hid.	Tom Meryñ bukan puluny tapyp bilmez.
Two weeks have passed and I haven't seen you.	Iki hepde geçdi we seni görmedim.
We have to play fair, whether we win or lose.	Utsagam, utulsagam, biz adalatly oýnamaly.
We will have some visitors one of these days.	Bu günlerde birnäçe myhmanlarymyz boljak
A wise person wouldn't do something like that.	Akylly/ Parasatly adam beýle iş etmezdi
I bought some bread on the way home from work.	Men öýden bärik gelýäkäm birazajyk çörek aldym.
I can't concentrate on that problem right now.	Şu wagt meselä ünsümi berip bilmerin.
I decided to take his side against the others.	Başgalara garşy onuñ tarapyny saýlamaga karar berdim.
I didn't think Tom would enjoy Mary's concert.	Meñ pikirimçe Tom Meryñ konserdini halamaz.
I don't know how to eat sushi with chopsticks.	Men suşini nädip taýajyklar bilen iýmelidigini bilemok.
I don't think I'd be interested in doing that.	Men özüm şony etmek bilen gyzyklanardym öýdemok.
I don't think Tom knows anybody at our school.	Tomuň mekdepde kimdir birini tnamaýandygyny oýlamaýaryn.
I don't think this is the only way to do this.	Men bu ýol şuny etmegiň ýeke-täk ýoly dälmikä diýýän.
I don't want to do that the way Tom suggested.	Men ony Tomyñ maslahat berişi ýaly edesim gelenok.
I don't want to hear anything you have to say.	Men seniñ näme aýtjagyñy eşitmek islämok.
I ran as fast as I could to catch up with Tom.	Men Tomy tutmak ucin ylgap bilsimden calt ylgadym.
I thought that Tom would stop by to say hello.	Tom salamlaşyp geçer diýip pikir etdim.
I want to study German in addition to English.	Men iňlis dili bilen birlike nemes dilini öwrenmek isleýärin.
I wasn't very interested in what was going on.	Men näme bolup geçýäni bilen gaty gyzyklanamokdym.
I'd like to do that with you today, but can't.	Men seniň bilen ony şu gün edesim gelýär welin, ýöne edip bilmeýärin.
I'm asking myself a lot of the same questions.	Men meňzeş birnäçe soraglary özime berýärin.
I'm going to come back the day after tomorrow.	Men yzyma birigün gelmekçi bolýan.
I'm happy to hear you're still working for us.	Häli hem biz bilen işleýändigiňi eşidenime begendim.
I'm not sure if Tom is still in Boston or not.	Men Tomuň Bostondadygyna ýa-da ýokdugyna ynamly däldirin.
I'm pretty sure that Tom is in love with Mary.	Marya Tom aşyk bolandygyny gowy bilýärin.
If you explain it, Tom ought to understand it.	Eger-de sen düşündirseň, Tom oňa düşünäýmeli.
None of the books in my library are in French.	Meniñ kitaphanamda fransuzça bir kitabam ýok.
Please wash your hands properly before eating.	Haýyş iýmezden ozal elleriňizi gowy ýuwuň.
Quite a few books in my library are in French.	Meniñ kitaphanamda azajyk fransuz kitaplar bar.
Quite a few books in my library are in French.	Meniñ kitaphanamda fransuzça kitaplar az.
Suicide is a crime in some parts of the world.	Janyña kast etmek dunyaniñ kabir boleklerinde jenayat hasaplanyar.
The revolution has brought about many changes.	Rewolýusiýadan soň köp üýtgeşmeler boldy.
This morning's meeting was shorter than usual.	Şu irdenki ýygnak adaty ýygnaklara seredeniňde gysga boldy.
Tom and Mary think I don't know what happened.	Tom we Mary näme bolanyny men bilmeýändirin öýdýärler.
Tom asked the same question to several people.	Tom şol bir soragyny birnäçe adama berdi.
Tom bought a small camera to take on his trip.	Tom öz gezelenjine äkitmäge kiçi kamera satyn aldy.
Tom came here to help us fill out these forms.	Tom şu formlary doldurmaga bize kömege bärik geldi.
Tom couldn't understand why Mary was so angry.	Tom Marynyň şeýle gaharlanmagyna düşünip bilmedi.
Tom is one of the bravest men I've ever known.	Tom meniñ tanaýanlarymyñ arasynda iñ mert adamlaryñ biri.
Tom is one of the nicest kid I've ever taught.	Tom meniň okadan çagalarymyň iň gowularynyň biri.
Tom said that he didn't want to do that alone.	Tom muny bur özi etmek islemeýändigini aýtdy.
Tom says he doesn't want to live in Australia.	Tom Awstraliýada ýaşamak islemeýändigini aýdýar.
Tom spent a lot of time checking his homework.	Tom öý işi barlap köp wagtyny sarp etdi.
Tom suggested that I go to Australia with him.	Tom meniň Awstraliýa onuň bilen gitmegimi teklip etdi.
Tom told me why it was a good idea to do that.	Tom ony etmegiñ näme üçin gowy pikirdigini aýtdy.
You and Tom used to be friends. What happened?	Sen we Tom öň dostduňyz.Näme boldy?
You said that you'd give me your answer today.	Sen maña bu gün jogap bereniñi aýtdyñ
You said that you'd give me your answer today.	Bu gün sen maña jogap bereniñi aýtdyñ
Did you write anything in your diary yesterday?	Sen gündeligiñe bir zatlar yazdyñmy düýn?
Did you write anything in your diary yesterday?	Gündeligiñe bir zat ýazdyñmy düýn?
Do you plan to stay in Australia for very long?	Awstraliýada örän uzak wagtlyk galmagy meýilleşdirýärsiñizmi?
Does Tom always sneeze this much in the spring?	Tom elmydama ýazda şunuñ ýaly köp asgyrýarmy?
How would you react if your wife told you that?	Eger-de seniñ aýalyñ diýen bolsa saña, sen nähili jogap bererdiñ?
How would you react if your wife told you that?	Eger seniñ aýalyñ saña diýen bolsa sen näme jogap bererdiñ?
I couldn't have done that if you hadn't helped.	Eger sen kömek edmedik bolsañ men ony başarmazdym.
I don't like my brother climbing the mountains.	Men doganym daga dyrmaşsa halamok.
I don't think that anybody thinks you're crazy.	Her kim sen dälisiň diýip pikir edýändir öýdemok.
I haven't told Tom about my financial problems.	Men Toma öz maliýe bilen baglanyşykly meselelerim barada aýtmadym.
I saw Tom stealing something out of your purse.	Tomuň sumkadan bir zat ogurlandygyny gördüm.
I should probably not tell Tom that I'm hungry.	Belkim Toma aç bolandygymy aýtmalydym.
I shouldn't have said the things I said to you.	Men saña aýdan zatlarymy aýtmaly däldim.
I think that Tom didn't need to leave so early.	Meniň pikirimçe Toma beýle ir gaýtmak gerek däldi.
I want to learn how to say this word in Arabic.	Men bu sözüň arap dilinde aýdylyşyny öwrenmek isleýärin.
I was halfway to Boston when my car broke down.	Ulagym döwülende, meniň Bostona ýetmäge ýarty ýolum galypdy.
I was hoping that you'd answer a few questions.	Birnäçe soraglary jogaplar diyip pikir edýärdim.
I'll put the kettle on and we'll have some tea.	Men çäýnegi goýaýyn bize çaý içmek üçin
I'm not scared of Tom, but Tom is scared of me.	Men Tomdan gorkmady, emma Tom menden gorkdy.
I'm pretty sure they won't allow us to do that.	Men olaryñ bize muny etmäge rugsat bermejegini bilýän
I'm sorry that I wasn't able to help very much.	Bagyşlañ, meniiñ kän bir kömegim degmedigine
I'm sorry that I wasn't able to help very much.	Gynansakda men kän bir kömek edip bilmedim
I'm sorry that I wasn't able to help very much.	Mem gynanýan size onçakly kömek edip bilmedigime
I've been to Australia more times than Tom has.	Men Toma garañda Awstraliýada kän gezek boldum.
I've decided it would be better not to do that.	Muny etmegiň dym gowy boljakdygyna karar berdim
If you see any mistakes, please send a message.	Eger sen ýalñyş görseñ maña hatda ýazyp ugrat haýyşt.
My mom always says that she will visit me soon.	Ejem hemişe meni görjekdigini aýdar.
My office is significantly brighter than yours.	Meniň ofisim seniňkiden has ýagty.
She takes a taxi from the station to her house.	Stansiýadan öýüne çenli taksi tutýar.
Tom asked if he was really required to do that.	Tom hakykatdanam etmelimi-etmeli dälmiligini sorady.
Tom doesn't remember the last time he saw Mary.	Tom iň soňky gezek ol oglanyň Maryny göreni ýadyna düşmeýär.
Tom doesn't want Mary to know where he's going.	Tom özüniň nirä gidip barýandygyny barada Meriniň bilmegini islemedi.
Tom gets his hair cut about three times a year.	Tom saçyny takmynan ýylda üç sapar deñledýar.
Tom is very young. He's much younger than Mary.	Tom örän ýaşdyr. Ol Meria seredeniňde has hem kiçidir / ýaşdyr.
Tom isn't likely to be arrested for doing that.	Tom oñ üçin tussag ediljege meñzänok.
Tom shouldn't do that kind of thing by himself.	Tom onuñ ýaly zatlary ýekelikde etmeli däl.
Tom usually only hires people he already knows.	Tom köplenç tanaýan adamlaryny hakyna tutýar.
Tom was lying when he said he didn't know Mary.	Tom Merini tanamaýandygyny aýdanda ýalan sözleýärdi.
Tom was still angry even after Mary apologized.	Meryñ ötünç soramagyna garamazdan Tom henizem oña gaharlydy.
We must make arrangements with them beforehand.	Olar bilen öñünden taýýarlanmaly sen.
Would it be all right if I don't do that today?	Şu gün şony etmesem ýerbe ýer bolarmy?
You already know about what Tom did, don't you?	Tomuň edenlerini eýýäm bilýärsiň,dälmi?
You did that without anyone's help, didn't you?	Sen ol işi hiç biriniň kömegi bilen etdiň, dogry dälmi?
You should distinguish between right and wrong.	Dogry bilen ýalňyşy tapawutlandyryp bilmelisiň.
How did you find a hair in the soup if I'm bald?	Sen çorbañ içinden nähili saç tapýañ? Men kelä.
I almost forgot to put my passport in my pocket.	Men tasdanam pasportymy jübime salmagy ýatdan çykarypdym.
I asked Tom if he knew anyone who taught French.	Toma Fransuzça öwredýen birini tanap-tanamaýandygyny soradym.
I didn't really need to wait for Tom, but I did.	Maña Toma garaşmak hökman däldi, ýöne men garaşdym.
I don't think Tom knows anybody who can do that.	Tomuň muny edip biljek adamy tanaýandygyny pikir etmeýärin.
I don't think that I know Tom as well as you do.	Tomy seniñ tanaýşyñ ýaly tanaýandyryn öýdemok.
I don't understand why Tom didn't want us there.	Men Tomyñ näme üçin biziñ ol ýerde bolmagymyzy islemeýändigine düşünemok.
I haven't yet done what Tom said I needed to do.	Men entek Tomyñ et diýen zatlaryny edemok.
I know that Tom isn't a better driver than Mary.	Tomuñam Merydan gowy sürüji däldigini bilýärin.
I thought that I saw Tom kissing Mary yesterday.	Men düýn Tomuň Merini ogşap duranyny gördümmikäm diýdim.
I thought you said you had something to tell me.	Sen maña bir zat aýtmakçy bolýansyñ öýütdim.
I'm not the one who's supposed to be doing that.	Men ony etmeli adam däl.
I've known Tom since we went to school together.	Bile mekdebe gidenimiz üçin Tomy tanaýaryn.
Is that the real reason that you don't like Tom?	Ol seniñ Tomy halamaýanlygyñ hakyky sebäbimi?
It rained every day Tom and I were in Australia.	Tom we men Awstraliýada bolanymyzda her gün ýagyş ýagypdy.
Many people believe that money brings happiness.	Köp adamlar pul bagt getirýär diýip ynanýanlar.
My speech will only be about three minutes long.	Meniň çykyşym diňe üç minut töweregi bolar.
The company, wholly owned by NTT, is doing well.	Doly NNTa bagly şereket,gowy gazanýar.
The man who I thought was my friend deceived me.	Dostdur öýden adamym meni aldady.
There's a lot of wind this morning, isn't there?	Şu gün irden köp ýel bar, şeýle dälmi?
Tom asked Mary what her father did for a living.	Tom Mara kakasynyň ýaşaýyş üçin näme edýändigini sorady.
Tom cringed when he saw Mary walk into the room.	Tom Marynyň otaga tarap ýöränini görende ýaranjaňlyk etdi.
Tom didn't know whether Mary could drive or not.	Tom Meryñ ulag sürüp başarýandygyny ýa-da başarmaýandygyny bilmeýärdi.
Tom has been on the wanted list for three years.	Tom üç ýyldan bäri gözlenýänler sahypasynda.
Tom is going to eventually learn how to do that.	Tom ahyrsoňy şony nädip etmeligini öwrener.
Tom is smart enough to answer all the questions.	Tom hemme soraglary jogaplap biljek ýaly akyllydyr.
Tom is still somewhere in the building, I think.	Tom hali hem binanyň içinde bir ýerlerde.
Tom looked like he wasn't in a hurry to do that.	Tom ony etmäne howlukýana meñzänokdy.
Tom said he thought that Mary understood French.	Tom Marynyň Fransuzça bilýändigini düşünýändigini aýtdy.
Tom wanted to live in Australia with his family.	Tom Awstraliýada öz maşgalasy bilen ýaşamagy isledi.
Tomorrow is my birthday and I will be seventeen.	Ertir meniñ doglan günüm we men on ýedi ýaşaýan.
You need to do that no matter how tired you are.	Sen nähili ýadaw bolsañam ony hökman edäýmeli.
You ought to tell Tom to do that more carefully.	Toma muny dym dykkatly etmelidigini aýtmalysyň.
You should get back home the day after tomorrow.	Sen birigün yzyña öýe gaýtmaly.
You won't be able to do anything about that now.	Sen indi ol barada hiç zat edibilmersiň.
You won't be able to do anything about that now.	Siz indi ol barada hiç zat edibilmersiňiz.
You're wasting your time trying to convince Tom.	Tomy ynandyrjak bolup wagtyňy biderek gidirýärsiň.
"May I help you?" "Yes, I'm looking for a dress."	"Size kömek edip bilerinmi?" "Howwa, men köýnek gözelýärin."
Did anyone tell Tom where he should park his car?	Toma maşynyny nirä goýmalydygyny aýdyp bilýän barmy?
He would sit for hours reading detective stories.	Ol näçe sagatlap detektiw hekaýalary okap oturardy.
I can teach you how to do that if you want me to.	Eger isleseñ ony nahili etmelidigini saña öwredip bilern.
I didn't think Tom would tell you how to do that.	Tom saňa şony nädip etmegi aýdardy diýip pikir etmedim.
I didn't think Tom would tell you how to do that.	Tom size şony nädip etmegi aýdardy diýip pikir etmedim.
I didn't wake Tom up at 6:30 like he asked me to.	Men Tomy öz diýişi ýaly 6:30-da oýarmadym
I don't think anyone else wants to do that today.	Bu gun şuny ýene kimdir-biri etmek islär öýdemok.
I don't think anyone else wants to do that today.	Bu gun şuny ýene kimdir-biri etmek islär öýtmeýärin.
I don't think anyone else wants to do that today.	Bu gun şuny ýene kimdir-biri etmek islär diýip pikir edemok.
I suspect that Tom doesn't want to do that today.	Men Tomuň bu işi şu gün etmejekdigini şübheleýärin.
I teach Tom's children French three times a week.	Men Tomuň çagalaryna hepdede üç gezek Fransuz dilini öwredýärin.
I think Tom wouldn't be lonely if Mary were here.	Eger Mary bärde bolsady Tom ýalňyz bolmazdy diýip pikir edýärin.
I think Tom wouldn't be lonely if Mary were here.	Eger Mary bärde bolsady Tom ýalňyz bolmaz öýdýärin.
I think that Tom won't be in Australia very long.	Meniň pikirimçe Tom Awstraliýada gaty uzak galmaz.
I thought that you might like something to drink.	Bir zat içesiňiz geler diýip pikir etdim.
I thought that you might like something to drink.	Bir zat içesiň geler diýip pikir etdim.
I'll probably do exactly the same thing Tom does.	Men belki hut Tomuň eden zadyny ederin.
I've translated three French novels into English.	Men üç sany fransuz romanyny iňlisçä terjime etdim.
Is it true that you built this house by yourself?	Şu öýi seniň özüň gurandygyň çynmy?
Is it true that you built this house by yourself?	Şu öýi siziň özüňiziň gurandygyňyz hakykatmy?
There was a Brazilian girl in my class last year.	Geçen ýyl meniň synpymda braziliýaly bir gyz bardy.
Tom and I've decided to go to Australia together.	Tom ikimiz Awstraliýa bile gitmäge karar berdik.
Tom and Mary live with their father in Australia.	Tom we Mery Awstraliýada kakalary bilen ýaşaýarlar.
Tom didn't know Mary wanted to do that yesterday.	Tom Meriniň şony düýn etmek isländigini bilmedi.
Tom didn't tell Mary he didn't intend to do that.	Tom Merä özüniň şony etmäge niýetlenmändigini aýtmady.
Tom doesn't know who can sing well and who can't.	Tom kim gowy aýdym aýdyp bilýändigini kim bolsa aýdyp bilmeýändigi barada bilmeýär.
Tom has been living in Australia for a long time.	Tom Awstraliýada köpden bäri ýaşaýar.
Tom ran into the house to get something to drink.	Tom içmäne bir zat almak üçin ylgap öýe girdi.
Tom said he loved Mary and would always love her.	Tom Merini söýýändigini we hemişe söýjekdigini aýtdy.
Tom unscrewed the cap and handed the jar to Mary.	Tom gapagyny açdyda bankany Mera uzatdy.
Tom wanted to find out the cause of the accident.	Tom begbagtçylygyň haýsy sebäp bilen bolandygyny bilmek isledi.
Tom was transferred to the head office in Boston.	Tom Bostondaky esasy offise geçirildi.
Tom was transferred to the head office in Boston.	Tom Bostondaky baş offise geçirildi.
We should be in Australia by this time next week.	Biz geljekki hepde şunuň ýaly wagt Awstraliýada bolmalydyrs..
What they did next was bad, even by my standards.	Olaryň soňky eden işi erbet boldy, hatda meniň normalaryma seredeniňde-de.
What they did next was bad, even by my standards.	Hatda meniň normalaryma seredeniňde-de, olaryň indiki eden işi erbet boldy.
When was the last time you went fishing with Tom?	Sen iñsoñky gezek haçan Tom bilen balyk tutmana gitdiñ?
Who was going to organize these men into an army?	Kim bu adamlary goşuna ýerleşdirjek bolup ýördi?
You aren't taking that job in Australia, are you?	Sen Awstraliýadaky şol işi kabul edeňok, şeýle dälmi?
You aren't taking that job in Australia, are you?	Siz Awstraliýadaky şol işi kabul edeňzok, şeýle dälmi?
You know that I don't need to do that, don't you?	Şuny etmegimiň gerek däldigini bilýärsiň, şeýle dälmi?
You may impress me, but you'll never impress Tom.	Belki-de sen mende täsir galdyrarsyň, emma sen hiç haçan Tomy haýran galdyryp bilmersiň.
You wouldn't have been so busy if Tom had helped.	Eger Tom kömek eden bolsady sen gaty başagaý bolmazdyñ.
Aren't you ever going to tell me how you did that?	Maňa muny nädip edendigiňi aýtjak dälmi?
Did you really not know Tom couldn't speak French?	Sen dogrudanam Tomuň fransuzça gürläp bilmeýändigini bileňokdyňmy?
I didn't have enough money to buy what Tom wanted.	Tomyñ isleýän zadyny almana ýeterlik pulum ýokdy.
I didn't want to tell you about this on the phone.	Men saňa buny telefonda aýtmak islemedim.
I don't think Tom knows why I'm scared to do that.	Tom meniň näme üçin şony etmäge gorkýandygymy bilýändir öýdemok.
I don't think that Tom is very good at doing that.	Men Tom muny etmekde ökdedir diýip pikir edemok.
I hope Tom didn't leave his umbrella on the train.	Tom saýawanyny otlyda unudan däldir diýip umyt edýärin.
I just thought that you might want to talk to Tom.	Men diňeje seniň Tom bilen gürleşmek islemegiň ahmal diýip pikir etdim.
I just wanted to see if you were paying attention.	Men diňeje seniň üns berýändigiňi ýa bermeýändigiňi görmek isledim.
I just wanted to see if you were paying attention.	Men diňeje siziň üns berýändigiňizi ýa bermeýändigiňizi görmek isledim.
I live in Australia now, but I'm from New Zealand.	Men häzir Awstraliýada ýaşaýaryn, ýöne men Täze Zelandiýaly.
I think it might not be safe to cross this bridge.	Meñ pikirimçe bu köprini kesip geçmek howpsyz bolmaz.
I think that Tom won't be the last one to do that.	Tom şony etjek soňky kişi bolmaz diýip pikir edýärin.
I thought Tom would be present at today's meeting.	Tom şu günüň duşuşygynda bolar öýtdim.
I want you to know that I can't be there tomorrow.	Bilmegiňi isleýärin,emma ertir men ol ýerde bolup bilmerin.
I'd try to keep Tom from doing that if I were you.	Men sen bolsadym, Tomy şony etmekden saklamaga synanyşardym.
I'd try to keep Tom from doing that if I were you.	Men siz bolsadym, Tomy şony etmekden saklamaga synanyşardym.
If you are to succeed, you must make a good start.	Eger-de sen üstünlik isleýän bolsaň,başlangyçda rowaçly başlamaly.
It was very considerate of you to do that for Tom.	Señ muny Tom üçin etmegiñ örän wajypdy.
It's quite clear that Tom doesn't want to be here.	Tomuň bu ýerde bolmak islemeýänligi belli
Many people lost their homes after the earthquake.	Köp adam ýer titremeden soň öýüni ýitirdi.
Many people lost their homes after the earthquake.	Köp kişi ýer titremeden soň öýsüz galdy.
Maybe it would've been better if I hadn't done it.	Men muny etmedik bolsam, belki gowy bolardy.
Maybe it would've been better if I hadn't done it.	Eger-de men muny etmedik bolsam, belkide gowurak bolardy
She hurried to the station only to miss the train.	Otlydan gijä galmajak bolup, stansiýa howlugdy.
Tom and Mary have lived in Boston for three years.	Tom we Mary 3 ýyldan bäri Bostonda ýaşaýarlar.
Tom bought this umbrella when he was in Australia.	Tom bu saýawany haçanda ol Awstraliýada bolanynda satyn aldy.
Tom doesn't have to answer any of these questions.	Toma şu soraglaryň hiçisine jogap bermek gerek däl
Tom is one of the thirty people who were arrested.	Tom tussag edilen 30 adamyň biri.
Tom isn't the one who gave me Mary's phone number.	Tom Meriniň telefon belgisini beren kişi däl.
Tom probably won't be able to get home by himself.	Tom öýüne özbaşdak gidip bilmäýmese.
Tom said that Mary wasn't good at speaking French.	Tomuň aýtmagyna görä, Meri Fransuz dilinde gürlemekde ökde däldir.
Tom said that he didn't intend to do that anymore.	Tom indi muny etmejekdigini aýtdy.
Tom said that he was going to allow us to do that.	Tom bize buny etmäge rugsat berjekdigini aýtdy.
Tom sold a pint of his blood for thirteen dollars.	Tom on üç dollara ýarym litr ganyny satdy.
Tom wondered where he might have put his passport.	Tom öz äýnegini nirede goýandygy barada geňirgendi.
You didn't know Tom was going to do that, did you?	Sen Tomyň şeýle etjegini bilmeýärdiňmi?
You don't seem to be interested in doing anything.	Seni hiç bir iş gyzyklandyrýana meñzänok.
All the players stood there with their arms folded.	Hemme oýunçylar ol ýerde elleri bagly oturdyldylar.
Almost all of Tom's ex-wives are friends with Mary.	Tomyñ hemme oñki aýallary Meriniñ dostlary.
He can't chew well, because he has a toothache now.	Ol kän gowy çeýnäp bilmeýär sebabi onuň dişi agyrýar.
I am acquainted with the chairman of the committee.	Men komitetiň başlygy bilen tanyş.
I don't have a shovel, but I know someone who does.	Bir pilim ýok emma,pili bar birini tanaýaryn.
I know that Tom doesn't know Mary wants to do that.	Men Tomuň Meriniň şony etmek isleýändiginden habarynyň ýokdugyny bilýärin.
I lived in Australia before I moved to New Zealand.	Men Täze Zelandiýa göçmezden öñ Awstraliýada ýaşadym.
I think it's unlikely Tom will ask Mary to do that.	Meniň göwnüme Tom Meriden şony etmegini soramajak ýaly bolup dur.
I thought Tom would want to try some Japanese food.	Men Tomyň Ýapon naharlaryny barlamak isläp biljegini pikir etdim.
I usually sleep with my windows open in the summer.	Men tomusda adatça aýnalary açyp ýatýaryn.
I was a sophomore in college the year Tom was born.	Tomuñ dogulan güni uniwersitetde ikinji ýyl okuwçysydym.
Maryland is the richest state in the United States.	Maryland ABŞ-nyñ iñ baý şäheri.
Most workers get an automatic pay raise every year.	Her ýyl ençeme işgärleriň aýlyklary awtomatiki ýagdaýda galdyrylýar.
My husband makes a hundred thousand dollars a year.	Meniň ýanýoldaşym ýylda ýüz müň dollar pul gazanýar.
My husband makes a hundred thousand dollars a year.	Meniň adamym ýylda ýüz müň dollar pul gazanýar.
My husband makes a hundred thousand dollars a year.	Meniň ärim ýylda ýüz müň dollar pul gazanýar.
Neither Tom nor Mary has told me I need to do that.	Ne Tom, ne-de Meri şony meniň etmelidigimi aýtdylar.
Tell me why you didn't buy what I asked you to buy.	Meniň saňa alaý diýen zadymy näme üçin almandygyňy maňa aýt.
Tell me why you didn't buy what I asked you to buy.	Meniň size alaý diýen zadymy näme üçin almandygyňyzy maňa aýdyň.
The meeting will be held at 10:30 a.m. on Saturday.	Ýygnak Şenbe güni irden sagat 10:30-da geçiriler.
There's a chance that Tom will eat with us tonight.	Tomuň şu gün agşam biziň bilen naharlanmagy mümkin.
Tom and I were like brothers when we were children.	Tom we men çagakak edil dogan ýalydyk.
Tom is from Australia and Mary is from New Zealand.	Tom Awstraliýaly we Meri Täze Zelandiýaly.
Tom is never going to permit Mary to do that again.	Tom Meria ol işi indi gaýdyp etmäge hiç haçan rugsat bermez.
Tom never wanted to do anything we asked him to do.	Tom hiç haçan biziň ondan etmegini soran zatlarymyzy etmek islemedi.
Tom told me that he thought that Mary was troubled.	Tom Meri bela ýolugandyr diýip pikir edendigini maňa aýtdy.
Tom won't likely tell Mary he doesn't like his job.	Tom işini halamaýandygyny Mera aýtjaga meñzänok.
You can't buy this medicine without a prescription.	Siz bu dermany lukmanyň derman haty bolmazdan satyn alyp bilmersiňiz.
You can't buy this medicine without a prescription.	Sen bu dermany lukmanyň derman haty bolmazdan satyn alyp bilmersiň.
You didn't believe Tom would ever do that, did you?	Tomuň bular ýaly bir zat edibiljekdigini düşünmändiň şeýle dälmi?
You haven't yet convinced Tom to do that, have you?	Sen Tomy entägem ynandyrmadyñ, şeýle dälmi?
You never listen. I might as well talk to the wall.	Hiç diňläňok,diwara geplesem dym gowy.
Could you check to see if the garage door is closed?	Garajyň gapysynyň ýapykmy ýa-da dälmidigini kontrol edip bilýeňmi.
Does anyone know how Tom will be going to Australia?	Kim Tomyň Awstraliýa nädip gitjegini bilýär?
I apologize for any problems that I may have caused.	Men sebäpli ýüze çykan problemalar üçin ötünç soraýaryn.
I didn't know anything about Australia at that time.	Men ol wagt Awstraliýa barda hiç zat bilemokdym.
I didn't know it was possible to get there by train.	Men ol ýere otlyda baryp bolýandyr öýdemokdym.
I don't know who Tom plans on going to the zoo with.	Tomuň kim bilen haýwanat bagyna gitýändigini planlaýandygyny bilmeýärin.
I don't think Tom was disappointed with the results.	Tom netijeler üçin gynanandyr öýdemok.
I doubt very seriously that Tom will be cooperative.	Men Tomuň gowy hyzmatdaşlygy alyp barmagyny hakykatdan hem şübheleýärin
I gave him three textbooks in exchange for his help.	Men onuň kömegi üçin oňa üç sany okuw kitabyny berdim.
I met your son yesterday and he greeted me politely.	Men düýn ogluňyza duşdym we ol mähirli salamlaşdy.
I met your son yesterday and he greeted me politely.	Düýn ogluňyza duşdym we ýakymly salamlaşdy.
I think that Tom could've done that without my help.	Tom şony meniň kömegim bolmazdan edibilerdi diýip pikir edýärin.
I want to thank you for picking Tom up after school.	Okuwdan soň Tomy aldygyň üçiň sag bolsun aýtmak isleýärin.
I want to thank you for picking Tom up after school.	Mekdepden soň Tomy aldygyň üçin sag bolsun aýtmak isleýärin.
I'm sure Tom will think we shouldn't sell our house.	Tomuň biz öýümizi satmaly däl diýip pikir etjekdigine meniň ynamym güýçli.
It was very generous of Tom to donate so much money.	Bu Tomuň şeýle köp pul haýryna geçirmekligi jomartdyr.
The children are sleeping. Please don't be so noisy.	Çagalar ýatyr. Haýyş galmagal etmäň.
The river is about half as long again as the Thames.	Derýa ýene-de Temza derýasynyň ýarymy ýalydyr.
This sort of thing doesn't happen where I come from.	Meniň ulalan ýerimde bular ýaly zatlar bolmaýar.
Tom came down with a cold and couldn't go to school.	Tom sowuk sebäpli hassalandy we okuwa gidip bilmedi.
Tom came down with a cold and couldn't go to school.	Tom sowuk sebäpli hassalandy we mekdebe gidip bilmedi.
Tom came into the room without knocking on the door.	Tom gapyny kakman otaga girdi.
Tom couldn't understand what Mary was trying to say.	Tom Marynyň näme aýtjak bolanyna düşünip bilmedi.
Tom doesn't earn enough money to support his family.	Tom öz maşgalasyny eklär ýaly gazanç edenok.
Tom doesn't know when Mary will leave for Australia.	Tom Meriniň haçan Awstraliýa gitjegini bienok.
Tom opened the door, even though I asked him not to.	Tom gapyny açmamasyny isleýändigimi bilip hem gapyny açdy.
Tom said that he expected Mary to do that on Monday.	Tom şony Meriniň duşenbe güni etmegine garaşandygyny aýtdy.
Tom told me that he thought that Mary would be busy.	Tom maňa Marynyň meşgul boljakdygyny düşünendigini aýtdy.
He bought pencils, notebooks, dictionaries and so on.	Ol ruçka,depder,sözlük we ş.m aldy.
I don't think Tom knows anyone who's able to do that.	Tomuň muny edip biljek adamy tanaýandygyny oýlamaýaryn.
I have two cats. One is white and the other is black.	Meniñ iki pisigim bar. Birisi ak we beylekisi gara.
I never wash the dishes unless my mother tells me to.	Men ejem aýtmasa gap-çanaklary hiç haçan ýuwmaýaryn.
I thought that you didn't know how to play the banjo.	Men seniň banjony nähili oýnamalydygyny bilmeýändirsiň diýip pikir etdim.
I want to know how much time Tom has spent in prison.	Men Tomyñ tussaghanada näçe wagt geçirenini bilesim gelýär.
I'm not interested in learning how to cook Thai food.	MeniTai naharlarynyñ taýýarlanyşyny öwrenmek gyzyklandyranok.
I'm pretty sure Tom didn't drink any beer last night.	Tomuň öten agşam piwo içmedigine men ynanýaryn.
If Tom isn't careful, he's going to run out of money.	Eger Tom seresap bolmasa, onyñ bar puly boşar.
That was less interesting than I thought it would be.	Bu meniñ pikir edişimden azajyk gyzykly boldy.
That was more interesting than I thought it would be.	Bu meniñ pikir edişimdenem gaty gyzykly boldy.
That was the best thing that could've happened to me.	Bu başyma gelip biljek iň gowy zatdy.
The guy I met yesterday didn't give me his real name.	Düýnki duşan oglan maña hakyky adyny aýtmady.
The next meeting will be held at Tom's new residence.	Indiki ýygnak tomuň täze ýaşaýan ýerinde bolar.
There's one person in particular I'd like to talk to.	Meniň gürleşesim gelýän aýratyn bir kişim bar.
