I try.	Padasek.
At the foot of the hill is a beautiful lake.	Adda napintas a dan-aw iti sakaanan ti turod.
Congress approved the resolution in October.	Inanamongan ti kongreso ti resolusion idi Oktubre.
Do you think these letters are worth saving?	Panagkunam adda kadi serbina nga idulinko dagitoy a surat?
Even the hard-hearted can be moved to tears.	Uray ti katatangkenan ti pusona ket aglua met.
He crossed the Pacific Ocean in thirty days.	Binallasiwna ti Taaw Pacifico iti uneg ti tallopulo nga al-aldaw.
I could not solve this problem by any means.	Saanko a masolbar daytoy a parikut iti ania man a wagas.
I have abandoned the idea of buying a house.	Linipatkon ti panggepko a gumatang iti balay.
I know why you're planning to quit your job.	Diak ammo a panggepmo ti agikkat iti trabahom.
I really need to take care of some business.	Kasapulan unay nga asikasuek ti sumagmamano a negosio.
I really need to talk to Tom sometime today.	Kasapulan unay a makasaritak ni Tom iti uray ania nga oras ita nga aldaw.
I waited for my husband till after midnight.	Inur-urayko ti lakayko agingga iti limbes ti tengnga ti rabii.
Tom is saving money for a trip to Australia.	Agur-urnong ni Tom iti kuarta para iti biahena idiay Australia.
We need to stop Tom before he hurts himself.	Masapul a lapdantayo ni Tom sakbay a saktanna ti bagbagina.
What time are you going to leave for London?	Ania nga oras a mapanka idiay London?
Why would anybody live in a place like this?	Apay nga agnanaed ti maysa a tao iti maysa a lugar a kastoy?
Did you know that Tom was a friend of Mary's?	Ammom kadi a ni Tom ket gayyem ni Mary?
Don't you ever get tired of listening to Tom?	Dika kadi mabannog a mangim-imdeng ken ni Tom?
He didn't start to paint until he was thirty.	Sa la nangrugi nga agpinta idi tallopulona.
I hope I will become a dentist in the future.	Mangnamnamaak nga agbalinak a dentista iti masakbayan.
I thought I was never going to see Tom again.	Kunak no saankon a pulos a makita pay ni Tom.
My mother bought two bottles of orange juice.	Gimmatang ni nanangko iti dua a botelia a tubbog ti kahel.
The last time I saw him, he was very healthy.	Iti naudi a pannakakitak kenkuana, nakasalsalun-at pay la isuna.
The old man walked across the road carefully.	Siaannad a bimmalasiw ti lakay iti kalsada.
Tom didn't think the rain would last so long.	Saan nga ipagarup ni Tom nga agbayag iti kasta unay ti tudo.
Tom is scheduled to come to Boston next week.	Nakaiskediul nga umay ni Tom iti Boston inton umay a lawas.
Would the last one out please close the door?	Di la mabalin a ti maudi ket irikepna ti ridaw?
Do you think Tom would be able to repair this?	Panagkunak kabaelan ni Tom a tarimaanen daytoy?
He asked me when I was going to buy a new car.	Sinaludsodna kaniak no kaano a gumatangak iti baro a kotse.
I parked on the street in front of your house.	Nagparkingak iti kalsada iti sanguanan ti balayyo.
I prefer reading books to watching television.	Kaykayatko ti agbasa kadagiti libro ngem iti agbuya iti telebision.
Imagination affects every aspect of our lives.	Apektaran ti imahinasion ti tunggal aspekto ti biagtayo.
Let's talk about what to do with the stranger.	Pagsasaritaantayo no ania ti aramidentayo iti ganggannaet a tao.
Most people only want to hear their own truth.	Kaaduanna a tao ket kayatda laeng a mangngegan ti bukodda a kinapudno.
Only then did he realize he had been deceived.	Idi laeng a naamirisna a naallilaw isuna.
She is proficient in both Spanish and Italian.	Nalaing isuna nga agpada iti Espaniol ken Italiano.
Don't be shy about speaking in front of people.	Dika agbabain nga agsao iti sanguanan ti tattao.
Don't you even want to know what Tom gave Mary?	Dimo la kadi, aya, kayat a maammuan no ania ti inted ni Tom ken ni Mary?
He lives in a posh apartment near Central Park.	Agnanaed isuna iti nangina a pagtaengan iti asideg ti Central Park.
I'm sorry, I didn't mean to hurt your feelings.	Dispensarem, diak inggagara a saktan ti riknam.
The rain didn't stop them from doing their job.	Saan a napasardeng ti tudo ti panangiwayatda kadagiti obrada.
Tom didn't trust Mary and she didn't trust him.	Saan nga agtalek ni Tom ken ni Mary ket saan met nga agtalek ni Mary ken ni Tom.
You shouldn't judge a person by his appearance.	Saanmo a rebbeng a kedgnan ti maysa a tao babaen ti kalalangana.
Are you the only one who has a key to this door?	Sika kadi laeng ti addaan iti tulbek iti daytoy a ridaw?
Did Tom ever tell you where he hid the diamonds?	Imbaga kadi kenka ni Tom no nangilemmenganna kadagiti diamante?
Do you feel pain in any other part of your body?	Makariknaka kadi iti sakit iti ania man a paset ti bagim?
Don't you realize everything Tom said was a lie?	Dimo kadi maamiris nga am-amin nga imbaga ni Tom ket bin-ig a kinaulbod?
He regretted having borrowed that book from her.	Agbabbabawi a nangbulod iti daydiay a libro manipud kenkuana.
I have been to the airport to see my father off.	Napanak iti eropuerto ta kinitak ti tatangko nga agbiahe.
I'm surprised you and Tom don't like each other.	Masdaawak a sika ken ni Tom ket saan nga agkasunguan.
No country on earth is safe in this nuclear age.	Awan ti pagilian iti lubong a natalged iti daytoy a panawen a nuklear.
He satisfied his hunger with a sandwich and milk.	Inep-epna ti bisinna babaen ti tinapay ken gatas.
I would like to place an order for the following.	Kayatko ti agorder kadagiti sumaganad.
None of us had any idea what was going to happen.	Awan kadatayo ti addaan iti idea no ania ti mapasamak.
Tom didn't think that anyone would recognize him.	Saan nga ipagarup ni Tom a mabigbig isuna ti asino man.
Tom didn't trust Mary as much as she trusted him.	Saan a pagtalkan ni Tom ni Mary a kas iti panagtalek daytoy kenkuana.
Tom has finally paid back all his gambling debts.	Nabayadan met la aminen ni Tom dagiti utangna iti sugal.
Tom is saving up money so he can go to Australia.	Agur-urnong ni Tom iti kuarta tapno makapan isuna idiay Australia.
Unless it rains, the game will be held on Sunday.	Malaksid no agtudo, maangay ti paay-ayam inton Domingo.
We must be careful that this never happens again.	Masapul nga annadantayo a saanen a pulos a mapasamak manen ti kastoy.
We need some more information about that product.	Masapulmi ti ad-adu pay nga impormasion maipapan iti dayta a produkto.
We sometimes judge others based on their actions.	No maminsan, kedngantayo ti dadduma maibatay kadagiti tignayda.
We've decided to move the meeting to next Sunday.	Inkeddengmi a yalud-od ti miting iti sumaruno a Domingo.
Does everyone think it was me who stole the money?	Atapen kadi ti amin a siak ti nangtakaw iti kuarta?
He spoke slowly enough for everyone to understand.	Inin-inayadna ti nagsao tapno maawatan ti amin a dumdumngeg.
I'm anxious to know the results of the blood test.	Madandanaganak a makaammo iti resulta ti blood test.
It is true that she is pretty, but she is selfish.	Agpayso a napintas isuna, ngem bagbagina la ti napateg kenkuana.
They were accused of supplying arms to terrorists.	Napabasolda a nagisuplay iti armas kadagiti terorista.
We need more than ten cases of beer for our party.	Masapulayo ti nasursurok ngem sangapulo a kahon ti serbesa para iti paskentayo.
Your plan is a good one, but mine is a better one.	Nasayaat ti planom, ngem nasaysayaat ti planok.
Are you sure there isn't any easier way to do this?	Siguradoka kadi nga awan ti nalaklaka a wagas a panangaramid iti daytoy?
Did Tom ever tell you what he wanted for Christmas?	Imbaga met la kadi kenka ni Tom no ania ti kayatna a Pamaskua?
He became the company president when he was thirty.	Nagbalin isuna a presidente ti kompania idi tallopulona.
I don't understand why she doesn't love me anymore.	Diak maawatan no apay a saannakon nga ay-ayaten pay.
I really need to go outside and get some fresh air.	Kasapulan la unay a rummuarak ket lumang-abak iti sadiwa nga angin.
It may rain tomorrow, but we are going in any case.	Adda labitna nga agtudo no bigat, ngem mapankami latta.
With a little more effort, he would have succeeded.	Bassit laengen a panangigannuat, nagballigi koman.
Does it bother you that I'm much older than you are?	Pakasikoram kadi no adayo a natataengak ngem iti sika?
He is a gentleman. He cannot have said such a thing.	Natakneng isuna a lalaki. Saanna la ketdi a maibaga ti kasta a banag.
He retired from the company after 30 years' service.	Nagretiro isuna iti kompania kalpasan ti tallopulo a tawen a serbisiona.
I received a letter from one of my friends in Japan.	Nakaawatak iti surat manipud iti maysa kadagiti gagayyemko idiay Japon.
I'm not saying this to hurt you, but it's the truth.	Haanko nga ibagbaga daytos tapno pasaktanka, ngem daytoy ti pudno.
To be successful, you have to establish a good plan.	Tapno agballigika, masapul a makaigannuatka iti napintas a plano.
Have any of you ever seen something like this before?	Adda kadi kadakayo ti nakakita idin iti kasla kastoy?
He did not decide to be a writer until he was thirty.	Sana la inkeddeng ti agbalin a mannurat idi tallopulona.
They tortured the prisoner first and then killed him.	Pinarparigatda nga umuna ti balud sada pinapatay daytoy.
Why would somebody want to live in a place like this?	Apay a kayat ti maysa a tao ti agnaed iti kastoy a lugar?
As soon as Tom walked out the door, Mary began to cry.	Apaman a nakaruar ni Tom iti ruangan, nagsangiten ni Maria.
I can't conceive how I could have made such a mistake.	Diak a masinunuo no kasano a naaramidak ti kasdiay a biddut.
I'm afraid I cannot make myself understood in English.	Madanaganak ta amangan no dida maawatan ti panaginglesko.
Please let us know if we can be of help in other ways.	Ipakaammoyo laeng kadakami no adda maitulongmi iti sabsabali pay a wagas.
With a little more patience, you would have succeeded.	Bassit la koman nga anus, nagballigika koman.
A foreign language cannot be learned in only two weeks.	Saan a masursuro iti dua a lawas laeng ti maysa a ganggannaet a pagsasao.
All horses are animals, but not all animals are horses.	Amin a kabalio ket ayup, ngem saan nga amin nga ayup ket kabalio.
I estimate that we'll need two days to finish the work.	Karkuluek a kasapulantayo ti dua nga aldaw a mangileppas iti trabaho.
I know you're busy, but can I talk to you for a minute?	Ammok a makumikomka, ngem mabalin kadi a makisaritaak kenka iti apagbiit?
I'm surprised you decided not to accept that job offer.	Masdaawak nga inkeddengmo a dimo awaten dayta a naidiaya a trabaho.
Once upon a time, there was an old man in this village.	Idi un-unana a panawen, adda maysa a lakay iti daytoy nga away.
How many kinds of vegetables do you grow in your garden?	Mano a klase ti natnateng ti imulmulam iti hardinmo?
I make it a rule to study English for 3 hours every day.	Inaramidko a kas annuroten ti panagadalko iti Ingles iti tallo nga oras iti inaldaw.
I really need to catch the first train tomorrow morning.	Kasapulan unay a makamakamko ti umuna a tren iti agsapa no bigat.
It is said that she is the best tennis player in France.	Makunkuna nga isu ti kalalaingan nga agay-ayam iti tennis iti Francia.
Tom gave Mary the money she needed to pay off her debts.	Inted ni Tom ken ni Mary ti masapulna a kuarta a pagbayadna kadagiti utangna.
Tom seems to take it for granted that he'll get the job.	Kasla iyaleng-aleng laeng ni Tom a maawat iti daydiay a trabaho.
I think we'll all feel better once we get a little sleep.	Panagkunak ket mabang-arantayo no makaturogtayo iti uray sangkabassit laeng.
She became scared when she noticed the man following her.	Nagbuteng isuna idi madlawna nga adda tao a mangsursurot kenkuana.
Tom didn't understand exactly what Mary wanted him to do.	Saan a naawatan a nalaing ni Tom no ania ti kayat nga ipaaramid ni Mary kenkuana.
Don't you ever feel like you don't know what you're doing?	Dimo kadi pay, aya, narikna a kasla dimo ammo ti ar-aramidem?
The terrorists must be hunted down and brought to justice.	Masapul a maanup ken makemmeg dagiti terorista tapno maisaklangda iti hustisia.
Do we have enough time to finish this before Tom gets here?	Adda kadi pay umanay a panawen a malpastayo daytoy sakbay a makasangpet ni Tom ditoy?
I thought you'd be interested to know that Tom found a job.	Ti ammok ket interesadoka a makaammo a nakabiroken ni Tom iti trabahona.
I want to travel this summer, but I don't know where to go.	Kayatko ti agdaliasat iti daytoy a kalgaw, ngem diak ammo no sadino ti papanan.
In spite of the fact that she was busy, she came to see me.	Iti laksid a makumikom isuna, immaynak kinita.
Please open your bag so that I can see what you have in it.	Pakilukat ti bagmo tapno makitak no ania ti impanmo iti unegna.
The latest issue of the magazine will come out next Monday.	Rummuar inton Lunes ti kaudian nga isyu ti magasin.
They have demanded that all copies of the book be destroyed.	Inkalikagumda nga amin a kopia ti libro ket madadael.
Tom listened to Mary recite the poem that she had memorized.	Inimdengan ni Tom ni Mary a nangyebkas iti daniw nga inkabesana.
The box was so heavy that Tom had to help Mary carry it home.	Nadagsen unay ti kahon isu a tinulongan ni Tom ni Mary a mangawit a mangyawid iti daytoy.
Burj Khalifa is currently the tallest skyscraper in the world.	Ti Burj Khalifa ti katayagan a pasdek iti sangalubongan iti agdama.
Don't you know how dangerous it is to go swimming by yourself?	Dimo kadi ammo a napeggad ti mapan aglangoy a siksika?
I have a cat and a dog. The cat is black and the dog is white.	Adda pusa ken asok. Nangisit ti pusa ken puraw ti aso.
He still remembers the day his mother found out he was smoking.	Malagipna pay ti aldaw a pannakaduktal kenkuana ti inana nga agsigsigarilio isuna.
Why does it take them so long to set up my internet connection?	Apay a nakabaybayag la ketdin nga ibanagda ti koneksionko iti internet?
Tom is estimating how much money he'll need to finish the house.	Karkarkuluen ni Tom no mano ti magastosna a mangileppas iti balay.
On my way to school each day, I generally see many dogs and cats.	Iti dalanko a sumrek iti eskuela, gagangay nga adu ti makitkitak nga as-aso ken puspusa.
Tom doesn't know the difference between a diamond and an emerald.	Saan nga ammo ni Tom ti nagdumaan ti maysa a diamante ken ti maysa nga esmeralda.
They come to collect the mail at three in the afternoon every day.	Umayda kolektaen dagiti surat iti alas tres iti malem iti inaldaw.
Don't you just hate the way Tom always monopolizes the conversation?	Dimo kadi, aya, kagura ti aramid ni Tom a mangbukbukod iti patangan?
If you don't know what the word means, look it up in the dictionary.	No dimo ammo ti kayat a sawen ti balikas, kitaem daytoy iti diksionario.
If anyone calls me up while I'm away, tell them I'll be back by five.	No adda umawag kaniak iti telepono kabayatan nga awanak, ibagam kadakuada nga agsubliak iti alas singko.
If we have not covered all the questions you asked, please inform us.	No dimi nasungbatan amin a saludsodyo, ibagayo koma kadakami.
Since their conversation was in French, I couldn't understand a word.	Gapu ta French ti panagsasaritada, awan a pulos ti maawatak a balikas.
If it had not been for your advice, I would have failed in my business.	No saan koma a gapu iti pammagbagam, saan koma a nagballigi ti negosiok.
Maybe I shouldn't tell you this, but I am truly mesmerized by your beauty.	Nalabit ket saanen a nasken nga ibagak pay kenka daytoy, ngem agpayso a nagargariak iti pintasmo.
As soon as the new teacher entered the classroom, the students began to applaud.	Apaman a nakastrek iti siled a pagadalan ti kabarbaro a mannursuro, nangrugi nga agdir-i dagiti estudiante.
If Cleopatra's nose had been shorter, the whole face of the world would have been changed.	No koma ta nalepleppap ti agong ni Cleopatra, mabalin a nagbaliw koma ti sibubukel a rupa ti lubong.
Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday are the seven days of the week.	Lunes, Martes, Mierkoles, Huebes, Biernes, Sabado ken Domingo dagiti pito nga al-aldaw ti lawas.
