Who?	چه کسی؟
She was in trouble because she lost her passport.	او مشکل داشت زیرا گذرنامه اش را گم کرده بود.
Strawberries sell for a high price in the winter.	قیمت توت فرنگی در زمستان بسیار بالاست.
What is the difference between reality and truth?	فرق میان حقیقت و واقعیت چیست؟
You aren't really going to vote for Tom, are you?	تو که واقعا نمی خواهی به تام رای دهی. می خواهی؟
A good many people have told me to take a holiday.	خیلی ها به من پیشنهاد رفتن به تعطیلات را داده اند.
A piano is expensive, but a car is more expensive.	یک پیانو گران است، اما یک ماشین گرانتر است.
A policeman asked the girls if the car was theirs.	پلیس از دختران پرسید که آیا ماشین مال آنهاست.
All generalizations are false, including this one.	همه‌ی تعمیم‌دادن‌ها اشتباه‌اند، ازجمله همین یکی.
Didn't I tell you that you needed to study harder?	بهت نگفتم باید بیشتر درس می‌خواندی؟
Do you know any restaurants with good Korean food?	آیا رستورانی با غذای خوب کره ای می شناسی؟
His low salary prevents him from buying the house.	حقوق کم او او را از خانه خریدن باز می دارد.
I put in an hour of jogging before I go to school.	قبل از اینکه به مدرسه بروم، یک ساعت پیاده روی می کنم.
I wanted some salt, but there was none in the jar.	من نمک می خواستم، ولی در بطری شیشه ای هیچ نبود.
I would buy this watch, except it's too expensive.	من این ساعت را می خریدم، اگر که گران نبود.
I'm going to change into more comfortable clothes.	من برم یک لباس راحت تر بپوشم.
My gut feeling is that Tom won't show up tomorrow.	به دلم افتاده که فردا تام سروکله‌اش پیدا نمیشه.
My mother has been in the hospital until recently.	مادرم تا چندی پیش در بیمارستان بوده است.
Not only his son, but his daughter is also famous.	علاوه بر پسرش، دخترش نیز مشهور است.
Please fill in your name and address on this form.	لطفا اسم و آدرست را در این فرم پرکن
Prices have been gradually rising in recent years.	قیمت ها به تدریج در طی سالهای اخیر افزایش یافته اند.
She worked so hard that eventually she became ill.	او آنقدر زیاد کار میکند که بالاخره بیمار میشود.
The date and place of the meeting have been fixed.	تاریخ و زمان جلسه ثابت و معین شده است.
The hotel at which we stayed was very comfortable.	هتلی که ما در آن اقامت داشتیم،بسیار راحت بود.
The ice is so thin that it won't bear your weight.	یخ نازک است طوری که وزنت تحمل نخواهد کرد.
The prince learned English from the American lady.	شاهزاده، انگلیسی را، از آن زن آمریکایی یاد گرفت.
The publishers of that newspaper are very liberal.	ناشران آن روزنامه بسیار آزاد اندیش هستند.
The publishers of that newspaper are very liberal.	ناشران آن روزنامه بسیار لیبرال هستند.
They had to find the strongest candidate possible.	آنها می‌بایست قوی‌ترین نامزد ممکن را پیدا کنند.
They told us we could go home because of the snow.	آنها به ما گفتند که به خاطر برف می توانیم به خانه هایمان برویم.
Tom circled the block looking for a place to park.	تام به دنبال جایی برای پارک دور بلوک چرخید.
We came to the conclusion that we should help him.	ما به این نتیجه رسیدیم که باید به او کمک کنیم.
When angry, count to four. When very angry, swear.	وقتی عصبانی هستی تا چهار بشمار. وقتی خیلی عصبانی هستی لعنت بفرست.
Who was the last person to log on to the computer?	آخرین کسی که به کامپیوتر وصل شد، کی بود؟
Women who seek to be equal with men lack ambition.	زنانی که می خواهند با مردان برابر شوند، بلند همت نیستند.
You aren't really going to join the army, are you?	تو که واقعا نمی خواهی به سپاه بپیوندی. می خواهی؟
You'll soon come to enjoy the food and drink here.	به زودی از غذا و نوشیدنی اینجا لذت خواهید برد.
After all day in the sun, Tom had a sunburned nose.	پس از گذراندن تمام روز در آفتاب، بینی تام آفتاب سوخته شده بود.
All the girls seem to have fallen in love with Tom.	به نظر می رسد که تام دل تمام دخترها را برده است.
Children will believe what their parents tell them.	کودکان آن چیزی را که والدینشان به آنها می گویند باور خواهند کرد.
Get a bicycle. You will not regret it, if you live.	یک دوچرخه بخرید. پشیمان نخواهید شد، اگر زنده بمانید.
He confided in me things he would tell no one else.	او چیزهایی را با من در میان می‌گذارد که به هیچکس دیگر نمی‌گوید.
He was never to return to his native country again.	او هیچگاه دوباره به کشور موطن خود بازنگشت.
He went to Italy for the purpose of studying music.	او به ایتالیا رفت به قصد خواندن موسیقی.
I don't feel well. Could you give me some medicine?	حالم خوب نیست.می شود مقداری دارو به من بدهی؟
I make it a rule never to smoke while I'm sleeping.	من با خود عهد کرده‌ام هنگام خوابیدن هرگز سیگار نکشم.
I think a movie is more entertaining than any book.	من فکر می کنم که یک فیلم بیشتر از یک کتاب سرگرم کننده است.
If I wait, what's the possibility I can get a seat?	اگر منتظر شوم، چقدر احتمال دارد جا گیرم بیاید؟
If a fight is inevitable, you have to strike first.	اگر نبرد اجتناب‌ناپذیر باشد، مجبورید اول حمله کنید.
It's not a good idea to ask a woman how old she is.	ایده خوبی نیست که از یک زن بپرسید شما چند سالتونه؟
She's intent on going to New York to study fashion.	او قصد دارد برای تحصیل در زمینه مد به نیویورک برود.
The following day he was found dead in the bedroom.	روز بعد، او را مرده در اتاق خواب پیدا کردند.
Tom agreed to meet Mary in front of the laundromat.	تام پذیرفت که با ماری جلوی لاندرومات ملاقات کند.
Tom chewed Mary out for staying out all night long.	تام برای بیرون ماندن در تمام شب، ماری را سرزنش کرد.
Tom chewed Mary out for staying out all night long.	تام ماری را سرزنش کرد. زیرا تمام شب بیرون مانده بود.
Tom didn't feel comfortable driving Mary's new car.	تام از راندن ماشین ماری احساس راحتی نمی کرد.
Tom drew a happy face on the cover of his notebook.	تام چهره ی شادمانی روی جلد دفترش نقاشی کرد.
We walked along the busy street, singing old songs.	در حالی که در خیابان های شلوغ قدم می زدیم، آوازهای قدیمی را می خواندیم.
You aren't really going to argue with Tom, are you?	تو که واقعا نمی خواهی با تام مجادله کنی، می خواهی؟
"What's the purpose of your visit?" "I'm a tourist."	هدف از سفر چیست؟ من جهانگرد هستم.
A clear conscience is the sure sign of a bad memory.	وجدان راحت نشانهٔ آشکار کم حافظگی است.
As soon as she heard the news, she burst into tears.	به محض اینکه او اخبار را شنید, شروع به گریه کردن کرد.
Being a doctor helped me greatly during the journey.	دکتر بودنم در طی سفر به من کمک بزرگی کرد.
He is reticent and he never speaks unless spoken to.	او تودار است و هرگز صحبت نمی‌کند مگر اینکه با او صحبت شود.
He keeps telling the same jokes over and over again.	او مدام یک جک را چندین بار می گفت.
I don't suppose you know anything about Tom, do you?	فکر نکنم شما چیزی راجع به تام بدانید. می دانید؟
If you can't stand the heat, get out of the kitchen.	اگر نمی‌توانید در مقابل گرما ایستادگی کنید از آشپزخانه خارج شوید.
Iran is the eighteenth largest country in the world.	ایران، هجدهمین کشور بزرگ دنیا است.
My mother hasn't slept in 3 days due to her illness.	مادرم به خاطر بیماری اش طی 3 روز گذشته نخوابیده است.
No matter how rich he may be, he is never contented.	فرقی ندارد که او چقدر ثروتمند باشد، او هرگز قانع نخواهد شد.
That's an interesting proposal. I'll think about it.	پیشنهاد جالبی است. راجع به آن فکر خواهم کرد.
The most beautiful flowers have the sharpest thorns.	زیباترین گلها تیزترین خارها را دارند.
The purpose of a roundabout is to slow down traffic.	هدف از مسیر غیرمستقیم، کاهش ترافیک است.
The situation is getting worse and worse day by day.	وضعیت روز به روز بدتر و بدتر می‌شود.
They threatened to kill me so I gave them my wallet.	آنها مرا تهدید به مرگ کردند بنا براین من کیفم را به آنها دادم.
Tokyo is more populous than any other city in Japan.	توکیو از هر شهر دیگری در ژاپن پرجمعیت تر است.
Tom doesn't like it when this kind of stuff happens.	وقتی چنین اتفاقاتی می افند تام خوشحال نمی شود.
Tom first came to Japan when he was three years old.	تام اولین بار وقتی سه ساله بود، به ژاپن آمد.
Tom is the one who told me that Mary didn't like me.	تام کسی است که به من گفت مری دوستم ندارد.
Two Iranian professors of physics were assassinated.	دو پروفسور فیزیک ایرانی ترور شدند.
We should make every effort to maintain world peace.	ما باید هر گونه تلاشی را جهت حفظ صلح جهانی انجام دهیم.
You aren't really going to drive Tom's car, are you?	تو که واقعا نمی خواهی ماشین تام را برانی، می خواهی؟
Always keep a bucket of water handy, in case of fire.	همیشه یک سطل آب برای آتش احتمالی نگهدار.
Didn't I tell you that you needed to get there early?	بهت نگفتم باید زود اون جا می‌رسیدی؟
He didn't trust his brother enough to confide in him.	او به برادرش به اندازه کافی اعتماد نکرد تا او را محرم خود سازد.
I couldn't think of any reason why Tom would be late.	نمی توانم علّتی بیابم که چرا تام باید دیر کند.
I couldn't think of any reason why Tom would be late.	دلیلی به فکرم نمی رسد که تام دیر کند.
I know someone who may be interested in your project.	کسی را می شناسم که ممکنه به پروژه شما علاقمند باشه.
I think Tom will come, but it's hard to say for sure.	فکر کنم تام می آید. امّا دشوار می توان با اطمینان چنین گفت.
I think it's impossible for him to solve the problem.	فکر می‌کنم برای او امکان دارد که مسئله را حل کند.
If you make your own clothes, it will save you money.	اگر لباس‌هایتان را خودتان تهیه کنید، پول زیادی صرفه‌جویی می‌کنید.
If you're wrong, admit it. If you're right, be quiet.	اگر اشتباه می‌کنی، آن را بپذیر. اگر حق با تو است، خاموش باش.
Injustice anywhere is a threat to justice everywhere.	بی عداالتی در هر جا که باشد، تهدیدی برای عدالت در همه جاست.
It is difficult to express one's thoughts in English.	بیان افکار به زبان انگلیسی دشوار است.
It pays in the long run to buy goods of high quality.	خریدن کالاهایی با کیفیت بالا عاقبت کار ساز است.
Leaving the children alone was sheer thoughtlessness.	تنها رها کردن کودکان، یک بی‌فکری محض بود.
Mary is not poor. On the contrary, she is quite rich.	ماری ندار نیست.اتفاقا او کمی پولدار است.
My life would have been completely empty without you.	بدون شما زندگی من کاملاً خالی می‌بود.
One is more prone to make mistakes when one is tired.	وقتی خسته هستیم بیشتر در معرض ارتکاب به اشتباه هستیم.
People usually don't like what they can't understand.	افراد معمولاً آنچه نمی‌فهمند را دوست ندارند.
Please forgive me for opening your letter by mistake.	ببحشید که من اشتباهاً نامه‌ی شما را باز کردم.
She lost her way and on top of that it began to rain.	او راهش را گم کرد و علاوه بر این، باران نیز شروع به باریدن کرد.
The campaign was successful and she won the election.	کارزار تبلیغاتی موفقیت‌آمیز بود و او در انتخابات پیروز شد.
The train had already left when I got to the station.	وقتی من به ایستگاه رسیدم، قطار قبل از آن رفته بود.
They explored the desert in quest of buried treasure.	آنها کویر را در جستجوی گنج کاوش کردند.
Tom couldn't see the lake from where he was standing.	تام نمی توانست از آنجایی که ایستاده بود، دریاچه را ببیند.
Tom is the one who told me when the meeting would be.	تام کسی است که به من گفت زمان ملاقات کی خواهد بود.
What criteria do you use in deciding who to vote for?	برای تصمیم‌گیری در مورد اینکه به چه کسی رأی بدهید، از چه معیارهایی استفاده می‌کنید؟
When I was a child, our house seemed bigger than now.	هنگامی که بچه بودم، خانه مان بزرگ تر از اکنون به نظر می رسید.
When Tom stopped for a stop sign, his engine stalled.	وقتی تام مقابل تابلوی ایست ایستاد، موتورش واماند.
After a couple of drinks, the guy was feeling no pain.	بعد از چند نوشیدنی، دیگر آن مرد دردی احساس نمی کرد.
Please give me some kind of medicine to curb the pain.	لطفا چند نوع دارو به من بدهید تا دردم را تسکین دهد.
She made arrangements to get him into a good hospital.	او ترتیب کارها را داده تا او را به یک بیمارستان خوب ببرد.
The dullest pencil is better than the sharpest memory.	نتراشیده‌ترین مداد بهتر از هوشیارترین حافظه است.
There's a small possibility that Tom will be arrested.	احتمال کوچکی وجود دارد که تام دستگیر شود.
Tom got so absorbed in his work that he forgot to eat.	تام به قدری جذب کارش شده بود که یادش می‌رفت غذا بخورد.
Tom is the one who told me that I should study French.	تام کسی است که به من گفت باید فرانسوی یاد بگیرم.
Children found Christmas presents hidden under the bed.	بچه ها هدایای کریسمس را که زیر تخت پنهان شده بود، پیدا کردند.
Don't cry because it's over. Smile because it happened.	گریه نکن که چرا پایان یافت، بخند زیرا اتفاق افتاده بود.
It's easy to make friends, but hard to get rid of them.	دوست شدن آسان است، ولی از شر آنها خلاص شدن سخت است.
My mother tasted the soup and added a little more salt.	مادرم سوپ را چشید و بعد کمی نمک به آن اضافه کرد.
Not all horses were born equal. A few were born to win.	اسبها همه برابر زاده نشدند. معدودی از آنها برای بردن زاده شدند.
This cola has lost its fizz and doesn't taste any good.	این کولا گاز خود را از دست داده است و طعم خوبی ندارد.
Tom didn't seem terribly interested in learning French.	تام چندان علاقه مند به آموزش فرانسه به نظر نمی رسید.
Tom didn't seem terribly interested in learning French.	به نظر نمی رسید تام چندان علاقه مند به آموزش فرانسه باشد.
Tom double-checked his door to make sure it was locked.	تام دوباره درب را بررسی کرد تا مطمئن شود قفل است.
Words cannot express the extent to which you are wrong.	کلمات از بیان اشتباه شما قاصر اند.
Any teacher that can be replaced by a machine should be.	معلمی که بتواند توسط ماشین جایگزین شود، باید بشود.
He who thinks he has learned enough has learned nothing.	آنکه می‌پندارد که به اندازهٔ کافی آموخته است، هیچ چیز نیاموخته است.
If I'd had more time, I'd have written a shorter letter.	اگر بیشتر وقت داشتم، یک نامهٔ کوتاه‌تر نوشته بودم.
Never tell the truth to people who are not worthy of it.	هیچوقت به افرادی که لیاقتش را ندارند صداقت نورزید.
The more you explain it, the more I don't understand it.	هرچه بیشتر آن را توضیح می‌دهید، من بیشتر آنرا نمی‌فهمم.
These clothes are not appropriate for a cold winter day.	این لباس ها واسه یه روز سرد زمستانی مناسب نیست.
They are filibustering to prevent the bill from passing.	آنها تعلل می‌کنند تا مانع آمدن لایحه شوند.
This is by far the best seafood restaurant in this area.	این تا کنون بهترین رستوران غذاهای دریایی در این منطقه است.
Tom arrived at 2:30 and Mary arrived a short time later.	تام در ساعت 2:30 رسید و ماری مدّک کوتاهی بعد از آن رسید.
Tom is the one who told me why I needed to go to Boston.	تام کسی است که به من گفت چرا باید به بوستون بروم.
Which do you like better, rock music or classical music?	از کدامیک بیشتر خوشتان می‌آید، موسیقی راک یا موسیقی کلاسیک؟
You are old enough to know better than to act like that.	تو آنقدر بزرگ شده ای که بدانی بهتر از آن باید رفتار کنی.
You aren't really going to go camping with Tom, are you?	تو که واقعا با تام نمی روی اردو. می روی؟
You must not despise a man because he is poorly dressed.	نباید یک آدم را به خاطر اینکه لباس‌های خوبی ندارد، کوچک بشمارید.
You should ask your father for his advice and follow it.	تو باید از پدرت راهنمایی بخواهی و به آن عمل کنی.
You shouldn't respect someone just because they're rich.	فقط چون کسی پولداره نباید بهش احترام بگذارید.
As always, I could only hope the police wouldn't stop me.	مثل همیشه تنها امیدم این بود که پلیس مرا متوقف نکند.
As far as I know, this is the only translation available.	این که تنها ترجمه ی موجود است،دور از ذهن من بود.
As soon as you trust yourself, you will know how to live.	به محض اینکه به خودت اعتماد کنی، خواهی فهمید که چگونه زندگی کنی.
Every day I waited for her at the bookstore after school.	هر روز بعد از مدرسه در کتابفروشی منتظر او می ماندم.
I have just been to Sapporo Station to see my mother off.	من به تازگی در ایستگاه ساپورو بودم تا مادرم را بدرقه کنم.
If he calls, tell him I will get in touch with him later.	اگر او زنگ زد به او بگو که بعدا با او تماس می گیرم.
If he wanted to get to London today, he should leave now.	اگر بخواهد امروز به لندن برسد، باید همین الان برود.
In many countries, being gay is a cause for imprisonment.	در خیلی از کشورها، همجنس باز بودن دلیلی است برای زندانی کردن.
It's too far to walk to the station, so let's take a bus.	پیاده روی تا ایستگاه طولانی است پس بیا سوار اتوبوس شویم.
My father will cook me a delicious meal tomorrow morning.	فردا صبح، پدرم غذای خوشمزه ای برایم می پزد.
Quite a few people were present at the meeting yesterday.	تعداد نسبتًاً اندکی از مردم در جلسه دیروز حاضر بودند.
The more you study, the more you discover your ignorance.	هر چه بیشتر بخوانی، بیشتر به نادانیت پی می بری.
Tom hid the gun under a bunch of oily rags in his garage.	تام زیر یک دسته از لباس‌های روغنی کهنه توی گاراژش اسحله را پنهان کرد.
Do you really need to ask the question to know the answer?	آیا برای فهمیدن جواب حتماً باید سؤال بپرسی؟
He was so confused that his answer did not make any sense.	او به حدی گیج شده بود که جوابش به هیچ وجه عاقلانه نبود.
I forgot to turn off the television before going to sleep.	من فراموش کردم که تلویزیون را قبل به خواب رفتن خاموش کنم.
I had to abstain from smoking while I was in the hospital.	من مجبور بودم هنگامی که در بیمارستان بودم از سیگار کشیدن اجتناب کنم.
I have a lot of flowers. Some are red and some are yellow.	من گلهای بسیاری دارم.برخی شان سرخند و برخی زرد.
If it were to rain tomorrow, the match would be postponed.	اگر قرار بود فردا باران ببارد، مسابقه به تعویق می‌افتاد.
If you can't keep your promise, what excuse will you make?	اگر نتوانی به وعده‌ات عمل کنی، چه عذری خواهی آورد؟
It was close to 2:30 by the time Tom reached Mary's house.	زمانی که تام به خانه ی ماری رسید، ساعت نزدیک 2:30 بود.
My grandmother was gradually becoming forgetful and frail.	مادربزرگم به تدریج فراموشکار و نحیف می شد.
Now that you are in Italy, you must absolutely see Naples.	حالا که شما در ایتالیا هستید، باید از ناپل دیدن کنید.
The government banned cigarette advertising on television.	دولت تبلغات سیگار در تلویزیون را ممنوع کرد.
There is no satisfactory answer a parent can give to this.	هیچ جواب قانع کننده ای نبود که یک پدر و مادر بخواهند بدهند.
They announced the date of their wedding in the newspaper.	آنها تاریخ عروسی را در روزنامه اعلام کردند.
Tom and Mary have been happily married for thirteen years.	تام و ماری پانزده سال با شادمانی در عقد یکدیگر بوده اند.
You aren't really going to buy Tom's old tractor, are you?	تو که واقعا نمی خواهی تراکتور کهنه ی تام را بخری، می خواهی؟
A fool always believes that it is the others who are fools.	نادان همه را به کیش خود پندارد.
She wanted to die because she couldn't satisfy her parents.	او می خواست بمیرد چونکه او نمی توانست پدر و مادرش را خوشحال کند.
The grass is always greener on the other side of the fence.	مرغ همسایه غاز است.
I will show you a new approach to foreign language learning.	من شیوه ای نو برای یادگیری زبان نشانت می دهم.
If you want something done right, you should do it yourself.	اگر می‌خواهید چیزی درست انجام شود، باید خود آن را انجام دهید.
In spite of the language difficulty, we soon became friends.	علیرغم دشواری زبان، خیلی زود با هم دوست شدیم.
The worst loneliness is to not be comfortable with yourself.	بدترین تنهایی راحت نبودن با خود است.
Tom is the only person that has any chance to persuade Mary.	تام تنها کسی است که احتمال دارد ماری را مجاب کند.
Tom was in a quandary about who to vote for in the election.	تام دربارهٔ اینکه به چه کسی در انتخابات رأی دهد در سردرگمی بود.
We can run away from everything, except from our conscience.	ما از همه چیز می‌توانیم فرار کنیم به جز از وجدانمان.
When I was younger, many people used to say I was beautiful.	وقتی جوون تر بودم، خیلی ها بهم میگفتم که خوشگلم.
"What's going on in the cave? I'm curious." "I have no idea."	" در این غار چه می گذرد؟ من کنجکاو هستم." "من هیچ حدسی نمی زنم."
Last night was very hot and muggy, so I didn't sleep so well.	دیشب هوا خیلی گرم و شرجی بود، به همین خاطر نتوانستم خوب بخوابم.
The only one who enjoys a crowded subway car is a pickpocket.	تنها کسی که از یک مترو پر ازدحام لذت می‌برد یک جیب‌بر است.
The peace we have today is the result of lengthy peace talks.	صلحی که ما امروز داریم، نتیجه مذاکرات طولانی صلح است.
This program has both downloading and uploading capabilities.	این برنامه قابلیت دانلود و آپلود، هر دو را دارد.
Today, things are better for the Latino community in the USA.	امروزه، اوضاع برای گروه لاتینی ها ( اهالی آمریکای جنوبی) در ایالات متحده آمریکا بهتر است.
Tom has been in and out of mental hospitals most of his life.	تام بیشتر عمرش به تناوب در بیمارستان‌های روانی بستری بوده است.
When cleaning the classroom, a few students carry the podium.	هنگام نظافت کلاس، چند دانش‌آموز تریبون را حمل می‌کنند.
Ever since she fell in the kitchen, she hasn't been all there.	از زمانی که او در آشپزخانه افتاد، عقل سالم نداشته است.
It's too late to shut the barn door after the horse is stolen.	نوشدارو بعد از مرگ سهراب.
Japan is now very different from what it was twenty years ago.	ژاپن از آنچه که بیست سال پیش بود، بسیار تفاوت دارد.
Let's go drink a cup of coffee at that coffee shop over there.	بیا بریم یک فنجان قهوه بنوشیم در آن کافی شاپ آنجا.
That toilet brush belongs in the bathroom, not in the kitchen.	این فرچه توالت متعلق به حمام هست، نه برای تو آشپزخانه.
We should play a more active role in combating global warming.	باید در مبارزه با گرم شدن کره‌ی زمین نقش فعال‌تری ایفا کنیم.
You aren't really going to go to Boston in Tom's car, are you?	تو که واقعا نمی خواهی با ماشین تام بروی بوستون. می خواهی؟
The weather here is getting cold and I really do not like that.	هوای اینجا در حال سرد شدن است و من واقعاً آن را دوست ندارم.
Tom politely pretended not to notice that Mary had been crying.	تام مودبانه تظاهر کرد که متوجه گریه کردن مری نشده است.
You're up very early this morning. Do you have something to do?	امروز صیح خیلی زود از خواب بیدار شده ای؟ کاری داری که انجام بدهی؟
I called the police as soon as I saw his dead body on the floor.	من با پلیس تماس گرفتم، به محض اینکه جسدش را در کف اتاق دیدم.
If peace cannot be maintained with honor, it is no longer peace.	اگر صلح را نتوان با شرافت حفظ کرد، این دیگر صلح نیست.
My father has a habit of reading the newspaper before breakfast.	پدرم عادت دارند قبل از صبحانه روزنامه بخوانند.
Tom checked his rearview mirror before pulling out into traffic.	تام به آیینه بغلش نگاهی کرد قبل از آنکه از پارکینگ وارد ترافیک شود .
You can go out, as long as you promise to be back by 11 o'clock.	می‌توانی بروی بیرون، به شرط آنکه قول بدهی تا ساعت 11 بر گردی.
All you need is ignorance and confidence and the success is sure.	برای موفقیت فقط نادانی و اعتماد به نفس نیاز است.
Can you spare me a few minutes? I'd like to have a word with you.	می‌توانید چند دقیقه به من وقت بدهید؟ می‌خواهم چند کلمه با شما صحبت کنم.
If I had eaten breakfast this morning, I would not be hungry now.	اگر امروز صبح صبحانه خورده بودم، الان گرسنه نبودم.
If you really need a job, why don't you consider working for Tom?	اگر واقعا به یک شغل نیاز داری، چرا به کارکردن برای تام فکر نمی کنی؟
It is because you work too much that you are sleepy all the time.	به این دلیل که تو بسیار کار می کنی، همیشه خواب آلود هستی.
It was still early in the day when Tom arrived at the campground.	آن روز زودهنگام بود که تام به اردوگاه رسید.
Kyowa Bank and Saitama Bank merged into Asahi Bank ten years ago.	10 سال قبل، بانک کیوئووا و بانک ساییتاما ادغام شدند و بانک آساهی را پدید آوردند.
My father is oblivious to the emotional pain his abuse caused me.	پدرم توجهی به رنج عاطفی که بر اثر سوءاستفاده در من ایجاد کرده است، ندارد.
The dictionary is the only place where success comes before work.	لغتنامه تنها جایی است که پیشرفت قبل از تلاش می‌آید.
A man who doesn't spend time with his family cannot be a real man.	مردی که وقتی را با خانواده اش نگذراند، مرد واقعی نیست.
I find it hard to believe that Tom was involved in the kidnapping.	دشوار می توانم باور کنم که تام در آدم ربایی شرکت داشته.
If you would talk less and listen more, you might learn something.	اگر کم صحبت کنی و بیشتر گوش دهی، چیزی یاد می‌گیری.
There are wavelengths of light that the human eye cannot perceive.	اینجا طول موجی از نور است که چشم انسان قادر به دیدنش نسیت.
To succeed in life, you need two things: ignorance and confidence.	برای موفق شدن در زندگی دو چیز لازم است: نادانی و اعتماد به نفس.
Tom and Mary were married in a small church not too far from here.	تام و ماری در کلیسای کوچکی نه چندان دور از اینجا ازدواج کرده بودند.
Tom and Mary were married in a small church not too far from here.	تام و ماری در کلیسای کوچکی ازدواج کرده بودند که چندان دور از اینجا نیست.
It seemed unlikely that Tom wouldn't come to Mary's birthday party.	به نظر غیر محتمل می رسید که تام به جشن تولد ماری نیاید.
Tom gave up his teaching job to become a full-time studio musician.	تام شغل معلمی را رها کرد تا به طور تمام وقت در استودیو نوازنده شود.
We've tried every conceivable method, but absolutely nothing works.	ما هر روش ممکن را بکار گرفتیم ،ولی هیچکدام اثر بخش نبود.
You'll get a ticket if you park the car in front of a fire hydrant.	شما جریمه خواهید شد اگر ماشین را جلوی آتش نشانی پارک کنید.
I've got better things to do than to keep track of what Tom's doing.	من کارهای بهتر از تعقیب فعالیت های تام دارم.
Just when the first human beings will reach Mars remains to be seen.	به وقتی واقعا اولین انسان بر مریخ پای بگذارد، زمان باقی است.
Never put off until tomorrow what you can do the day after tomorrow.	چیزی که پس‌فردا می‌توانی انجام دهی را به فردا نینداز!
Surround yourself only with people who are going to lift you higher.	اطراف خود را با افرادی پر کن که قصد دارند تو را بالاتر ببرند.
The human race has one really effective weapon and that is laughter.	نژاد انسانی یک سلاح واقعاً موثر دارد و آن خنده است.
Thus money in circulation drops, and price escalation quietens down.	به این ترتیب، پول در گردش کم می‌شود و نوسان قیمت فروکش می‌کند.
Tom didn't want to see Mary in prison for a crime she didn't commit.	تام نمی خواست ماری را به خاطر جرمی که مرتکب نشده بود در زندان ببیند.
It was on the morning of February the ninth that I arrived in London.	صبح نهم فوریه بود که من به لندن رسیدم.
For the lack of something better to do, Tom started cleaning his room.	تام به خاطر نداشتن کاری بهتر برای انجام دادن، شروع به تمیز کردن اتاقش کرد.
For the lack of something better to do, Tom started cleaning his room.	تام شروع به تمیز کردن اناقش کرد. زیرا کار بهتری برای انجام دادن نداشت.
It was raining when we left, but by the time we arrived, it was sunny.	وقتی که بیرون آمدیم باران می آمد، اما حدود زمانی که رسیدیم آفتابی بود.
She is popular not because of her beauty, but because of her kindness.	او محبوب است، نه به‌خاطر زیبائی‌اش، بلکه به‌خاطر مهربانی‌اش.
The old cottage had only one bed, so we all took turns sleeping in it.	آن کلبه‌ی قدیمی فقط یک تخت داشت. بنا بر این، به نوبت روی آن می‌خوابیدیم.
The police were hoping that Tom could shed some light on the incident.	پلیس امیدوار بود تام بتواند قضیه را قدری روشن کند.
Those who know nothing of foreign languages know nothing of their own.	کسانی که هیچ چیز از یک زبان خارجی نمی‌دانند، هیچ چیز دربارهٔ زبان خودشان هم نمی‌دانند.
To get the full value of joy, you must have someone to divide it with.	برای گرفتن ارزش واقعی شادی، باید آن را با کسی تقسیم کنید.
I spent three years looking for a good director, but couldn't find one.	سه سال دنبال یک کارگردان خوب می‌گشتم، ولی کسی را پیدا نکردم.
Kindness is the language which the deaf can hear and the blind can see.	مهربانی زبانی است که در آن کر می‌تواند بشنود و کور می‌تواند ببیند.
We learn from experience that men never learn anything from experience.	از تجربیات می‌آموزیم که انسانها هرگز از تجربیات نمی‌آموزند.
Americans who are over sixty-five make up 12.5% of the total population.	آمریکاییانی که بیش از شصت و پنج سال سن دارند، 12.5٪ کل جمعیت را تشکیل می‌دهند.
I wonder where the ice cream is. Do you think Tom could've eaten it all?	نمی دانم آن بستنی کجاست. فکر می کنی تام ممکن است تمام آن را خورده باشد؟
Mary took her time choosing a dress even though Tom was waiting for her.	ماری وقت زیادی را برای انتخاب لباس صرف کرد، با وجود اینکه تام منتظر او بود.
The death of one man is a tragedy, the death of millions is a statistic.	مرگ یک انسان تراژدی است اما مرگ میلیونها انسان، آمار است.
The freight train was held up about half an hour because of a dense fog.	قطار برای نیم ساعت به علت مه غلیظ توقف کرد.
Tom didn't think he had the stomach to tell Mary what needed to be done.	تام فکر نمی کرد که دلش را داشته باشد به ماری بگوید چه کاری بایست انجام می شد.
A good ballboy or ballgirl must be able to concentrate hard and run fast.	یک توپ جمع کن خوب باید بتواند بطور کامل تمرکز کند و به سرعت بدود.
I realized that I had grown up when I started heeding my parents' advice.	زمانی که به نصیحت والدینم توجه کردم، فهمیدم که بزرگ شده ام.
If you can't get a lawyer who knows the law, get one who knows the judge.	اگر نمی‌توانید وکیلی بگیرید که قانون را بشناسد، وکیلی بگیرید که قاضی را بشناسد.
Life is like riding a bicycle. To keep your balance you must keep moving.	زندگی مثل دوچرخه سواری است. برای حفظ تعادل باید در حرکت باشید.
Life is like riding a bicycle. To keep your balance you must keep moving.	زندگی مانند دوچرخه سواری است. برای اینکه نیفتید باید در حرکت باشید.
She had hardly begun to read the book before someone knocked at the door.	هنوز شروع به خواندن کتاب نکرده بود که کسی در زد.
This letter was full of mistakes because it had been written too hastily.	این نامه پر از اشتباه است زیرا بسیار با عجله نوشته شده است.
A poll shows that an overwhelming majority is in favor of the legislation.	نظرسنجی نشان می‌دهد که اکثریت قاطع طرفدار این قانون هستند.
