Run!	Chạy!
Are you sure you can drive a truck this big?	Có thật là bạn lái được chiếc xe tải to thế này không?
Are you sure you don't want to go to Boston?	Mày có chắc là không muốn đi Boston?
Are you sure you don't want to go to Boston?	Bạn có chắc là không muốn đi Boston?
Are you sure you don't want to go to Boston?	Anh có chắc là không muốn đi Boston?
Are you sure you don't want to go to Boston?	Chị có chắc là không muốn đi Boston?
Are you sure you don't want to go to Boston?	Cậu có chắc là không muốn đi Boston?
Don't count your chickens before they hatch.	Nói trước bước không qua.
Don't forget to pick me up tomorrow morning.	Đừng quên đến đón em sáng mai.
Don't interrupt people when they're talking.	Đừng cắt ngang người khác khi họ đang nói.
Five hundred dollars is a small sum for him.	500 Đô-la đối với anh ấy chỉ như muối bỏ bể thôi.
He left for London the day before yesterday.	Nó đã rời khỏi London vào ngày hôm kia.
He left for London the day before yesterday.	Anh ấy đã rời khỏi London vào ngày hôm kia.
How did you know Tom didn't need to do that?	Sao bạn lại biết là Tom không cần phải làm điều đó?
How long does it take to get to the station?	Mất bao nhiêu thời gian để đi từ đay tới ga?
How many pictures did you take on your trip?	Hôm bữa đi chơi chụp được bao nhiêu tấm hình vậy?
I am economically independent of my parents.	Tôi không phụ thuộc chuyện tiền bạc vào bố mẹ tôi
I am economically independent of my parents.	Tôi không phụ thuộc tài chính vào bố mẹ tôi.
I am economically independent of my parents.	Tôi không lệ thuộc tài chính vào cha mẹ tôi.
I cannot approve of your going out with him.	Tôi không tán thành việc bạn đi chơi với anh ấy.
I cannot approve of your going out with him.	Tao không tán thành việc mày đi chơi với nó.
I didn't know Tom had to do that by himself.	Tôi không biết Tom phải tự mình làm điều đó.
I didn't know that Tom was Mary's boyfriend.	Tôi không biết Tom là bạn trai của Mary.
I didn't know that Tom was Mary's boyfriend.	Tôi không biết Tom là bạn trai Mary.
I don't believe that he's telling the truth.	Tôi không tin là anh ta đang nói sự thật.
I don't think Tom knows where Mary is going.	Tôi không nghĩ là Tom biết Mary đang đi đâu.
I don't want to work under these conditions.	Tôi không muốn làm việc trong những điều kiện như thế này.
I get on pretty well with my new classmates.	Tôi khá hòa hợp với những người bạn cùng lớp mới.
I had hoped to have finished this yesterday.	Tôi đã hy vọng có thể hoàn thành việc này hôm qua.
I had hoped to have finished this yesterday.	Tôi đã hy vọng có thể làm xong trong hôm qua.
I have something you might be interested in.	Tôi có một số thứ có thể làm bạn thích.
I haven't been busy for these past two days.	Hai ngày nay tôi không bận.
I just want to be normal like everyone else.	Tôi chỉ muốn bình thường như mọi người.
I need to know exactly what happened to Tom.	Tớ cần biết chuyện gì đã xảy ra với Tom.
I think I won't go to Australia next winter.	Tôi nghĩ là tôi sẽ không đi Úc mùa đông năm sau.
I think I won't go to Australia next winter.	Tôi nghĩ tôi sẽ không đi Úc vào mùa đông năm sau.
I think Tom will be on the same plane as me.	Tôi nghĩ Tom sẽ bay cùng chuyến bay với tôi.
I think you should take Tom to the hospital?	Tôi nghĩ là bạn nên đưa Tom đến bệnh viện.
I thought my eyes were playing tricks on me.	Tôi nghĩ đôi mắt đã đánh lừa tôi.
I told Tom to clean his room, but he didn't.	Tôi bảo Tom dọn phỏng của anh ta nhưng anh ta đã không làm.
I usually use a credit card instead of cash.	Bình thường tôi không dùng tiền mặt mà tôi dùng thẻ tín dụng.
I usually use a credit card instead of cash.	Bình thường thay vì dùng tiền mặt, tôi dùng thẻ tín dụng.
I want to become better at managing my time.	Tôi muốn quản lý thời gian giỏi hơn quá.
I want to become better at managing my time.	Tôi muốn quản lý thời gian tốt hơn quá.
I want to become better at managing my time.	Tôi muốn sử dụng thời gian tốt hơn quá.
I'm going to bake a cake for Tom's birthday.	Tôi sẽ làm một chiếc bánh cho sinh nhật của Tom.
I've given up on the idea of buying a house.	Tôi đã từ bỏ ý định mua nhà.
I've got the devil's own luck in everything.	Tôi làm gì cũng may mắn.
Is it OK if we don't go to Costco this time?	Lần này chúng ta không đi Costco có được không?
Is it possible to stay here a little longer?	Ở đây lâu hơn một chút có được không?
Is there somebody sitting in this seat here?	Có ai ngồi ở chỗ này không?
It's impossible for me to explain it to you.	Tôi không thế nào giải nghĩa cho bạn được.
Just run down to the post office, won't you?	Chạy đến bưu điện đi nhé?
Let me tell you what I want for my birthday.	Để mình nói thứ mình muốn nhân dịp sinh nhật cho cậu nhớ.
Many Germans have blonde hair and blue eyes.	Nhiều người Đức có tóc vàng và mắt xanh.
Most of this building's tenants are artists.	Những người thuê nhà trong tòa nhà này hầu hết là nghệ sỹ.
Most of this building's tenants are artists.	Hầu hết những người thuê nhà trong tòa nhà này đều là nghệ sỹ.
My hobby is taking pictures of wild flowers.	Sở thích của tôi là chụp những bức ảnh hoa dại.
My hobby is taking pictures of wild flowers.	Sở thích của tôi là chụp ảnh hoa dại.
My hobby is taking pictures of wild flowers.	Tôi có sở thích chụp ảnh hoa dại.
Our basketball team is recruiting tall boys.	Câu lạc bộ bóng rổ của chúng tôi đang tuyển những bạn nam cao lớn.
Please choose between this one and that one.	Hãy chọn cái này hoặc cái kia.
Please give me a piece of paper to write on.	Làm ơn cho tôi một tờ giấy để viết.
Social customs vary from country to country.	Phong tục nè nếp biến đổi khác nhau ở mỗi quốc gia.
Students must have access to a good library.	Sinh viên phải được quyền vào đọc sách ở một thư viện tốt.
That isn't why we're doing what we're doing.	Đó không phải là lý do mà chúng tôi đang làm điều mà chúng tôi đang làm.
That's not why we're doing what we're doing.	Đó không phải là lý do mà chúng tôi đang làm điều mà chúng tôi đang làm.
The fish he caught yesterday is still alive.	Con cá anh ta bắt được hôm qua vẫn còn sống.
The market for luxury goods is growing fast.	Thị trường sản phẩm cao cấp đang phát triển một cách nhanh chóng.
The old are not always wiser than the young.	Không phải lúc nào người già cũng khôn ngoan hơn người trẻ.
There is nothing as important as friendship.	Không có gì quan trọng hơn tình bạn.
There is nothing as important as friendship.	Không gì quan trọng hơn tình bạn.
These are clothes that Mary made by herself.	Đây là những áo quần mà Mary đã tự làm.
This pond doesn't go dry even in the summer.	Ao này không bị cạn ngay cả trong mùa hè.
Tom and I happened to get on the same train.	Tom và tôi tình cờ đi cùng chuyến tàu.
Tom asked me to pick Mary up at the airport.	Tom đã yêu cầu tôi đón Mary ở sân bay.
Tom can swim faster than anyone else I know.	Tom có thể bơi nhanh hơn bất cứ người nào tôi biết.
Tom can swim faster than anyone else I know.	Tom có thể bơi nhanh hơn bất cứ người nào mà tôi biết.
Tom can swim faster than anyone else I know.	Tom có thể bơi nhanh hơn bất cứ ai mà tôi biết.
Tom didn't seem to understand what you said.	Hình như Tom không hiểu những điều bạn nói.
Tom doesn't have a car. He just uses Mary's.	Tom không có ô tô. Anh ta sử dụng xe của Mary.
Tom doesn't let Mary go shopping by herself.	Tom không để Mary đi chợ một mình.
Tom doesn't let Mary go shopping by herself.	Tom không để Mary đi mua sắm một mình.
Tom fished through his pockets for his keys.	Tom lục trong các túi để tìm chìa khóa.
Tom has been missing for almost three weeks.	Tom đã mất tích gần ba tuần.
Tom has been missing for almost three weeks.	Tom đã mất tích gần ba tuần nay.
Tom has told Mary that she needs to do that.	Tom đã nói với Mary là cô ấy cần phải làm điều đó.
Tom has told Mary that she needs to do that.	Tom đã nói với Mary là cô ấy cần phải làm việc đó.
Tom hopes that he'll meet Mary this evening.	Tom mong là anh ấy có thể gặp Mary vào tối nay.
Tom hopes that he'll meet Mary this evening.	Tom mong là sẽ có thể gặp Mary tối nay.
Tom is the one who told me where Mary lived.	Tom là người đã nói cho tôi biết Mary đã sống ở đâu.
Tom said he thought that Mary wasn't afraid.	Tom nói là anh ấy tưởng Mary không sợ.
Tom said that he thought Mary wasn't afraid.	Tom nói là anh ấy tưởng Mary không sợ.
Tom sat across from Mary, his ex-girlfriend.	Tom ngồi cạnh Mary - bạn gái cũ của anh ta.
Tomorrow, I'm going to study at the library.	Ngày mai tôi sẽ học ở thư viện.
Turn off the lights when you leave the room.	Bạn hãy tắt điện khi ra khỏi phòng.
Turn the lights off when you leave the room.	Bạn hãy tắt điện khi ra khỏi phòng.
We do not anticipate their buying a new car.	Chúng tôi không nghĩ là họ sẽ mua một chiếc ô tô mới.
We do not anticipate their buying a new car.	Chúng tôi không nghĩ là họ sẽ mua một cái xe hơi mới.
We need an electrical engineer for this job.	Bọn mình cần thợ điện để làm việc này.
We still need to buy Tom a birthday present.	Chúng ta cần mua quà sinh nhật cho Tom.
We will have an English test this afternoon.	Chiều nay chúng tôi sẽ có kỳ thi tiếng Anh.
Were you at the library yesterday afternoon?	Chiều hôm qua bạn có ở thư viện không?
What number bus do I take to get to Waikiki?	Tôi lên xe buýt số mấy để tới Waikiki?
What time are you going to leave for London?	Mấy giờ thì bạn dự định sẽ xuất phát đến Luân Đôn?
What's the name of the company you work for?	Công ty chỗ cậu làm tên gì?
Why are you still up? You should get to bed.	Sao bạn vẫn còn thức vậy? Bạn nên đi ngủ đi.
Won't you please write with a ballpoint pen?	Cậu viết bằng bút bi được không?
You should tell Tom you won't do that again.	Bạn nên nói với Tom là bạn sẽ không làm điều đó nữa.
You shouldn't judge a man by his appearance.	Bạn không nên đánh giá một người bằng vẻ bề ngoài của anh ta.
A blind person's hearing is often very acute.	Khả năng nghe của người mù thường rất tốt.
After several delays, the plane finally left.	Cuối cùng thì máy bay cũng cất cánh sau vài lần hoãn.
All the signs are that she is getting better.	Mọi dấu hiệu đã cho thấy cô ấy đang hồi phục.
All the signs are that she is getting better.	Mọi dấu hiệu đang cho thấy bà ấy đang hồi phục.
Anyone who has made a promise should keep it.	Bất kỳ ai đã hứa thì phải giữ lấy lời.
Are there many poisonous snakes in Australia?	Ở Úc có nhiều rắn độc không?
Are you sure there's nothing more you can do?	Bạn có chắc là bạn không thể làm thêm bất kỳ điều gì?
As soon as he saw the policeman, he ran away.	Ngay khi trông thấy viên cảnh sát, anh ta chạy đi.
As soon as they return, I will telephone you.	Ngay sau khi họ trở về, tôi sẽ điện thoại cho anh.
Because of his advice, I was able to succeed.	Nhờ lời khuyên của anh ấy mà tôi đã thành công.
Can you think of a better idea than this one?	Bạn có ý nào tốt hơn không?
Could Tom really be as busy as he says he is?	Liệu Tom có thật sự bận rộn như cậu ấy nói?
Everything I've told you may not be accurate.	Mọi thứ tôi kể với bạn có thể không chính xác.
Have you ever forgotten your wife's birthday?	Bạn đã bao giờ quên sinh nhật vợ mình chưa?
He informed me about the changes in the plan.	Nó thông báo cho tôi về những thay đổi trong kế hoạch.
He informed me about the changes in the plan.	Anh ấy đã thông báo cho tôi về nhũng thay đổi trong kế hoạch.
He lost his cool and started throwing things.	Nó không kiềm chế được và bắt đầu ném đồ.
He promised me to come by five at the latest.	Anh ấy đã hứa với tôi là sẽ đến muộn nhất là vào lúc 5 giờ.
He promised me to come by five at the latest.	Anh ấy hứa với tôi là anh ấy sẽ đến muộn nhất là vào lúc 5 giờ.
Here's a list of things that Tom needs to do.	Đây là danh sách tất cả những việc Tom cần làm.
His new book is going to come out next month.	Cuốn sách mới của anh ấy sẽ được xuất bản tháng sau.
How many different schools have you attended?	Bạn đã tham gia vào mấy trường phái?
I agreed to buy it for three hundred dollars.	Tôi đồng ý mua nó với giá 300 đôla.
I always have coffee and toast for breakfast.	Tôi luôn dùng cà phê và bánh mì nướng trong bữa sáng.
I can watch TV all day without getting bored.	Tớ có thể xem ti-vi cả ngày không chán.
I can't remember what I had to eat yesterday.	Tớ không nhớ nổi hôm qua tớ phải ăn những gì
I can't remember what I had to eat yesterday.	Tớ không nhớ nổi hôm qua mình ăn gì.
I couldn't have done that without Tom's help.	Tôi sẽ không thể làm được thế nếu không có Tom giúp.
I didn't buy anything at the duty-free shops.	Tôi không mua gì ở những cửa hàng miễn thuế cả.
I don't want to hear another word out of you.	Tôi không muốn nghe bạn nói thêm một lời nào nữa.
I don't want to know anything until tomorrow.	Cho đến ngày mai, tôi không muốn biết điều gì nữa.
I got a bug in my eye and I can't get it out.	Có con bọ nằm trong mắt tôi nhưng tôi không thể lấy nó ra được.
I know that you put your best effort into it.	Tôi biết rằng anh đã cố gắng hết sức.
I never do anything without asking Tom first.	Tôi không bao giờ làm gì mà không hỏi Tom trước.
I pulled myself together and started my work.	Tôi xốc lại tinh thần và bắt đầu làm việc.
I slept only two hours. No wonder I'm sleepy.	Tôi ngủ có 2 tiếng à. Hèn chi (bây giờ) buồn ngủ ghê.
I think it's time for me to buy a decent car.	Tôi nghĩ rằng đã đến lúc tôi phải mua một chiếc xe hơi sang trọng.
I thought Tom had gotten out of the hospital.	Tôi tưởng Tom đã ra viện rồi.
I want to eat either ice cream or shaved ice.	Tôi muốn ăn kem hoặc đá bào.
I want to emphasize this point in particular.	Tôi muốn đặc biệt nhấn mạnh điểm này.
I went to Los Angeles on vacation last month.	Tháng rồi tôi vừa đi nghỉ ở Los Angeles.
I'm convinced we can finish this by tomorrow.	Tớ tin bọn mình có thể làm xong vào ngày mai
I'm not as afraid of heights as I used to be.	Tôi không còn sợ độ cao như trước nữa.
I'm not old enough to get a driver's license.	Tớ chưa đủ tuổi lấy bằng lái xe.
I'm sorry to have caused you so much trouble.	Tôi xin lỗi vì đã gây ra nhiều rắc rối cho bạn.
I'm sorry to have caused you so much trouble.	Tao xin lỗi vì đã gây ra nhiều rắc rối cho mày.
I'm sorry to have caused you so much trouble.	Tớ xin lỗi vì đã gây ra nhiều rắc rối cho cậu.
If you don't want to come, you don't have to.	Nếu bạn không muốn thì bạn không cần phải đến đâu.
If you see Tom, tell him I'm looking for him.	Nếu bạn có gặp Tom, hãy nói là tôi đang tìm anh ta.
It's hard to know exactly what to believe in.	Chúng ta thật khó để biết rõ rằng chúng ta nên tin vào điều gì.
Let's sit at one of the tables near the back.	Hãy tìm một bàn ở gần cuối.
Pass the ball quickly to a person behind you.	Nhanh chóng chuyền bóng về cho người phía sau.
President Roosevelt won the election of 1940.	Tổng thống Roosevelt thắng cử năm 1940.
President Roosevelt won the election of 1940.	Tổng thống Roosevelt đã giành chiến thắng trong cuộc bầu cử năm 1940.
Spinach is a rich source of iron and calcium.	Rau bina giàu chất sắt và can-xi.
Stock investments do not always yield profit.	Việc đầu tư chứng khoán không phải lúc nào cũng đem lại lợi nhuận.
Tell me who you plan to go to Australia with.	Hãy nói cho tôi biết là bạn định đi Úc với ai.
The idea of camping has never appealed to me.	Ý nghĩ cắm trại chưa bao giờ là điều hấp dẫn tôi.
The scenery was beautiful beyond description.	Phong cảnh đẹp hơn cả sự mô tả.
The stake that sticks out gets hammered down.	Ngu si hưởng thái bình.
There are many words that I don't understand.	Có nhiều từ mà tôi không hiểu.
They lived in the countryside during the war.	Chúng tôi sống ở vùng nông thôn khi có chiến tranh.
To see him talk, you might think he's a girl.	Nhìn anh ta nói chuyện, bạn có thể tưởng anh ta là con gái.
Tom and John fell in love with the same girl.	Tom và John đã cùng thích một người con gái.
Tom and Mary looked at each other and smiled.	Tom và Mary nhìn nhau và mỉm cười.
Tom didn't want to make a big deal out of it.	Tom không muốn làm to chuyện đó lên.
Tom has been learning French for three years.	Tom đã học tiếng Pháp được ba năm.
Tom seems to speak French better than before.	Dường như Tom nói tiếng Pháp tốt hơn lúc trước.
Tom thinks he's the best French teacher here.	Tom nghĩ rằng mình là giáo viên tiếng Pháp giỏi nhất ở đây.
Tom told me that he knew how to speak French.	Tom nói với tôi là anh ấy biết nói tiếng Pháp.
Tom's attitude is quite simple to understand.	Thái độ của Tom cũng là dễ hiểu.
Try to slice the meat with a different knife.	Bạn hãy thử thái miếng thịt bằng một con dao khác đi.
Try to slice the meat with a different knife.	Bạn hãy thử thái miếng thịt bằng một con dao khác xem sao.
We will miss you terribly if you leave Japan.	Chúng tôi sẽ rất nhớ bạn nếu bạn rời Nhật bản.
What makes you think I don't want to be here?	Sao bạn lại nghĩ là tôi không muốn ở đây chứ?
Why does everyone think I can do this but me?	Tại sao trừ chính tôi ra, ai cũng nghĩ là tôi có thể làm được điều này?
Why don't we go out and get something to eat?	Tại sao chúng ta không ra ngoài kiếm gì để ăn?
You can solve the problem in nonviolent ways.	Bạn có thể giải quyết vấn đề bằng những cách không bạo lực.
You should put safety before everything else.	An toàn là trên hết.
You should take this a little more seriously.	Bạn nên xem việc này nghiêm túc hơn một chút.
You're not supposed to have that information.	Thông tin đó không dành cho bạn.
Your question is not relevant to the subject.	Câu hỏi của bạn không liên quan gì đến chủ đề.
All the church bells started ringing together.	Tất cả chiếc chuông nhà thờ đồng loạt bắt đầu vang lên.
Books such as these are too difficult for him.	Những quyển sách như vậy quá khó đối với nó.
Books such as these are too difficult for him.	Những quyển sách như vậy quá khó đối với anh ấy.
Books such as these are too difficult for him.	Những quyển sách như vậy quá khó đối với anh ta.
Do Japanese children really paint the sun red?	Có phải trẻ con người Nhật thật sự thích tô mặt trời màu đỏ?
Do you know anything about the Jackson family?	Bạn có biết điều gì về gia đình Jackson không?
Don't get an upset stomach by eating too much.	Đừng để bị đau bụng vì ăn quá nhiều.
Early explorers used the stars for navigation.	Các nhà thám hiểm trước đây sử dụng các ngôi sao để định hướng.
He is not always in the office in the morning.	Không phải lúc nào anh ấy cũng ở văn phòng vào buổi sáng.
He is one of the greatest scientists in Japan.	Anh ấy là một trong những nhà khoa học vĩ đại nhất ở Nhật Bản.
He was absent from school because he was sick.	Anh ấy đã nghỉ học vì bị ốm.
I am always tense before I get on an airplane.	Tôi lúc nào cũng căng thẳng trước lúc lên máy bay.
I asked him to make four copies of the letter.	Tôi bảo anh ta phô tô lá thư ra thêm bốn bản.
I can't draw, but my sister is a great artist.	Tôi không biết vẽ, nhưng chị của tôi là một họa sĩ vĩ đại.
I can't go to the restaurant with you tonight.	Tôi không thể đi nhà hàng với bạn tối nay.
I can't go to the restaurant with you tonight.	Anh không thể đi nhà hàng với em tối nay.
I can't go to the restaurant with you tonight.	Em không thể đi nhà hàng với anh tối nay.
I can't understand her way of thinking at all.	Tôi hoàn toàn không thể hiểu cách suy nghĩ của cô ấy.
I can't understand her way of thinking at all.	Tôi hoàn toàn chẳng thể hiểu cách suy nghĩ của cô ấy.
I can't understand her way of thinking at all.	Tôi hoàn toàn không thể hiểu nổi cách suy nghĩ của cô ấy.
I didn't know about it until I read the paper.	Tôi đã không biết về chuyện đó cho đến khi tôi đọc báo.
I didn't know about it until I read the paper.	Tôi đã không biết về chuyện đó cho tới khi tôi đọc báo.
I don't want to drink any more beer right now.	Bây giờ tôi không muốn uống thêm bia nữa.
I don't want to go by plane, if I can help it.	Tôi không muốn đi bằng máy bay, nếu tôi có thể.
I don't want to go by plane, if I can help it.	Nếu được thì tôi không muốn đi bằng máy bay.
I had a fight with my older brother yesterday.	Hôm qua tôi đã cãi nhau với anh trai.
I have a simple plan for getting Tom to agree.	Tôi có một kế hoạch đơn giản để khiến Tom đồng ý.
I have other things to worry about, like work.	Tôi có những điều khác để lo lắng, như là công việc.
I know Tom is a better at guitar than Mary is.	Tôi biết Tom giỏi chơi guitar hơn Mary.
I sure hope Tom does what he said he would do.	Chắc chắn là tôi hy vọng Tom sẽ thực hiện những gì anh ấy đã nói.
I thought you told me that you liked baseball.	Tôi tưởng bạn nói với tôi là bạn thích bóng chày cơ mà.
I thought you told me that you liked baseball.	Tôi tưởng bạn nói với tôi là bạn thích bóng chày.
I thought you weren't supposed to talk to Tom.	Anh tưởng em không nói chuyện với Tom.
I will come up with a solution to the problem.	Tôi sẽ tìm ra giải pháp cho vấn đề.
I wish that we could spend more time together.	Anh ước gì chúng ta có thể có nhiều thời gian bên nhau.
I wonder how many students are in Tom's class.	Tôi tự hỏi liệu lớp của Tom có bao nhiêu học sinh.
I would like to retract my previous statement.	Tôi muốn rút lại lời tuyên bố trước của tôi.
I'm afraid I spilled coffee on the tablecloth.	Xin lỗi, tôi đã làm đổ cà phê lên bàn mất rồi.
I'm afraid I spilled coffee on the tablecloth.	Tôi xin lỗi, tôi e là tôi đã làm đổ cà phê lên bàn mất rồi.
If it rains, the excursion will be called off.	Nếu trời mưa, chuyến đi sẽ bị hủy.
Imagination affects every aspect of our lives.	Sự tưởng tượng ảnh hưởng đến mọi khía cạnh cuộc sống của chúng ta.
It's not polite to speak with your mouth full.	Nói trong lúc mồm đầy thức ăn là một việc không lịch sự.
Last year saw a big political change in Japan.	Năm ngoái, tôi đã chứng kiến một cuộc thay đổi chính trị lớn ở Nhật Bản.
Let me know immediately if you have a problem.	Cho tôi biết ngay lập tức nếu bạn có vấn đề.
My mother won't let us keep pets in the house.	Mẹ tôi sẽ không cho chúng tôi nuôi thú cưng trong nhà.
She knows she does not have any other choices.	Cô biết cô không có sự chọn lựa nào khác.
Some people dream of having a house on a hill.	Có một số người mơ ước được sở hữu một ngôi nhà trên một ngọn đồi.
Some people seem to complain about everything.	Vài người có thói quen phàn nàn về mọi việc.
Take back what you said about me being stingy.	Bạn bảo tôi keo kiệt đúng không? Hãy rút lại mấy lời đó đi.
Take lots of vitamin C to avoid catching cold.	Uống thật nhiều vitamin C để đề phòng bị cảm.
That boy standing next to the oak tree is Tom.	Cái cậu bé đứng cạnh cây sồi ở kia là Tom.
That was her chance to show what she could do.	Đó là cơ hội để cô thể hiện mình làm được những gì.
The boy had indigestion after eating too much.	Cậu bé đó đã bị khó tiêu sau khi ăn quá nhiều.
The legal age for marriage in Australia is 18.	Tuổi kết hôn hợp pháp ở Úc là 18.
The police appealed to the crowd not to panic.	Cảnh sát kêu gọi đám đông đừng hoảng hốt.
There are a lot of tall buildings in New York.	Có rất nhiều nhà cao tầng ở New York.
There are several customers in the restaurant.	Có nhiều khách đến ăn tại nhà hang.
They do not understand how mobile phones work.	Họ không hiểu điện thoại di động hoạt động ra sao.
They're at the restaurant looking at the menu.	Họ đang xem thực đơn ở trong nhà hàng.
Those two experiments yielded similar results.	Hai thí nghiệm đó cho ra cùng kết quả.
Tom couldn't have done it without Mary's help.	Tom đã không thể nào hoàn thành nếu thiếu sự giúp đỡ của Mary.
Tom is a bit busy, so he can't help you today.	Tom bận một chút, cho nên anh ấy không thể giúp bạn hôm nay.
Tom is holding a lit candle in his right hand.	Tom đang cầm một cây nến cháy sáng bằng tay phải.
Tom is the funniest person that I've ever met.	Tom là người hài hước nhất mà tôi từng gặp.
Tom knows that Mary doesn't know how to drive.	Tom biết rằng Mary không biết lái xe.
Tom left a message, but Mary didn't call back.	Tom đã để lại lời nhắn nhưng Mary vẫn không gọi lại.
Tom may borrow my car any afternoon next week.	Tom có thể mượn xe của tôi bất cứ buổi chiều nào vào tuần tới.
Tom said that he hopes that you won't do that.	Tom nói là anh ấy mong bạn sẽ không làm điều đó.
Tom sat at the bar, just staring at his drink.	Tom ngồi trong quán bar, chỉ nhìn chằm chằm vào đồ uống của mình.
Tom told me you were looking for a babysitter.	Tom đã nói với tôi là bạn đang tìm người giữ trẻ.
Tom wants to see you in his office right away.	Tom muốn gặp cậu trong văn phòng ngay lập tức.
Tom will explain it to you when he comes back.	Tom sẽ giải đáp cho bạn ngay sau khi anh ấy trở lại.
Tom's biggest fear is marrying the wrong girl.	Tom sợ nhất là lấy nhầm người.
We began to sail in the direction of the port.	Chúng tôi bắt đầu lái thuyền về hướng cảng.
We did not help him, so he made it by himself.	Chúng tôi đã không giúp anh ta, thế nên anh ta đã tự làm điều đó một mình.
When we awoke, we were adrift on the open sea.	Khi chúng tôi ngủ dậy, chúng tôi bị trôi lênh đênh trên biển.
You can do whatever you want to do, of course.	Tất nhiên, bạn có thể làm bất cứ thứ gì mà bạn muốn.
You forgot to take the trash out this morning.	Bạn đã quên mang rác ra ngoài sáng nay.
You should stick those pictures in your album.	Bạn nên dán những bức hình đó vào album của bạn.
You won't find much news in today's newspaper.	Bạn không thể tìm thấy tin tức gì nhiều trong báo ngày hôm nay.
A cheetah can run as fast as 70 miles per hour.	Một con báo cheetah có thể chạy nhanh 20 dặm một giờ.
A loss in third-quarter revenues was predicted.	Sự sụt giảm 3/4 doanh thu đã được dữ báo trước.
After he had done his homework, he went to bed.	Sau khi anh ấy đã làm xong bài tập về nhà, anh ấy đi ngủ.
Are these the pictures that you took in Boston?	Có phải đây là những bức ảnh bạn chụp ở Boston không?
Corn is an important crop in the United States.	Bắp là hạt giống quan trọng trong nước mỹ.
Corn is an important crop in the United States.	Ngô là hạt giống quan trọng trong nước Mỹ.
Do you really think Tom is going to believe me?	Bạn có thực sự nghĩ là Tom sẽ tin tôi?
Frankly speaking, his speeches are always dull.	Nói trắng ra thì bài thuyết trình của ông ấy lúc nào cũng đều nhàm chán như nhau vậy.
Frankly speaking, his speeches are always dull.	Nói một cách thẳng thắn thì bài thuyết trình của anh ta lúc nào cũng nhạt nhẽo như nhau vậy.
He was a Frenchman. I could tell by his accent.	Anh ta là người Pháp. Tôi biết nhờ cách phát âm của anh ấy.
How did you know that I wanted to speak to Tom?	Sao bạn biết là tôi muốn nói chuyện với Tom?
How did you know that I wanted to speak to Tom?	Sao mà bạn biết là tôi muốn nói chuyện với Tom?
How many liters does it take to fill a hot tub?	Cần bao nhiêu lít để đổ đầy bồn tắm nóng?
I don't believe that black cats cause bad luck.	Tôi không tin con mèo đen đó mang đến điều xui xẻo.
I don't like seeing young girls wearing makeup.	Tôi không thích nhìn những cô gái trẻ trang điểm.
I don't see any reason why I have to apologize.	Tôi hoàn toàn không hiểu vì sao tôi phải xin lỗi.
I don't want to go to the beach with you today.	Hôm nay tôi không muốn đi ra bãi biển với bạn.
I don't want to go to the beach with you today.	Tôi không muốn đi ra bãi biển với bạn hôm nay.
I don't want to have to deal with it right now.	Tớ không muốn xử lý việc đó bây giờ.
I entered Tom's name on the list of candidates.	Tôi điền tên Tom vào danh sách các ứng cử viên.
I have to go shopping. I'll be back in an hour.	Tôi đi mua sắm một chút. Một tiếng sau trở lại.
I thought that you said that your name was Tom.	Tôi tưởng bạn nói tên bạn là Tom.
I want to know why you and Tom don't get along.	Tôi muốn biết lý do tại sao cậu và Tom không làm việc được với nhau.
I was bitten by a lot of insects in the forest.	Tôi bị nhiều côn trùng cắn trong rừng.
I was bitten by a lot of insects in the forest.	Trong rừng tôi bị nhiều côn trùng cắn.
I won't be able to finish if you don't help me.	Tôi sẽ không thể xong được nếu bạn không giúp tôi.
I'll play tennis with Tom later this afternoon.	Tôi sẽ chơi tennis với Tom lúc chiều muộn.
It takes time to speak a foreign language well.	Cần phải có thời gian để nói tốt một ngoại ngữ.
Last year was a period of economic uncertainty.	Năm ngoái là một thời kỳ không chắc chắn của nền kinh tế.
My biggest problem is deciding what to do next.	Vấn đề lớn nhất của tôi là quyết định làm cái gì kế tiếp.
My biggest problem is deciding what to do next.	Khó khăn lớn nhất của tôi là quyết định làm cái gì kế tiếp.
One million people lost their lives in the war.	Một triệu người đã ngã xuống trong cuộc chiến đó.
One million people lost their lives in the war.	Hàng triệu người đã mất mạng trong cuộc chiến tranh đó.
Push the green button and the light will go on.	Nhấn nút màu xanh và đèn sẽ tiếp tục sáng.
She couldn't convince him to buy her a new car.	Cô ấy không thể thuyết phục được anh ấy mua cho cô ấy một chiếc ô tô mới.
She couldn't convince him to buy her a new car.	Cô ấy đã không thể thuyết phục anh ấy mua một chiếc xe hơi mới cho cô ấy.
She was absent from school because of sickness.	Bạn ấy nghỉ học vì bị ốm.
Thank you very much for your generous donation.	Xin cảm ơn rất nhiều vì sự đóng góp hào phóng của bạn.
The accident took place near that intersection.	Vụ tai nạn đã xảy ra ở gần cái ngã tư kia.
The accident took place near that intersection.	Vụ tai nạn đã xảy ra ở gần cái ngã tư đó.
The hunting dogs followed the scent of the fox.	Những con chó săn đã lần theo mùi của con cáo.
The police ordered the suspect to drop his gun.	Cảnh sát đã ra lệnh cho nghi phạm bỏ súng xuống.
The view from the mountain top was spectacular.	Quang cảnh nhìn từ trên đỉnh núi xuống rất ngoạn mục.
