I'm OK.	Mən yaxşıyam.
The guitar player is my brother.	Gitaraçı mənim qardaşımdır.
The movie starts at ten o'clock.	Film saat onda başlayır.
The only vegetarian here is Tom.	Burada tək vegetarian Tom-dur.
The road is too narrow for cars.	Yol maşınlar üçün çox ensizdir.
The sand on the beach was white.	Çimərlikdəki qum ağ idi.
The sun always sets in the west.	Günəş həmişə qərbdə batır.
The train disappeared from view.	Qatar gözdən itdi.
Today is election day in Poland.	Bu gün Polşada seçki günüdür.
Tom almost never eats cucumbers.	Tom demək olar ki heç vaxt xiyar yemir.
Tom didn't even ask me about it.	Tom hətta bu barədə məndən soruşmadı belə.
Tom filled his bag with walnuts.	Tom çantasını qozla doldurdu.
Tom is still doing his homework.	Tom hələ ev tapşırığını edir.
Tom put his hand over his heart.	Tom əlini ürəyinin üstünə qoydu.
Tom was a professional magician.	Tom peşəkar sehrbaz idi.
Turkey was stronger than Greece.	Türkiyə Yunanıstandan daha güclü idi.
We'll be there at half past two.	Biz üçün yarısında orada olacağıq.
Were you an officer in the army?	Sən orduda zabit idin?
What would you recommend we eat?	Yeməyə nə məsləhət görərdin?
Where will you have lunch today?	Bu gün harada nahar edəcəksən?
Armenia is a mountainous country.	Ermənistan dağlıq ölkədir.
Don't trust anybody but yourself.	Özündən başqa heç kimə inanma.
Dublin is the capital of Ireland.	Dublin İrlandiyanın paytaxtıdır.
First, you must protect yourself.	Birincisi, sən özünü müdafiə etməlisən.
He came to Japan seven years ago.	O, Yaponiyaya yeddi il əvvəl gəlib.
I already told you what happened.	Mən nə baş verdiyini artıq sənə dedim.
I am responsible for the mistake.	Səhvə görə mən cavabdehəm.
I am responsible for the mistake.	Səhvə görə mən məsuliyyət daşıyıram.
I don't want you to see me naked.	İstəmirəm ki, məni çılpaq görəsən.
I speak Chinese almost every day.	Mən demək olar ki hər gün çin dilində danışıram.
I thought I could trust you, Tom.	Mən zənn etdim ki, sənə güvənə bilərəm, Tom.
I wouldn't do that if I were you.	Sənin yerində olsaydım bunu etməzdim.
I've already been here two hours.	Mən artıq iki saatdır ki buradayam.
If anyone can fix this, it's Tom.	Bunu təmir edəbiləcək birisi varsa, o da Tomdur.
In Australia, they speak English.	Avstraliyada ingilis dilində danışırlar.
Love is the answer to everything.	Sevgi hər şeyə cavabdır.
My sister is playing with a doll.	Mənim bacım gəlinciklə oynayır.
Remember what happened last time.	Sonuncu dəfə nə baş verdiyini xatırla.
The Virgin Mary is Jesus' mother.	Bakirə Məryəm İsanın anasıdır.
There are many islands in Greece.	Yunanıstanda çoxlu adalar var.
There is no reason for this fear.	Bu qorxu üçün heç bir səbəb yoxdur.
There was a strong wind that day.	O gün güclü külək var idi.
There's no furniture in the room.	Otaqda mebel yoxdur.
There's no need for Tom to hurry.	Tomun tələsməyinə ehtiyac yoxdur.
This house is very big, isn't it?	Bu ev çox böyükdür, elə deyil?
This mushroom is not good to eat.	Bu göbələk yeməli deyil.
Tom always complains, doesn't he?	Tom həmişə şikayətlənir, elə deyil?
Tom gave the dog a piece of meat.	Tom itə bir tikə ət verdi.
Tom has a new girlfriend already.	Tomun artıq yeni sevgilisi var.
Tom lived in Japan for ten years.	Tom 10 il Yaponiyada yaşadı.
We always have to obey the rules.	Biz həmişə qaydalara tabe olmalıyıq.
We can't afford to buy a new car.	Bizim yeni maşın almağa imkanımız yoxdur.
We walked for about 6 kilometers.	Biz təxminən 6 kilometr piyada getdik.
What does she think about my car?	O mənim maşınım haqqında nə düşünür?
What language is spoken in Egypt?	Misirdə hansı dil danışılır?
When I woke up, I was in the car.	Mən oyananda maşında idim.
Where in Austria did you grow up?	Siz Avstriyanın harasında böyümüsünüz?
Where in Austria did you grow up?	Sən Avstriyanın harasında böyümüsən?
Where's the source of this river?	Bu çayın mənbəyi haradadır?
All the apple trees were cut down.	Bütün alma ağacları kəsilmişdi.
Auckland is a city in New Zealand.	Oklend Yeni Zelandiyada bir şəhərdir.
Belgrade is the capital of Serbia.	Belqrad Serbiyanın paytaxtıdır.
Do you have other pictures of her?	Səndə onun başqa şəkilləri var?
Do you live in Portugal or Brazil?	Sən Portuqaliyada yaşayırsan yoxsa Braziliyada?
Elephants live in Asia and Africa.	Fillər Asiyada və Afrikada yaşayırlar.
France shares a border with Spain.	Fransa İspaniya ilə həmsərhəddir.
He doesn't have any strength left.	Onun daha gücü qalmayıb.
He teaches English to his friends.	O, dostlarına ingilis dili öyrədir.
He was sitting and reading a book.	O oturub kitab oxuyurdu.
How many photos are in this album?	Bu albomda neçə fotoşəkil var?
I couldn't come because it rained.	Mən yağış yağdığına görə gələ bilmədim.
I didn't intend to break the vase.	Mən vazanı qəsdən qırmadım.
I don't know anything about Japan.	Mən Yaponiya haqqında heç nə bilmirəm.
I don't know what to do right now.	İndi nə edəcəyimi bilmirəm.
I don't want to see anybody today.	Mən bu gün heç kimi görmək istəmirəm.
I gave the dog two pieces of meat.	Mən itə iki tikə ət verdim.
I really hope that doesn't happen.	Mən həqiqətən də ümid edirəm ki, bu baş verməyəcək.
I saw my reflection in the mirror.	Mən güzgüdə öz əksimi gördüm.
I think my German isn't very good.	Zənn edirəm ki, almancam çox yaxşı deyil.
I want Tom to tell me his opinion.	İstəyirəm ki, Tom mənə öz fikrini desin.
I'm going to keep studying French.	Mən fransızca öyrənməyə davam edəcəm.
Iceland used to belong to Denmark.	İslandiya əvvəllər Danimarkaya aid idi.
Italy is a very beautiful country.	İtaliya çox gözəl ölkədir.
Most men here wear ties every day.	Burada kişilərin çoxu hər gün qalstuk taxır.
One of Serbia's allies was Russia.	Serbiyanın müttəfiqlərindən biri Rusiya idi.
Our main problem remains unsolved.	Bizim əsas problemimiz həll edilməmiş qalır.
Phoenix is the capital of Arizona.	Finiks Arizonanın paytaxtıdır.
Sometimes, I don't understand him.	Bəzən mən onu başa düşmürəm.
The old house was burned to ashes.	Köhnə ev yanıb külə döndü.
There are no oranges on the table.	Stolun üstündə portağal yoxdur.
There's enough room for everybody.	Burada hamı üçün kifayət qədər yer var.
They speak English in New Zealand.	Yeni Zelandiyada ingilis dilində danışılır.
Tom and Mary have three daughters.	Tom və Merinin üç qızı var.
Tom didn't do anything to stop it.	Tom onu saxlamaq üçün heç nə etmədi.
Tom didn't tell me where he lived.	Tom mənə harada yaşadığını demədi.
Tom is not interested in politics.	Tom siyasətlə maraqlanmır.
Tom plans to buy a new motorcycle.	Tom yeni motosiklet almağı planlaşdırır.
Tom said no one else was laughing.	Tom dedi ki, başqa heç kəs gülmürdü.
Tom sat down next to his daughter.	Tom qızının yanında oturdu.
Tom will be busy tomorrow morning.	Tom sabah səhər məşğul olacaq.
Tom's parents have a lot of money.	Tomun valideynlərinin çoxlu pulu var.
Yerevan is the capital of Armenia.	İrəvan Ermənistanın paytaxtıdır.
You shouldn't tell Tom everything.	Sən hər şeyi Toma deməməlisən.
"Thanks, guys." "Don't mention it."	"Sağolun, uşaqlar." "Dəyməz."
Brussels is the capital of Belgium.	Brüssel Belçikanın paytaxtıdır.
Do you like green tea or black tea?	Yaşıl çay xoşlayırsan yoxsa qara çay?
He plants sunflowers in the spring.	O, yazda günəbaxan əkir.
I didn't think that Tom would come.	Düşünmürdüm ki, Tom gələr.
I don't know why you're so worried.	Mən bilmirəm sən niyə belə narahatsan.
I like vanilla ice cream very much.	Mən vanilli dondurmanı çox sevirəm.
I planted an apple tree in my yard.	Həyətimdə alma ağacı əkdim.
I think you deserve more than this.	Düşünürəm ki, sən bundan artığına layiqsən.
I think you deserve more than this.	Məncə sən bundan da artığına layiqsən.
I wonder where that ship is headed.	Mənə maraqlıdır, o gəmi hara istiqamətlənir.
I'd like to have my blood examined.	Qanımı yoxlatmaq istərdim.
I'm trying not to think about that.	O barədə düşünməməyə çalışıram.
In the summer, eggs go bad quickly.	Yayda yumurtalar tez xarab olur.
Let's meet in front of the library.	Gəl kitabxananın qabağında görüşək.
Not every student has a dictionary.	Hər tələbənin lüğəti yoxdur.
Oregon is just south of Washington.	Oreqon Vaşinqtonun cənubunda yerləşir.
She looked back on her school days.	O məktəb günlərini xatırladı.
Stockholm is the capital of Sweden.	Stokholm İsveçin paytaxtıdır.
The bicycle under the tree is mine.	Ağacın altındakı velosiped mənimdir.
The box was empty when I opened it.	Mən açanda qutu boş idi.
The boy has an apple in his pocket.	Oğlanın cibində alma var.
The capital of Hungary is Budapest.	Macarıstanın paytaxtı Budapeştdir.
The elevator is out of order today.	Lift bugün işləmir.
The pen is mightier than the sword.	Qələm qılıncdan güclüdür.
They wanted the war to end quickly.	Onlar müharibənin tezliklə sona çatmasını istəyirdilər.
Tom is the cutest boy in the class.	Tom sinifdəki ən şirin oğlandır.
Tom plants sunflowers every spring.	Tom hər yaz günəbaxan əkir.
Tom's band was really good tonight.	Tom-un qrupu bu gecə həqiqətən də yaxşı idi.
We had to drive slowly all the way.	Biz bütün yol boyu yavaş sürməliyik.
We're totally different people now.	Biz indi tamamilə fərqli insanlarıq.
What do you want for your birthday?	Ad gününə nə istəyirsən?
You should go to bed early tonight.	Sən bu gün tez yatmalısan.
Don't forget your gloves. It's cold.	Əlcəklərin yadından çıxmasın. Hava soyuqdur.
Don't tell me how to spend my money.	Mənə öz pulumu necə xərcləyəcəyimi öyrətmə!
Everyone in the room recognized Tom.	Otaqdakı hər kəs Tomu tanıdı.
Grandmother sent us a box of apples.	Nənə bizə bir qutu alma göndərdi.
He became an orphan when he was ten.	On yaşında ikən o yetim qaldı.
He's making a table in his workshop.	O, emalatxanasında stol düzəldir.
How much does a bottle of beer cost?	Bir şüşə pivə neçəyədir?
I don't always get my homework done.	Mən ev tapşırığımı həmişə etməyi bacarmıram.
I doubt that Tom is really a doctor.	Mən şübhə edirəm ki, Tom həqiqətən həkimdir.
I still haven't planted any lettuce.	Hələ kahı əkməmişəm.
In August 1990, Iraq invaded Kuwait.	1990-cı ilin avqustunda İraq Küveyti işğal etdi.
In Japan, all children go to school.	Yaponiyada bütün uşaqlar məktəbə gedir.
In Serbia, the trains are very slow.	Serbiyada qatarlar çox yavaşdırlar.
It is a good idea to read this book.	Bu kitabı oxumaq yaxşı fikirdir.
My uncle lives in the east of Spain.	Mənim əmim İspaniyanın şərqində yaşayır.
Nobody's forcing you to do anything.	Səni heç kim heç nəyə məcbur etmir.
Please tell me what your problem is?	Xahiş edirəm mənə de, sənin problemin nədir?
Smoking is not allowed in this room.	Bu otaqda siqaret çəkmək olmaz.
The boy tried moving the heavy sofa.	Oğlan ağır divanı tərpətməyə cəhd etdi.
The children are riding their bikes.	Uşaqlar velosipedlərini sürürlər.
The old man fell down on the ground.	Qoca kişi yerə yıxıldı.
The picture reminded me of Scotland.	Şəkil mənə Şotlandiyanı xatırlatdı.
There are 150 museums in Kazakhstan.	Qazaxıstanda 150 muzey var.
They have two sons and one daughter.	Onların iki oğlu və bir qızı var.
Tom and I are about the same height.	Tom və mən, demək olar ki, eyni boydayıq.
Tom dried himself with a bath towel.	Tom hamam dəsmalı ilə qurulandı.
Tom looked for his name on the list.	Tom adını tapmaq üçün siyahıya baxdı.
We can't sleep because of the noise.	Biz səs-küyə görə yata bilmirik.
Why do you not want to leave Boston?	Sən niyə Bostonu tərk etmək istəmirsən?
Children go back to school in autumn.	Payızda uşaqlar məktəbə qayıdırlar.
Copenhagen is the capital of Denmark.	Kopenhagen Danimarkanın paytaxtıdır.
Could you tell me about your company?	Mənə öz şirkətiniz haqqında danışa bilərsən?
Did you explain the situation to Tom?	Toma vəziyyəti başa saldın?
Did you explain the situation to Tom?	Toma vəziyyəti izah etdiniz?
Don't confuse Austria with Australia.	Avstriyanı Avstraliya ilə səhv salmayın.
Don't you want to ask me what I want?	Məndən nə istədiyimi soruşmaq istəmirsiniz?
English is an international language.	İngilis dili beynəlxalq dildir.
For all I know, he was born in Italy.	Mən bildiyimə görə o İtaliyada doğulub.
He cracked the walnut with his teeth.	O, qozu dişləriylə sındırdı.
He doesn't take care of his children.	O uşaqlarının qayğısına qalmır.
I had no idea that you were so young.	Bu qədər gənc olduğun haqda heç bir fikrim yox idi.
I planted an apple tree in my garden.	Mən bağımda alma ağacı əkdim.
I spent a couple of months in Boston.	Mən Bostonda bir neçə ay keçirdim.
If I were you, I'd follow his advice.	Sənin yerində olsaydım onun məsləhətinə qulaq asardım.
In 1975, Angola became a free nation.	1975-ci ildə Anqola müstəqil dövlət oldu.
It's not going to be easy to do this.	Bunu etmək asan olmayacaq.
Japan has to reconstruct its economy.	Yaponiya iqtisadiyyatını yenidən qurmalıdır.
Papua New Guinea was a German colony.	Papua Yeni Qvineya alman koloniyası idi.
Repetition is the mother of learning.	Təkrar biliyin anasıdır.
School begins the day after tomorrow.	Məktəb birisi gün başlayır.
She laid her head down on the pillow.	O başını yastığa qoydu.
The United States was at war in 1864.	Amerika 1864-cü ildə müharibədə idi.
The cause of the fire is yet unknown.	Yanğının səbəbi hələ məlum deyil.
The cost of the book is five dollars.	Kitabın dəyəri beş dollardır.
There is a right time for everything.	Hər şeyin öz vaxtı var.
They say that ferns can have flowers.	Deyilənə görə qıjıların çiçəyi olur.
They say that ferns can have flowers.	Deyirlər ki, qıjılar çiçək aça bilir.
They supplied the village with water.	Onlar kəndi su ilə təmin etdilər.
Tom and Mary work in the same office.	Tom və Meri eyni ofisdə işləyirlər.
Tom doesn't know anything about that.	Tom bunun haqqında heç nə bilmir.
Tom has never had a driver's license.	Tomun heç vaxt sürücülük vəsiqəsi olmayıb.
Tom is quite a bit younger than Mary.	Tom Meridən xeyli cavandır.
Tom likes you more than anybody else.	Tom səni hamıdan çox sevir.
Tom looked around the room carefully.	Tom otağı diqqətlə nəzərdən keçirdi.
Tom put the ashtray in front of Mary.	Tom külqabını Merinin qabağına qoydu.
We can't let anybody know we're here.	Biz burada olduğumuzu heç kəsə bildirə bilmərik.
We're all praying for Tom's recovery.	Biz hamımız Tomun yaxşılaşması üçün dua edirik.
You have to be prepared for anything.	Siz hər şeyə hazır olmalısınız.
A week later, Germany attacked Poland.	Bir həftə sonra Almaniya Polşaya hücum etdi.
Both Tom and I were a little confused.	Həm Tom, həm də mən bir az çaşmışdıq.
Hazelnuts are harvested in mid-autumn.	Fındıq payızın ortalarında yığılır.
His work is a source of pride for him.	İşi onun üçün qürur mənbəyidir.
How do we know you're not lying to us?	Hardan bilək ki, bizə yalan danışmırsan?
I don't want to go to Boston with you.	Sizinlə Bostona getmək istəmirəm.
I meet with him once every six months.	Mən onunla hər altı aydan bir görüşürəm.
I will take you to my palace tomorrow.	Mən səni sabah öz məkanıma aparacam.
Japan imports oranges from California.	Yaponiya Kaliforniyadan portağal idxal edir.
She advised him not to drink too much.	O mənə çox içməməyi məsləhət gördü.
She came three minutes after I called.	O, mən zəng etdikdən üç dəqiqə sonra gəldi.
She comes to see me from time to time.	O arabir mənə dəyməyə gəlir.
That girl is more cute than beautiful.	O qız gözəl olduğundan daha çox şirindir.
They went to the zoo by bus yesterday.	Onlar dünən avtobusla zooparka getdilər.
This is one of Boston's finest hotels.	Bu Bostonun ən yaxşı otellərindən biridir.
Tom didn't keep Mary waiting too long.	Tom Merini çox gözlətmədi.
Tom has three apple trees in his yard.	Tomun həyətində üç alma ağacı var.
Tom said that he wanted to go with us.	Tom bizimlə gəlmək istədiyini dedi.
Two children were playing on the road.	İki uşaq yolda oynayırdı.
We didn't live in Australia very long.	Biz Avstraliyada uzun müddət yaşamadıq.
We have to paint the bathroom ceiling.	Biz hamam otağının tavanını rəngləməliyik.
Do you see that house? That's my house.	O evi görürsən? O mənim evimdir.
Everyone must protect their own family.	Hər kəs öz ailəsini qorumalıdır.
His brother is more patient than he is.	Qardaşı ondan daha səbirlidir.
I fell in love with her at first sight.	Mən ilk baxışdan ona aşiq oldum.
I go to school at eight in the morning.	Məktəbə səhər səkkizdə gedirəm.
I never thought I'd ever see you again.	Heç vaxt düşünməzdim ki, səni yenidən görə bilərəm.
I think that I'm doing something wrong.	Mənə elə gəlir ki, nəyisə səhv edirəm.
I woke up with a headache this morning.	Bugün səhər başağrısı ilə oyandım.
Macedonia and Bulgaria are not friends.	Makedoniya və Bolqarıstan dost deyildirlər.
Maria Callas was a famous opera singer.	Mariya Kallas məşhur opera müğənnisi idi.
Napoleon Bonaparte was born in Corsica.	Napoleon Bonapart Korsikada doğulub.
Solar energy is a new source of energy.	Günəş enerjisi yeni enerji mənbəyidir.
The legend says that she was a mermaid.	Əfsanədə deyildiyinə görə, o, su pərisi idi.
The sailors abandoned the burning ship.	Dənizçilər yanan gəmini tərk etdilər.
This is the house in which he was born.	Bu onun doğulduğu evdir.
This isn't possible without Tom's help.	Tomun köməyi olmadan bu mümkün deyil.
Tom and I agreed to take turns driving.	Tom və mən növbə ilə maşını sürməyə razılaşdıq.
What was the first capital of Portugal?	Portuqaliyanın birinci paytaxtı hara idi?
Who do you usually play badminton with?	Çox vaxt kiminlə badminton oynayırsan?
You don't have to know all the details.	Bütün xırdalıqları bilməyiniz vacib deyil.
China is twenty times bigger than Japan.	Çin Yaponiyadan iyirmi dəfə böyükdür.
Don't lift weights if you're still sore.	Əgər hələ də yaralısansa, ağırlıq qaldırma.
Envious people die, but envy never does.	Paxıl insanlar ölür, amma paxıllıq yox.
Give me your phone number, just in case.	Hər ehtimala qarşı telefon nömrəni mənə ver.
He wants to meet that good-looking girl.	O, o gözəl qızla tanış olmaq istəyir.
I don't usually eat at places like this.	Mən adətən belə yerlərdə yemirəm.
I just wanted to see if you could do it.	Sadəcə bunu edə biləcəyini görmək istədim.
I loved to climb trees when I was a kid.	Uşaq vaxtı ağaca dırmaşmaqdan xoşum gəlirdi.
I want to become a doctor in the future.	Mən gələcəkdə həkim olmaq istəyirəm.
I want to make friends with your sister.	Mən sənin bacınla dost olmaq istəyirəm.
I'd like coffee rather than tea, please.	Çaydansa, kofe istərdim, zəhmət olmasa.
Many children don't like eating spinach.	Uşaqların çoxunun ispanaq yeməkdən xoşu gəlmir.
Millions of wild animals live in Alaska.	Alyaskada milyonlarla vəhşi heyvan yaşayır.
Muslims always pray facing toward Mecca.	Müsəlmanlar həmişə üzü Məkkəyə doğru dua edirlər.
My sister washes her hair every morning.	Mənim bacım hər səhər saçını yuyur.
She whispered to me that she was hungry.	O mənə pıçıldadı ki, acdır.
She's the French ambassador to Portugal.	O Fransanın Portuqaliyadakı səfiridir.
Texas is nearly twice as large as Japan.	Texas Yaponiyadan təqribən iki dəfə böyükdür.
The girl playing the piano is my sister.	Piano çalan qız mənim bacımdır.
The treasure lay hidden for a long time.	Xəzinə uzun zamandır gizli qalıb.
Tom came to Boston hoping to find a job.	Tom iş tapmaq ümidiylə Bostona gəldi.
Tom changed his mind at the last minute.	Tom son anda fikrini dəyişdi.
Tom doesn't let his children drink wine.	Tom uşaqlarına şərab içməyə icazə vermir.
Tom has met a lot of interesting people.	Tom çoxlu maraqlı insanla tanış olub.
Tom's house was repossessed by the bank.	Tom-un evinə yenidən bank əl qoydu.
You are to stay here until we come back.	Biz gələnə qədər burada qalırsan.
You have no right to tell me what to do.	Sənin mənə nə edəcəyimi deməyə haqqın yoxdur.
You have no right to tell me what to do.	Sizin mənə nə edəcəyimi deməyə haqqınız yoxdur.
You were telling the truth, weren't you?	Siz həqiqəti deyirdiniz, elə deyilmi?
You were telling the truth, weren't you?	Sən həqiqəti deyirdin, elə deyilmi?
Albania wants to join the European Union.	Albaniya Avropa birliyinə qoşulmaq istəyir.
Cacti are plants that live in dry places.	Kaktuslar quru yerlərdə bitən bitkilərdir.
Do you use a sponge when you take a bath?	Çiməndə süngərdən istifadə edirsən?
He gave a positive answer to my question.	O mənim sualıma müsbət cavab verdi.
Her husband is currently living in Tokyo.	Onun əri hal-hazırda Tokioda yaşayır.
I asked the teacher which was the better.	Mən müəllimdən hansının daha yaxşı olduğunu soruşdum
I don't have to go to school next Monday.	Mən növbəti bazarertəsi məktəbə getməyə məcbur deyiləm.
I haven't eaten asparagus in a long time.	Xeyli vaxtdır ki, qulançar yemirəm.
I wonder if Tom is still able to do that.	Tom-un hələ də onu etməyə qadir olub-olmadığı mənə maraqlıdır.
I'm not in a position to give you advice.	Sənə məsləhət verəcək halda deyiləm.
Iran plans to launch a monkey into space.	İran kosmosa meymun göndərməyi planlaşdırır.
Our teacher separated us into two groups.	Müəllimimiz bizi iki qrupa ayırdı.
She takes part in many school activities.	O çoxlu məktəb fəaliyyətlərində iştirak edir.
Sorry, I didn't know you were still here.	Bağışlayın, hələ burda olduğunuzu bilmirdim.
That way I kill two birds with one stone.	Beləliklə mən bir güllə ilə iki dovşan vururam.
The explorers finally reached their goal.	Kəşfiyyatçılar nəhayət ki öz məqsədlərinə çatdılar.
The goldfinch is a very interesting bird.	Payızbülbülü çox maraqlı quşdur.
There are many apple trees in the garden.	Bağda çoxlu alma ağacı var.
There's a lot to see and do in Australia.	Avstraliyada görülməli və edilməli çox şey var.
This stone is twice as heavy as that one.	Bu daş o birisindən ikiqat ağırdır.
Tom admitted that he had stolen the bike.	Tom velosipedi oğurladığını boynuna aldı.
Tom and Mary played tennis all afternoon.	Tom və Mary bütün bu günortadan sonra tennis oynadılar.
Tom doesn't even have a driver's license.	Tomun hətta sürücülük vəsiqəsi belə yoxdur.
Tom isn't accustomed to working at night.	Tom gecə işləməyə öyrəşməyib.
Tom knew he no longer needed to be there.	Tom bilirdi ki, artıq burada ona ehtiyac olmayacaq.
When was the last time Tom talked to you?	Tom axırıncı dəfə səninlə nə vaxt danışıb?
Cats were sacred animals in ancient Egypt.	Qədim Misirdə pişiklər müqəddəs heyvanlar idilər.
Do you know what Tom was doing last night?	Tomun ötən gecə nə etdiyini bilirsən?
I don't think I'll need an umbrella today.	Düşünmürəm ki, bu gün çətirə ehtiyacım olacaq.
I had to walk because there were no taxis.	Mən yerimək məcburiyyətində idim, çünki orada taksi yox idi.
I have three friends who can speak French.	Mənim fransızca danışa bilən üç dostum var.
I'm fairly certain Tom doesn't believe us.	Tomun bizə inanmadığından çox əminəm.
Many Canadians visit Australia every year.	Bir çox kanadalılar hər il Avstraliyanı səyahət edir.
The car stopped in the middle of the road.	Maşın yolun ortasında dayandı.
There're more than 100 people in the room.	Otaqda yüzdən çox adam var.
They know the situation better than we do.	Onlar vəziyyəti bizdən yaxşı bilirlər.
Tom didn't have the permission to do that.	Tom-un bunu etməyə icazəsi yox idi.
Tom doesn't want to take advice from Mary.	Tom Meridən məsləhət almaq istəmir.
Tom planted three apple trees in his yard.	Tom həyətində üç alma ağacı əkdi.
Which do you like, green tea or black tea?	Hansını xoşlayırsan, yaşıl çay yoxsa qara çay?
Without air and water, nothing could live.	Hava və su olmadan heç nə yaşaya bilməz.
You don't even know what you mean, do you?	Sən özün belə nəyi nəzərdə tutduğunu bilmirsən, elə deyil?
Cockroaches hide themselves during the day.	Tarakanlar gündüzlər gizlənirlər.
Did you write anything in your diary today?	Bugün gündəliyinə nəisə yazdın?
Do you know the man standing on the bridge?	Körpüdə dayanan adamı tanıyırsan?
How would you like it if I did that to you?	Onu sənə etsəydim, xoşuna gələrdi?
If he'd known the truth, he'd have told me.	Əgər o həqiqəti bilsəydi, mənə deyərdi.
Norway is the richest country in the world.	Norveç dünyada ən varlı ölkədir.
She is strong enough to carry the suitcase.	O, çemodanı daşıya biləcək qədər güclüdür.
Tom graduated from college three years ago.	Tom kolleci üç il əvvəl bitirib.
Tom told me he couldn't do that by himself.	Tom mənə dedi ki, o, bunu özbaşına edə bilməzdi.
We used the computer in order to save time.	Vaxt qazanmaq üçün komputerdən istifadə etdik.
When I was your age, I was already married.	Mən sənin yaşında olanda artıq evli idim.
When you cross the bridge, don't look down.	Körpünü keçəndə aşağı baxma.
A crane raises heavy construction materials.	Kran ağır tikinti materiallarını qaldırır.
Fish is an important food source for people.	Balıq insanlar üçün mühüm qida mənbəyidir.
He speaks not only Spanish, but also French.	O, təkcə ispanca yox, fransızca da danışır.
How do I know that you're telling the truth?	Mən necə bilim ki, sən həqiqəti deyirsən?
I don't think that Tom wants to leave today.	Düşünmürəm ki, Tom bu gün tərk etmək istəyir.
It seemed impossible that Tom would succeed.	Tomun uğurlu ola biləcəyi mümkünsüz görsənirdi.
Lithuania is a member of the European Union.	Litva Avropa Birliyinin üzvüdür.
Portugal is not as close to France as Spain.	Portuqaliya Fransaya İspaniya qədər yaxıın deyil.
Prague is the capital of the Czech Republic.	Praqa Çexiyanın paytaxtıdır.
Those children are waiting for their mother.	O uşaqlar analarını gözləyirlər.
Tom didn't want to go, but Mary made him go.	Tom getmək istəmirdi amma Meri onu getməyə vadar etdi.
Tom eats asparagus, but his brother doesn't.	Tom qulançar yeyir, amma qardaşı yox.
Tom has been in the hospital for three days.	Tom üç gündür ki xəstəxanadadır.
Tom's situation is getting more complicated.	Tomun vəziyyəti get-gedə daha da çətinləşir.
We learned about that from reliable sources.	Biz o haqda etibarlı mənbələrdən öyrəndik.
What is your greatest source of inspiration?	Ən böyük ilham mənbəyiniz nədir?
You should be able to read this book easily.	Sən bu kitabı rahatlıqla oxumağı bacarmalısan.
A group of children were playing in the park.	Bir dəstə uşaq parkda oynayırdı.
Don't forget to open the window in your room.	Otağındakı pəncərəni açmaq yadından çxmasın.
I am looking for a book about medieval Spain.	Mən orta əsr İspaniyası haqqında kitab axtarıram.
Naples is the largest city in southern Italy.	Neapol cənubi İtaliyada ən böyük şəhərdir.
Some minerals are important for human health.	Bəzi minerallar insan sağlamlığı üçün vacibdirlər.
They lifted him carefully into the ambulance.	Onlar onu ehtiyatla təcili yardım maşınına qaldırdılar.
This is the medicine I was telling you about.	Bu, sənə haqqında danışdığım dərmandır.
This place looks just the same as it used to.	Bu yer əvvəllər olduğu kimi görünür.
This school supplies students with textbooks.	Bu məktəb şagirdləri dərsliklərlə təmin edir.
Tom grows tomatoes and lettuce in his garden.	Tom bağında pomidor və kahı yetişdirir.
Tom never spoke to Mary again after that day.	Tom o gündən sonra daha Meri ilə danışmadı.
Tom said Mary looked like she was having fun.	Tom Mary'nin yaxşı vaxt keçirirmiş kimi görsəndiyini dedi.
Vermont is located on the border with Canada.	Vermont Kanadayla sərhəddə yerləşir.
You can stay here for a while if you want to.	Əgər istəyisinizsə bir müddət burada qala bilərsiniz.
Bull fighting is a very interesting spectacle.	Öküz döyüşü çox maraqlı bir səhnədir.
Computers are better than us at playing chess.	Kompyuterlər şahmat oynamaqda bizdən daha yaxşıdır
Don't believe everything you hear on the news.	Xəbərlərdə eşitdiyin hər şeyə inanma.
Everyone except Tom and Mary are already here.	Tom və Meridən başqa hamı artıq buradadır.
Frankly speaking, I don't want to go with you.	Düzünü desəm, mən səninlə getmək istəmirəm.
Greece was the cradle of western civilization.	Yunanıstan qərb sivilizasiyasının beşiyi idi.
He's a British citizen, but he lives in India.	O Britaniya vətəndaşıdır amma Hindistanda yaşayır.
I don't think that Tom will refuse to do that.	Mən düşünmürəm ki, Tom onu etməkdən imtina edəcək.
I thought it would be better to remain silent.	Mən susmağın daha yaxşı olacağını düşündüm
I thought it would be better to remain silent.	Mən elə düşündüm ki sussam daha yaxşı olar.
I thought it would be better to remain silent.	Mən bir şey deməməyin daha yaxşı olduğunu düşündüm
I thought it would be better to remain silent.	Mən fikirləşdim ki yaxşısı elə heç nə deməməkdir.
It's going to rain. Look at those dark clouds.	Yağış yağacaq. Qara buludlara bax.
My father is my biggest source of inspiration.	Atam mənim ən böyük ilham mənbəyimdir.
She is busy at present and can't speak to you.	O hal-hazırda məşğuldur və sizinlə danışa bilmir.
That can't be Mary. She's in the hospital now.	O Meri ola bilməz. O indi xəstəxanadadır.
Tom and Mary aren't planning to sing together.	Tom və Mary birlikdə mahnı oxumağı planlamırdılar.
Tom laughed so much tears ran down his cheeks.	Tom o qədər güldü ki, gözlərindən yanaqlarına göz yaşları axdı.
